Project Name,Package Name,Architecture Smell,Cause of the Smell
BranchMetrics_Branch-Android-SDK,io.branch.referral,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 126
BranchMetrics_Branch-Android-SDK,io.branch.referral,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: io.branch.referral; io.branch.referral.util
BranchMetrics_Branch-Android-SDK,io.branch.referral,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: io.branch.referral; io.branch.referral.util; io.branch.indexing
BranchMetrics_Branch-Android-SDK,io.branch.referral,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): io.branch.referral.QRCode; io.branch.indexing; io.branch.referral.test.mock; io.branch.referral.validators; io.branch.referral.network
BranchMetrics_Branch-Android-SDK,io.branch.referral,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [BranchEventTest; BranchTest; ServerRequestTests; BranchCPIDTest; DeviceInfoTest; BranchTestRequestUtil; BranchGAIDTest; StoreReferrerTests; DebugTest; SystemObserver; BranchQRCodeCache; BranchQRCodeCache.SystemObserverInstance; StoreReferrerSamsungGalaxyStore; ServerRequestGetCPID; HuaweiOAIDFetchTask; GAdsPrefetchTask; BranchUtil; ServerRequestGetLATD; BranchAsyncTask; Defines; BranchError; ServerRequestIdentifyUserRequest; BranchViewHandler; BranchViewHandler.BranchView; Branch; Branch.GetShortLinkTask; Branch.BranchPostTask; Branch.InitSessionBuilder; BranchStrongMatchHelper; ServerRequest; ServerRequestRegisterInstall; UniversalResourceAnalyser; UniversalResourceAnalyser.UrlSkipListUpdateTask; ShareLinkManager; ServerRequestQueue; StoreReferrerXiaomiGetApps; BranchShareSheetBuilder; BranchPluginSupport; BranchPluginSupport.SystemObserverInstance; AnimatedDialog; BranchJsonConfig; DeviceInfo; DeviceInfo.SystemObserverInstance; ServerRequestActionCompleted; SharingHelper; ServerRequestRegisterClose; BranchShortLinkBuilder; ServerResponse; StoreReferrerHuaweiAppGallery; Base64; StoreReferrerGooglePlayStore; ApkParser; PrefHelper; BranchUrlBuilder; BranchContentUrlBuilder; BranchPreinstall; BranchActivityLifecycleObserver; StoreReferrerUtils; DeferredAppLinkDataHandler; BranchPartnerParametersTest; KeyTest; BranchPreinstallFileTest; PrefHelperTest; BranchQRCodeTests; BranchPluginSupportTest; BranchApiTests; TrackingController; AppStoreReferrer; ServerRequestInitSession; ServerRequestRegisterOpen; BranchUniversalReferralInitWrapper; BranchLinkData; ServerRequestCreateUrl; BranchPartnerParameters; InstantAppUtil; BranchApp; NetworkCallback; BranchReferralUrlBuilder; ServerRequestLogout; Defines.Jsonkey; Branch.ShareLinkBuilder]; [BranchApiTests.FBUrl]; [SystemObserver.AdsParamsFetchEvents]; [SystemObserver.UniqueId]; [StoreReferrerSamsungGalaxyStore.ISamsungInstallReferrerEvents]; [ServerRequestGetCPID.BranchCrossPlatformIdListener]; [InstantAppUtil.PackageManagerWrapper]; [BranchUtil.JsonReader]; [ServerRequestGetLATD.BranchLastAttributedTouchDataListener]; [Defines.RequestPath]; [Defines.LinkParam]; [Defines.PreinstallKey]; [Defines.IntentKeys]; [Defines.HeaderKey]; [BranchViewHandler.loadBranchViewTask]; [BranchViewHandler.IBranchViewEvents]; [Branch.SESSION_STATE]; [Branch.INTENT_STATE]; [Branch.BranchReferralInitListener]; [Branch.BranchUniversalReferralInitListener]; [Branch.BranchReferralStateChangedListener]; [Branch.BranchLinkCreateListener]; [Branch.BranchLinkShareListener]; [Branch.ExtendedBranchLinkShareListener]; [Branch.IChannelProperties]; [Branch.BranchListResponseListener]; [Branch.LogoutStatusListener]; [Branch.CreditHistoryOrder]; [Branch.IBranchViewControl]; [BranchStrongMatchHelper.StrongMatchCheckEvents]; [BranchStrongMatchHelper.MockCustomTabServiceConnection]; [ServerRequest.PROCESS_WAIT_LOCK]; [ServerRequest.BRANCH_API_VERSION]; [ShareLinkManager.ChooserArrayAdapter]; [ShareLinkManager.ShareItemView]; [ShareLinkManager.MoreShareItem]; [ShareLinkManager.CopyLinkItem]; [StoreReferrerXiaomiGetApps.IXiaomiInstallReferrerEvents]; [BranchJsonConfig.BranchJsonKey]; [SharingHelper.SHARE_WITH]; [StoreReferrerHuaweiAppGallery.IHuaweiInstallReferrerEvents]; [Base64.Coder]; [Base64.Decoder]; [Base64.Encoder]; [StoreReferrerGooglePlayStore.IGoogleInstallReferrerEvents]; [DeferredAppLinkDataHandler.AppLinkFetchEvents]. LCC (Lack of Component Cohesion) = 0.37
BranchMetrics_Branch-Android-SDK,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 5.4. All the dependencies among components: from: io.branch.referral to: io.branch.referral.util; from: io.branch.referral to: io.branch.referral.utils; from: io.branch.referral to: io.branch.referral.QRCode; from: io.branch.referral to: io.branch.indexing; from: io.branch.referral to: io.branch.referral.test.mock; from: io.branch.referral to: android.text; from: io.branch.referral to: io.branch.referral.validators; from: io.branch.referral to: io.branch.referral.network; from: io.branch.referral.test.mock to: io.branch.referral; from: io.branch.referral.util to: io.branch.referral; from: io.branch.referral.util to: io.branch.indexing; from: io.branch.referral.util to: android.text; from: io.branch.referral.QRCode to: io.branch.indexing; from: io.branch.referral.QRCode to: io.branch.referral.util; from: io.branch.referral.QRCode to: io.branch.referral; from: io.branch.referral.network to: io.branch.referral; from: io.branch.referral.network to: android.text; from: io.branch.referral.validators to: io.branch.referral; from: io.branch.referral.validators to: android.text; from: io.branch.indexing to: io.branch.referral.util; from: io.branch.indexing to: io.branch.referral; from: io.branch.indexing to: android.text; from: io.branch.branchandroiddemo to: io.branch.indexing; from: io.branch.branchandroiddemo to: io.branch.referral.util; from: io.branch.branchandroiddemo to: io.branch.referral; from: io.branch.branchandroiddemo to: android.text; from: io.branch.branchandroiddemo to: io.branch.referral.QRCode.
BranchMetrics_Branch-Android-SDK,io.branch.referral.test.mock,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: io.branch.referral.test.mock; io.branch.referral
BranchMetrics_Branch-Android-SDK,io.branch.referral.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: io.branch.referral.util; io.branch.referral
BranchMetrics_Branch-Android-SDK,io.branch.referral.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: io.branch.referral.util; io.branch.referral; io.branch.referral.QRCode
BranchMetrics_Branch-Android-SDK,io.branch.referral.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: io.branch.referral.util; io.branch.referral; io.branch.referral.QRCode; io.branch.indexing
