Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
ClickTravel_Cheddar,com.clicktravel.infrastructure.inmemory,Resettable,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ClickTravel_Cheddar,com.clicktravel.infrastructure.tx.inmemory,InMemoryTransactionalResourceManager,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ClickTravel_Cheddar,com.clicktravel.infrastructure.persistence.inmemory.document.search,InMemoryDocumentSearchEngine,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ClickTravel_Cheddar,com.clicktravel.infrastructure.persistence.inmemory.document.search,StubDocument,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ClickTravel_Cheddar,com.clicktravel.infrastructure.persistence.inmemory.document.search.mock.exception,SearchExpectationException,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: serialVersionUID
ClickTravel_Cheddar,com.clicktravel.infrastructure.persistence.inmemory.filestore,RandomFileStoreHelper,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ClickTravel_Cheddar,com.clicktravel.infrastructure.persistence.inmemory.database,InMemoryBatchDatabaseTemplate,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): InMemoryDatabaseTemplate
ClickTravel_Cheddar,com.clicktravel.infrastructure.persistence.inmemory.database,InMemoryDatabaseTemplateTest,Unexploited Encapsulation,The tool detected the smell because a set of type checks are performed while those types belong to the same hierarchy. The participating types that were checked are: StubVariantItem; StubVariantTwoItem in method shouldFetch_withKeySetQueryWithMixedVariantsByParent
ClickTravel_Cheddar,com.clicktravel.infrastructure.persistence.inmemory.database,InMemoryDatabaseTemplateTest,Missing Hierarchy,The tool detected the smell because a set of type checks are performed to explicitly manage variation in behavior where a hierarchy could have been formed consisting of these participating types. The participating types that were checked are: StubVariantItem; StubVariantTwoItem in method shouldFetch_withKeySetQueryWithMixedVariantsByParent
ClickTravel_Cheddar,com.clicktravel.infrastructure.persistence.inmemory.database,InMemoryDatabaseTemplateTest,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 43 public methods
ClickTravel_Cheddar,com.clicktravel.infrastructure.persistence.inmemory.database,InMemoryDbDataGenerator,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: UNIT_TEST_SCHEMA_NAME; STUB_ITEM_TABLE_NAME; STUB_ITEM_WITH_RANGE_TABLE_NAME; STUB_ITEM_WITH_GSI_TABLE_NAME; logger
ClickTravel_Cheddar,com.clicktravel.infrastructure.messaging.inmemory,InMemoryTypedMessageListener,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): InMemoryMessageListener
ClickTravel_Cheddar,com.clicktravel.infrastructure.messaging.inmemory,InMemoryMessageQueuePoller,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: InMemoryMessageQueuePoller; InMemoryMessageListener
ClickTravel_Cheddar,com.clicktravel.infrastructure.messaging.inmemory,DefaultInMemoryMessageForwardingControl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ClickTravel_Cheddar,com.clicktravel.infrastructure.messaging.inmemory,InMemoryBasicMessageListener,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ClickTravel_Cheddar,com.clicktravel.infrastructure.messaging.inmemory,InMemoryBasicMessageListener,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): InMemoryMessageListener
ClickTravel_Cheddar,com.clicktravel.infrastructure.messaging.inmemory,InMemoryMessagePublisherTest,Feature Envy,The tool detected a instance of this smell because shouldReturnPublishedMessages_afterPublishMessage is more interested in members of the type: InMemoryMessagePublisher
ClickTravel_Cheddar,com.clicktravel.infrastructure.messaging.inmemory,StubOtherEvent,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: type
ClickTravel_Cheddar,com.clicktravel.infrastructure.messaging.inmemory,InMemoryMessageSenderTest,Feature Envy,The tool detected a instance of this smell because shouldReturnSentMessages_onGetSentMessages is more interested in members of the type: InMemoryMessageSender
ClickTravel_Cheddar,com.clicktravel.infrastructure.messaging.inmemory,InMemoryMessageSenderTest,Feature Envy,The tool detected a instance of this smell because shouldReturnDelayedSentMessages_onGetSentMessages is more interested in members of the type: InMemoryMessageSender
ClickTravel_Cheddar,com.clicktravel.infrastructure.messaging.inmemory,StubEvent,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: type; eventField
ClickTravel_Cheddar,com.clicktravel.cheddar.query.model.exception,NonExistentQueryModelException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ClickTravel_Cheddar,com.clicktravel.cheddar.query.model,PaginatedCollectionQm,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ClickTravel_Cheddar,com.clicktravel.cheddar.infrastructure.tx,NestedTransactionException,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): TransactionException
ClickTravel_Cheddar,com.clicktravel.cheddar.infrastructure.tx,NonExistentTransactionException,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): TransactionException
ClickTravel_Cheddar,com.clicktravel.cheddar.infrastructure.tx,TransactionalResourceException,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): TransactionException
ClickTravel_Cheddar,com.clicktravel.cheddar.infrastructure.persistence.document.search.sort,SortOrder,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: sortingOptions; DEFAULT
ClickTravel_Cheddar,com.clicktravel.cheddar.infrastructure.persistence.document.search.sort,SortingOption.Direction,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
ClickTravel_Cheddar,com.clicktravel.cheddar.infrastructure.persistence.document.search.sort,SortingOption.Direction,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ClickTravel_Cheddar,com.clicktravel.cheddar.infrastructure.persistence.document.search.exception,UnsuccessfulSearchException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ClickTravel_Cheddar,com.clicktravel.cheddar.infrastructure.persistence.document.search.configuration,IndexFieldType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
ClickTravel_Cheddar,com.clicktravel.cheddar.infrastructure.persistence.document.search.configuration,StubDocument,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ClickTravel_Cheddar,com.clicktravel.cheddar.infrastructure.persistence.document.search.configuration,StubDocument.MyEnum,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
ClickTravel_Cheddar,com.clicktravel.cheddar.infrastructure.persistence.document.search.configuration,StubDocument.MyEnum,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
ClickTravel_Cheddar,com.clicktravel.cheddar.infrastructure.persistence.document.search.query,QueryType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
ClickTravel_Cheddar,com.clicktravel.cheddar.infrastructure.persistence.document.search.query,OrQuery,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): StructuredQuery
