Project Name,Package Name,Architecture Smell,Cause of the Smell
ConnectSDK_Connect-SDK-Android-Core,com.connectsdk.service.webos,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.connectsdk.service.webos; com.connectsdk.service
ConnectSDK_Connect-SDK-Android-Core,com.connectsdk.service.webos,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.connectsdk.service.webos; com.connectsdk.service; com.connectsdk.service.sessions
ConnectSDK_Connect-SDK-Android-Core,com.connectsdk.service.webos,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.connectsdk.service.webos; com.connectsdk.service; com.connectsdk.service.capability; com.connectsdk.service.sessions
ConnectSDK_Connect-SDK-Android-Core,com.connectsdk.service.webos,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [WebOSTVServiceSocketClient; WebOSTVTrustManager; WebOSTVServiceSocketClientTest; WebOSTVMouseSocketConnection]; [WebOSTVServiceSocketClient.State]; [WebOSTVServiceSocketClient.WebOSTVServiceSocketClientListener]; [WebOSTVDeviceService]; [WebOSTVDeviceService.WebOSTVServicePermission]; [WebOSTVDeviceService.Open]; [WebOSTVDeviceService.Protected]; [WebOSTVDeviceService.PersonalActivity]; [WebOSTVMouseSocketConnection.WebOSTVMouseSocketListener]; [WebOSTVMouseSocketConnection.ButtonType]; [WebOSTVKeyboardInput]. LCC (Lack of Component Cohesion) = 0.79
ConnectSDK_Connect-SDK-Android-Core,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 6.67. All the dependencies among components: from: com.connectsdk.service.webos to: com.connectsdk.service.config; from: com.connectsdk.service.webos to: com.connectsdk.service; from: com.connectsdk.service.webos to: com.connectsdk.service.command; from: com.connectsdk.service.webos to: com.connectsdk.service.capability.listeners; from: com.connectsdk.service.webos to: com.connectsdk.core; from: com.connectsdk.service.webos to: com.connectsdk.discovery; from: com.connectsdk.service.webos to: com.connectsdk.device; from: com.connectsdk.service.webos to: com.connectsdk.service.capability; from: com.connectsdk.service.webos to: com.connectsdk.service.sessions; from: com.connectsdk.service.webos.lgcast.common.transfer to: com.connectsdk.service.webos.lgcast.common.utils; from: com.connectsdk.service.webos.lgcast.common.transfer to: org.freedesktop.gstreamer; from: com.connectsdk.service.webos.lgcast.common.streaming to: com.connectsdk.service.webos.lgcast.common.transfer; from: com.connectsdk.service.webos.lgcast.common.streaming to: com.connectsdk.service.webos.lgcast.common.utils; from: com.connectsdk.service.webos.lgcast.common.connection to: com.connectsdk.service.webos.lgcast.common.utils; from: com.connectsdk.service.webos.lgcast.common.connection to: com.connectsdk.device; from: com.connectsdk.service.webos.lgcast.common.connection to: com.connectsdk.service; from: com.connectsdk.service.webos.lgcast.common.connection to: com.connectsdk.service.command; from: com.connectsdk.service.webos.lgcast.common.connection to: com.connectsdk.service.webos.lgcast.screenmirroring.uibc; from: com.connectsdk.service.webos.lgcast.common.connection to: com.connectsdk.service.capability.listeners; from: com.connectsdk.service.webos.lgcast.remotecamera.service to: com.connectsdk.service.webos.lgcast.common.transfer; from: com.connectsdk.service.webos.lgcast.remotecamera.service to: com.connectsdk.service.webos.lgcast.remotecamera; from: com.connectsdk.service.webos.lgcast.remotecamera.service to: com.connectsdk.service.webos.lgcast.common.utils; from: com.connectsdk.service.webos.lgcast.remotecamera.service to: com.connectsdk.service.webos.lgcast.common.connection; from: com.connectsdk.service.webos.lgcast.remotecamera.service to: com.connectsdk.service.webos.lgcast.remotecamera.capability; from: com.connectsdk.service.webos.lgcast.remotecamera.service to: com.connectsdk.service.webos.lgcast.common.streaming; from: com.connectsdk.service.webos.lgcast.remotecamera.service to: com.connectsdk.service.webos.lgcast.remotecamera.capture; from: com.connectsdk.service.webos.lgcast.remotecamera.service to: com.connectsdk.device; from: com.connectsdk.service.webos.lgcast.remotecamera.service to: com.connectsdk.discovery; from: com.connectsdk.service.webos.lgcast.remotecamera.capture to: com.connectsdk.service.webos.lgcast.common.utils; from: com.connectsdk.service.webos.lgcast.remotecamera.capture to: com.connectsdk.service.webos.lgcast.remotecamera.service; from: com.connectsdk.service.webos.lgcast.remotecamera.capture to: com.connectsdk.service.webos.lgcast.remotecamera; from: com.connectsdk.service.webos.lgcast.remotecamera.api to: com.connectsdk.service.webos.lgcast.common.utils; from: com.connectsdk.service.webos.lgcast.remotecamera.api to: com.connectsdk.service.webos.lgcast.remotecamera.service; from: com.connectsdk.service.webos.lgcast.remotecamera.api to: com.connectsdk.service.capability; from: com.connectsdk.service.webos.lgcast.remotecamera.capability to: com.connectsdk.service.webos.lgcast.remotecamera.service; from: com.connectsdk.service.webos.lgcast.remotecamera.capability to: com.connectsdk.service.webos.lgcast.common.utils; from: com.connectsdk.service.webos.lgcast.screenmirroring.service to: com.connectsdk.service.webos.lgcast.common.utils; from: com.connectsdk.service.webos.lgcast.screenmirroring.service to: com.connectsdk.service.webos.lgcast.common.connection; from: com.connectsdk.service.webos.lgcast.screenmirroring.service to: com.connectsdk.service.webos.lgcast.screenmirroring.capability; from: com.connectsdk.service.webos.lgcast.screenmirroring.service to: com.connectsdk.service.webos.lgcast.common.transfer; from: com.connectsdk.service.webos.lgcast.screenmirroring.service to: com.connectsdk.service.webos.lgcast.screenmirroring; from: com.connectsdk.service.webos.lgcast.screenmirroring.service to: com.connectsdk.service.webos.lgcast.common.streaming; from: com.connectsdk.service.webos.lgcast.screenmirroring.service to: com.connectsdk.device; from: com.connectsdk.service.webos.lgcast.screenmirroring.service to: com.connectsdk.service.webos.lgcast.screenmirroring.uibc; from: com.connectsdk.service.webos.lgcast.screenmirroring.service to: com.connectsdk.discovery; from: com.connectsdk.service.webos.lgcast.screenmirroring.uibc to: com.connectsdk.service.webos.lgcast.common.utils; from: com.connectsdk.service.webos.lgcast.screenmirroring.uibc to: com.connectsdk.service.webos.lgcast.screenmirroring; from: com.connectsdk.service.webos.lgcast.screenmirroring.uibc to: com.connectsdk.service.webos.lgcast.screenmirroring.service; from: com.connectsdk.service.webos.lgcast.screenmirroring.api to: com.connectsdk.service.webos.lgcast.common.utils; from: com.connectsdk.service.webos.lgcast.screenmirroring.api to: com.connectsdk.service.webos.lgcast.screenmirroring.service; from: com.connectsdk.service.webos.lgcast.screenmirroring.api to: com.connectsdk.service.webos.lgcast.screenmirroring; from: com.connectsdk.service.webos.lgcast.screenmirroring.api to: com.connectsdk.service.capability; from: com.connectsdk.service.webos.lgcast.screenmirroring.capability to: com.connectsdk.service.webos.lgcast.common.utils; from: com.connectsdk.service.webos.lgcast.screenmirroring.capability to: com.connectsdk.service.webos.lgcast.screenmirroring; from: com.connectsdk.service to: com.connectsdk.service.config; from: com.connectsdk.service to: com.connectsdk.core; from: com.connectsdk.service to: com.connectsdk.service.capability; from: com.connectsdk.service to: com.connectsdk.service.capability.listeners; from: com.connectsdk.service to: com.connectsdk.service.sessions; from: com.connectsdk.service to: com.connectsdk.service.command; from: com.connectsdk.service to: com.connectsdk.service.roku; from: com.connectsdk.service to: com.connectsdk.etc.helper; from: com.connectsdk.service to: com.connectsdk.discovery; from: com.connectsdk.service to: com.connectsdk.device; from: com.connectsdk.service to: com.connectsdk.service.netcast; from: com.connectsdk.service to: com.connectsdk.service.airplay; from: com.connectsdk.service to: com.connectsdk.service.webos; from: com.connectsdk.service to: com.connectsdk.service.webos.lgcast.common.utils; from: com.connectsdk.service to: com.connectsdk.service.webos.lgcast.screenmirroring.api; from: com.connectsdk.service to: com.connectsdk.service.webos.lgcast.remotecamera.api; from: com.connectsdk.service to: com.connectsdk.service.upnp; from: com.connectsdk.service to: com.connectsdk.discovery.provider.ssdp; from: com.connectsdk.service.command to: com.connectsdk.service.capability.listeners; from: com.connectsdk.service.roku to: com.connectsdk.core; from: com.connectsdk.service.config to: com.connectsdk.core; from: com.connectsdk.service.netcast to: com.connectsdk.core; from: com.connectsdk.service.netcast to: com.connectsdk.service; from: com.connectsdk.service.netcast to: com.connectsdk.service.capability.listeners; from: com.connectsdk.service.sessions to: com.connectsdk.service; from: com.connectsdk.service.sessions to: com.connectsdk.service.capability.listeners; from: com.connectsdk.service.sessions to: com.connectsdk.service.webos; from: com.connectsdk.service.sessions to: com.connectsdk.service.command; from: com.connectsdk.service.sessions to: com.connectsdk.service.capability; from: com.connectsdk.service.sessions to: com.connectsdk.core; from: com.connectsdk.service.sessions to: com.connectsdk.service.config; from: com.connectsdk.service.capability to: com.connectsdk.service.capability.listeners; from: com.connectsdk.service.capability to: com.connectsdk.core; from: com.connectsdk.service.capability to: com.connectsdk.service.sessions; from: com.connectsdk.service.capability to: com.connectsdk.device; from: com.connectsdk.service.capability to: com.connectsdk.service.webos.lgcast.common.utils; from: com.connectsdk.service.capability to: com.connectsdk.discovery; from: com.connectsdk.service.capability.listeners to: com.connectsdk.service.command; from: com.connectsdk.service.airplay.auth to: com.connectsdk.service.airplay.auth.crypt; from: com.connectsdk.service.airplay to: com.connectsdk.service.airplay.auth; from: com.connectsdk.service.airplay to: com.connectsdk.service.config; from: com.connectsdk.service.airplay to: com.connectsdk.service.command; from: com.connectsdk.service.airplay to: com.connectsdk.core; from: com.connectsdk.service.airplay to: com.connectsdk.etc.helper; from: com.connectsdk.service.upnp to: com.connectsdk.service.capability.listeners; from: com.connectsdk.service.upnp to: com.connectsdk.core; from: com.connectsdk.service.upnp to: com.connectsdk.service.command; from: com.connectsdk.device to: com.connectsdk.service.command; from: com.connectsdk.device to: com.connectsdk.service; from: com.connectsdk.device to: com.connectsdk.core; from: com.connectsdk.device to: com.connectsdk.discovery; from: com.connectsdk.device to: com.connectsdk.service.config; from: com.connectsdk.device to: com.connectsdk.service.capability; from: com.connectsdk.discovery.provider to: com.connectsdk.service.config; from: com.connectsdk.discovery.provider to: com.connectsdk.discovery; from: com.connectsdk.discovery.provider to: com.connectsdk.core; from: com.connectsdk.discovery.provider to: com.connectsdk.discovery.provider.ssdp; from: com.connectsdk.discovery.provider.ssdp to: com.connectsdk.core; from: com.connectsdk.discovery to: com.connectsdk.device; from: com.connectsdk.discovery to: com.connectsdk.service.command; from: com.connectsdk.discovery to: com.connectsdk.service.config; from: com.connectsdk.discovery to: com.connectsdk.service; from: com.connectsdk.discovery to: com.connectsdk.core; from: com.connectsdk.discovery to: com.connectsdk.discovery.provider; from: com.connectsdk.core to: com.connectsdk.service.capability.listeners; from: com.connectsdk.core to: com.connectsdk.service.command.
ConnectSDK_Connect-SDK-Android-Core,com.connectsdk.service.webos.lgcast.common.transfer,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [RTPStreamer]; [RTPStreamerData; RTPStreamerConfig; RTPStreamerConfig.SecurityConfig; RTPStreamerConfig.VideoConfig; RTPStreamerConfig.AudioConfig; RTPStreamerSetting; RTPStreamerSetting.StreamRSCInfo; RTPStreamerSetting.VideoStreamInfo; RTPStreamerSetting.AudioStreamInfo; RTPStreamerSetting.SecurityInfo; RTPStreamerSetting.StreamSetting]; [RTPStreamerData.VideoType]; [RTPStreamerData.AudioType]; [RTPStreamerData.MediaType]; [RTPStreamerData.ProtocolType]; [RTPStreamerData.ResourceType]; [RTPStreamerData.SRTPAuthType]; [RTPStreamerData.SRTPCipherType]; [RTPStreamerConfig.SecurityKey]; [RTPStreamerSetting.StreamInfo]; [RTPStreamerSetting.KeyInfo]. LCC (Lack of Component Cohesion) = 0.55
ConnectSDK_Connect-SDK-Android-Core,com.connectsdk.service.webos.lgcast.common.utils,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [StopWatch]; [XmlUtil; Logger; JSONObjectEx; StringUtil; AppUtil; TimerUtil; ProgressUtil; ThreadUtil]; [AudioUtil]; [TimerUtil.TimerListener]; [DeviceUtil]; [LocalBroadcastEx]; [LocalBroadcastEx.BroadcastListener]; [HandlerThreadEx]; [HandlerThreadEx.HandlerCallback]; [PrefUtil]; [ProgressUtil.DismissListener]; [ThreadWait]; [ThreadWait.WaitResult]; [IOUtil]. LCC (Lack of Component Cohesion) = 0.67
ConnectSDK_Connect-SDK-Android-Core,com.connectsdk.service.webos.lgcast.common.connection,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.connectsdk.service.webos.lgcast.common.connection; com.connectsdk.service.webos.lgcast.screenmirroring.uibc; com.connectsdk.service.webos.lgcast.screenmirroring.service
ConnectSDK_Connect-SDK-Android-Core,com.connectsdk.service.webos.lgcast.common.connection,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.connectsdk.service.webos.lgcast.common.connection; com.connectsdk.service; com.connectsdk.service.webos.lgcast.screenmirroring.api; com.connectsdk.service.webos.lgcast.screenmirroring.service
ConnectSDK_Connect-SDK-Android-Core,com.connectsdk.service.webos.lgcast.common.connection,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.connectsdk.service.webos.lgcast.common.connection; com.connectsdk.device; com.connectsdk.service; com.connectsdk.service.webos.lgcast.screenmirroring.api; com.connectsdk.service.webos.lgcast.screenmirroring.service
