Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
DICE-UNC_jargon,org.irods.jargon.ticket,TicektServiceFactoryImplTest,testTicketServiceFactoryImpl,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
DICE-UNC_jargon,org.irods.jargon.ticket,TicketAdminServiceImplTest,testCreateTicketForCollectionAndThenListIt,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
DICE-UNC_jargon,org.irods.jargon.ticket,TicketAdminServiceImplTest,testCreateTicketForCollectionAndThenListIt,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.
DICE-UNC_jargon,org.irods.jargon.ticket,TicketAdminServiceImplTest,testDeleteTicketForTicketDoesNotExist,Exceptional handling,The tool detected the smell in this test method because the test throws exception(s) from test (rather than using assertThrows method or expected annotation)
DICE-UNC_jargon,org.irods.jargon.ticket,TicketAdminServiceImplTest,testModifyTicketUsesLimitForTicketExists,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
DICE-UNC_jargon,org.irods.jargon.ticket,TicketAdminServiceImplTest,testModifyTicketUsesLimitForTicketDoesNotExist,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
DICE-UNC_jargon,org.irods.jargon.ticket,TicketAdminServiceImplTest,testModifyTicketFileWriteLimitForTicketExists,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
DICE-UNC_jargon,org.irods.jargon.ticket,TicketAdminServiceImplTest,testModifyTicketFileWriteLimitForTicketDoesNotExist,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
DICE-UNC_jargon,org.irods.jargon.ticket,TicketAdminServiceImplTest,testModifyTicketFileWriteLimitForTicketDoesNotExist,Exceptional handling,The tool detected the smell in this test method because the test throws exception(s) from test (rather than using assertThrows method or expected annotation)
DICE-UNC_jargon,org.irods.jargon.ticket,TicketAdminServiceImplTest,testModifyTicketByteWriteLimitForTicketExists,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
DICE-UNC_jargon,org.irods.jargon.ticket,TicketAdminServiceImplTest,testModifyTicketByteWriteLimitForTicketDoesNotExist,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
DICE-UNC_jargon,org.irods.jargon.ticket,TicketAdminServiceImplTest,testModifyTicketExpirationForTicketExists,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
DICE-UNC_jargon,org.irods.jargon.ticket,TicketAdminServiceImplTest,testModifyTicketExpirationForTicketDoesNotExist,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
DICE-UNC_jargon,org.irods.jargon.ticket,TicketAdminServiceImplTest,testAddTicketUserRestrictionForTicketExists,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
DICE-UNC_jargon,org.irods.jargon.ticket,TicketAdminServiceImplTest,testAddTicketUserRestrictionForTicketDoesNotExist,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
DICE-UNC_jargon,org.irods.jargon.ticket,TicketAdminServiceImplTest,testRemoveTicketUserRestrictionForTicketExists,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
DICE-UNC_jargon,org.irods.jargon.ticket,TicketAdminServiceImplTest,testRemoveTicketUserRestrictionForTicketDoesNotExist,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
DICE-UNC_jargon,org.irods.jargon.ticket,TicketAdminServiceImplTest,testAddTicketGroupRestrictionForTicketExists,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
DICE-UNC_jargon,org.irods.jargon.ticket,TicketAdminServiceImplTest,testAddTicketGroupRestrictionForTicketDoesNotExist,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
DICE-UNC_jargon,org.irods.jargon.ticket,TicketAdminServiceImplTest,testRemoveTicketGroupRestrictionForTicketExists,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
DICE-UNC_jargon,org.irods.jargon.ticket,TicketAdminServiceImplTest,testRemoveTicketGroupRestrictionForTicketDoesNotExist,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
DICE-UNC_jargon,org.irods.jargon.ticket,TicketAdminServiceImplTest,testAddTicketHostRestrictionForTicketExists,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
DICE-UNC_jargon,org.irods.jargon.ticket,TicketAdminServiceImplTest,testAddTicketHostRestrictionForTicketDoesNotExist,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
DICE-UNC_jargon,org.irods.jargon.ticket,TicketAdminServiceImplTest,testRemoveTicketHostRestrictionForTicketExists,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
DICE-UNC_jargon,org.irods.jargon.ticket,TicketAdminServiceImplTest,testRemoveTicketHostRestrictionForTicketDoesNotExist,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
DICE-UNC_jargon,org.irods.jargon.ticket,TicketAdminServiceImplTest,listAllTicketsForGivenCollection,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
DICE-UNC_jargon,org.irods.jargon.ticket,TicketAdminServiceImplTest,listAllTicketsForGivenCollection,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.
DICE-UNC_jargon,org.irods.jargon.ticket,TicketAdminServiceImplTest,createTicketFromTicketObjectForDataObject,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
DICE-UNC_jargon,org.irods.jargon.ticket,TicketAdminServiceImplTest,createTicketFromTicketObjectForCollection,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
DICE-UNC_jargon,org.irods.jargon.ticket,TicketAdminServiceImplTest,createWriteTicketFromTicketObjectForCollectionSetCounts,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 11
