Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
DataDog_jmxfetch,org.datadog.jmxfetch,Instance,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PROCESS_NAME_REGEX; JVM_DIRECT; ATTRIBUTE
DataDog_jmxfetch,org.datadog.jmxfetch,Instance,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
DataDog_jmxfetch,org.datadog.jmxfetch,App,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 16
DataDog_jmxfetch,org.datadog.jmxfetch,ConnectionFactory,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PROCESS_NAME_REGEX
DataDog_jmxfetch,org.datadog.jmxfetch,AppConfig,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ACTION_COLLECT; ACTION_LIST_JVMS; ACTION_LIST_EVERYTHING; ACTION_LIST_COLLECTED; ACTION_LIST_MATCHING; ACTION_LIST_WITH_METRICS; ACTION_LIST_WITH_RATE_METRICS; ACTION_LIST_NOT_MATCHING; ACTION_LIST_LIMITED; ACTION_HELP; ACTION_VERSION; ACTIONS
DataDog_jmxfetch,org.datadog.jmxfetch,Connection,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: CLOSED_CLIENT_CAUSE
DataDog_jmxfetch,org.datadog.jmxfetch,HttpClient.HttpResponse,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
DataDog_jmxfetch,org.datadog.jmxfetch,Status,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: STATUS_WARNING; STATUS_OK; STATUS_ERROR
DataDog_jmxfetch,org.datadog.jmxfetch.reporter,Reporter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: VALUE
DataDog_jmxfetch,org.datadog.jmxfetch.validator,LogLevelValidator,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: LOGLEVELS
