Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
DroidPlanner_DroneKit-Android,com.o3dr.android.client.apis,ControlApiTest,testMoveAtVelocity,Magic Number,The method contains a magic number: 100,45
DroidPlanner_DroneKit-Android,com.o3dr.android.client.apis,ControlApiTest,testMoveAtVelocity,Magic Number,The method contains a magic number: 2,45
DroidPlanner_DroneKit-Android,com.o3dr.android.client.apis,ControlApiTest,testMoveAtVelocity,Magic Number,The method contains a magic number: 2,45
DroidPlanner_DroneKit-Android,com.o3dr.android.client.apis,ControlApiTest,testMoveAtVelocity,Magic Number,The method contains a magic number: 2,45
DroidPlanner_DroneKit-Android,com.o3dr.android.client.apis,ControlApiTest,testMoveAtVelocity,Magic Number,The method contains a magic number: 0.001,45
DroidPlanner_DroneKit-Android,com.o3dr.android.client.apis,ControlApiTest,testMoveAtVelocity,Magic Number,The method contains a magic number: 0.001,45
DroidPlanner_DroneKit-Android,com.o3dr.android.client.apis,ControlApiTest,testMoveAtVelocity,Magic Number,The method contains a magic number: 0.001,45
DroidPlanner_DroneKit-Android,com.o3dr.android.client.apis,ControlApi,turnTo,Magic Number,The method contains a magic number: 360,129
DroidPlanner_DroneKit-Android,com.o3dr.android.client.apis,ControlApi,manualControl,Complex Conditional,The conditional expression !isWithinBounds(vx`-1f`1f) || !isWithinBounds(vy`-1f`1f) || !isWithinBounds(vz`-1f`1f) is complex.,150
DroidPlanner_DroneKit-Android,com.o3dr.android.client.apis,ExperimentalApi,setRelay,Magic Number,The method contains a magic number: 2,129
DroidPlanner_DroneKit-Android,com.o3dr.android.client.apis,ExperimentalApi,setServo,Magic Number,The method contains a magic number: 2,153
DroidPlanner_DroneKit-Android,com.o3dr.android.client.apis,ExperimentalApi,startVideoStream,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@2fb9c103,167
DroidPlanner_DroneKit-Android,com.o3dr.android.client.apis,ExperimentalApi,onFeatureSupportResult,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@2fb9c103,183
DroidPlanner_DroneKit-Android,com.o3dr.android.client.apis,ExperimentalApi,stopVideoStream,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@699c2be7,224
DroidPlanner_DroneKit-Android,com.o3dr.android.client.apis,ExperimentalApi,onFeatureSupportResult,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@699c2be7,234
DroidPlanner_DroneKit-Android,com.o3dr.android.client.apis,ExperimentalApi,startVideoStreamForObserver,Long Statement,The length of the statement "drone.performAsyncActionOnDroneThread(new Action(ExperimentalActions.ACTION_START_VIDEO_STREAM_FOR_OBSERVER`params)`listener);" is 126.,281
DroidPlanner_DroneKit-Android,com.o3dr.android.client.apis,ExperimentalApi,stopVideoStreamForObserver,Long Statement,The length of the statement "drone.performAsyncActionOnDroneThread(new Action(ExperimentalActions.ACTION_STOP_VIDEO_STREAM_FOR_OBSERVER`params)`listener);" is 125.,297
DroidPlanner_DroneKit-Android,com.o3dr.android.client.apis,CapabilityApi,checkFeatureSupport,Complex Method,Cyclomatic complexity of the method is 8,59
DroidPlanner_DroneKit-Android,com.o3dr.android.client.apis,CapabilityApi,checkFeatureSupport,Long Identifier,The length of the field FEATURE_ERROR_DRONE_DISCONNECTED is 32.,59
DroidPlanner_DroneKit-Android,com.o3dr.android.client.apis,CapabilityApi,checkFeatureSupport,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@6f6388ed,59
DroidPlanner_DroneKit-Android,com.o3dr.android.client.apis,CapabilityApi,run,Long Identifier,The length of the field FEATURE_ERROR_DRONE_DISCONNECTED is 32.,70
DroidPlanner_DroneKit-Android,com.o3dr.android.client,ControlTower,connect,Complex Conditional,The conditional expression towerListener != null && (isServiceConnecting.get() || isTowerConnected()) is complex.,121
DroidPlanner_DroneKit-Android,com.o3dr.android.client,Drone,checkForGroundCollision,Long Identifier,The length of the field COLLISION_SECONDS_BEFORE_COLLISION is 34.,181
DroidPlanner_DroneKit-Android,com.o3dr.android.client,Drone,checkForGroundCollision,Long Identifier,The length of the field COLLISION_DANGEROUS_SPEED_METERS_PER_SECOND is 43.,181
DroidPlanner_DroneKit-Android,com.o3dr.android.client,Drone,checkForGroundCollision,Long Identifier,The length of the field COLLISION_SAFE_ALTITUDE_METERS is 30.,181
DroidPlanner_DroneKit-Android,com.o3dr.android.client,Drone,checkForGroundCollision,Long Identifier,The length of the field EXTRA_IS_GROUND_COLLISION_IMMINENT is 34.,181
DroidPlanner_DroneKit-Android,com.o3dr.android.client,Drone,checkForGroundCollision,Long Identifier,The length of the field ACTION_GROUND_COLLISION_IMMINENT is 32.,181
DroidPlanner_DroneKit-Android,com.o3dr.android.client,Drone,checkForGroundCollision,Long Statement,The length of the statement "boolean isCollisionImminent=altitudeValue + (verticalSpeed * COLLISION_SECONDS_BEFORE_COLLISION) < 0 && verticalSpeed < COLLISION_DANGEROUS_SPEED_METERS_PER_SECOND && altitudeValue > COLLISION_SAFE_ALTITUDE_METERS;" is 214.,181
DroidPlanner_DroneKit-Android,com.o3dr.android.client,Drone,getFlightTime,Magic Number,The method contains a magic number: 1000,249
DroidPlanner_DroneKit-Android,com.o3dr.android.client,Drone,getAttributeDefaultValue,Complex Method,Cyclomatic complexity of the method is 21,324
DroidPlanner_DroneKit-Android,com.o3dr.android.client,Drone,getAttributeDefaultValue,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@1ea247c4,324
DroidPlanner_DroneKit-Android,com.o3dr.android.client,Drone,buildMissionItemsAsync,Long Statement,The length of the statement "for ( MissionItem.ComplexItem<T> missionItem : missionItems) MissionApi.getApi(Drone.this).buildMissionItem(missionItem);" is 121.,516
