Project Name,Package Name,Architecture Smell,Cause of the Smell
Firebase_geofire-java,com.firebase.geofire,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.firebase.geofire; com.firebase.geofire.core
Firebase_geofire-java,com.firebase.geofire,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.firebase.geofire; com.firebase.geofire.core; com.firebase.geofire.util
Firebase_geofire-java,com.firebase.geofire,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [GeoHashTest]; [GeoHashQueryUtilsTest]; [GeoUtilsTest]; [GeoFireIT; GeoLocation; EventListenerBridge; LocationCallback; GeoQueryDataEventListener; GeoQuery; GeoQuery.LocationInfo; GeoFire; GeoFire.LocationValueEventListener; GeoQueryEventListener; ThreadEventRaiser; GeoHashQueryTest; GeoQueryIT; EventRaiser]; [GeoLocationTest]; [GeoFire.CompletionListener]. LCC (Lack of Component Cohesion) = 0.32
Firebase_geofire-java,com.firebase.geofire.testing,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.firebase.geofire.testing; com.firebase.geofire
Firebase_geofire-java,com.firebase.geofire.testing,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.firebase.geofire
Firebase_geofire-java,com.firebase.geofire.testing,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [GeoQueryDataEventTestListener; TestListener; GeoQueryEventTestListener]; [GeoFireTestingRule; SimpleFuture; TestCallback]. LCC (Lack of Component Cohesion) = 0.33
Firebase_geofire-java,com.firebase.geofire.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.firebase.geofire.util; com.firebase.geofire
Firebase_geofire-java,com.firebase.geofire.util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.firebase.geofire.util; com.firebase.geofire; com.firebase.geofire.core
Firebase_geofire-java,com.firebase.geofire.util,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.firebase.geofire
Firebase_geofire-java,com.firebase.geofire.core,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.firebase.geofire.core; com.firebase.geofire
Firebase_geofire-java,com.firebase.geofire.core,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.firebase.geofire.core; com.firebase.geofire.util; com.firebase.geofire
Firebase_geofire-java,com.firebase.geofire.core,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.firebase.geofire
