Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
GlowstoneMC_Glowstone,net.glowstone.advancement,CriterionProgress,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: achieved; time
GlowstoneMC_Glowstone,net.glowstone.advancement,CriterionProgress,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
GlowstoneMC_Glowstone,net.glowstone.advancement,GlowAdvancementDisplay,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: PlayerDataFetcher; GlowPlayerProfile; GlowServer; SessionRegistry; GlowSession; ProtocolProvider; HandshakeProtocol; StatusProtocol; StatusRequestHandler; EventFactory; GlowPlayer; StatisticMap; GlowStatistic; ItemIds; InventoryUtil; PlayerRecipeMonitor; CompoundTag; NbtSerialization; GlowItemFactory; GlowMetaItem; InventoryMonitor; GlowInventoryView; GlowHumanEntity; GlowPlayerInventory; GlowCraftingInventory; GlowInventory; GlowInventorySlot; GlowItem; GlowEntity; GlowWorld; ChunkManager; ChunkIoService; GlowChunk; ChunkSection; GlowBlockState; GlowBlock; BlockEntity; ItemTable; ItemType; BlockType; SoundUtil; GlowMinecart; BlockRedstone; BlockObserver; BlockRedstoneTorch; GlowChunkSnapshot; GlowBiome; BiomePopulator; DungeonPopulator; GlowDungeon; StructureBuilder; GlowStructurePiece; BlockStateDelegate; TreeDecorator; GenericTree; DesertWellDecorator; GlowDesertWell; SurfaceCaveDecorator; EntityDecorator; MapLayer; WhittakerMapLayer; ZoomMapLayer; ErosionMapLayer; DeepOceanMapLayer; BiomeVariationMapLayer; BiomeMapLayer; BiomeEdgeMapLayer; RarePlainsMapLayer; BiomeThinEdgeMapLayer; ShoreMapLayer; RiverMapLayer; SmoothMapLayer; GlowChunkData; WorldStorageProvider; PlayerDataService; ScoreboardIoService; GlowScoreboard; GlowObjective; GlowTeam; PlayerStatisticIoService; EntityManager; ChunkDataMessage; CustomEntityDescriptor; EntityStore; EntityStorage; GlowLightningStrike; Explosion; BlockTnt; GlowTntPrimed; WorldConfig; GlowTree; EntityRegistry; GlowLivingEntity; TaskManager; EntityTask; AttributeManager; LootingManager; LootingUtil; GlowLeashHitch; GlowFishingHook; UserListItemMessage; SignEntity; PluginMessage; EntityUtils; BlockBed; GlowBed; BedEntity; ProfileCache; StatusPingHandler; LoginProtocol; LoginStartHandler; ProxyData; SecurityUtils; LoginPluginResponseHandler; KickCodec; GlowBufUtils; LoginSuccessCodec; PlayProtocol; TeleportConfirmHandler; IncomingChatHandler; ClientStatusHandler; ClientSettingsHandler; TabCompleteHandler; ClickWindowButtonHandler; WindowClickCodec; WindowClickHandler; WindowClickLogic; CloseWindowHandler; PluginMessageHandler; EditBookHandler; InteractEntityHandler; PingHandler; PlayerUpdateHandler; VehicleMoveHandler; SteerBoatHandler; GlowBoat; CraftRecipeRequestHandler; PlayerAbilitiesHandler; DiggingCodec; DiggingHandler; BlockPlacementHandler; UseItemHandler; PlayerActionHandler; SteerVehicleHandler; RecipeBookStateHandler; DisplayedRecipeHandler; NameItemHandler; GlowAnvilInventory; ResourcePackStatusHandler; AdvancementTabHandler; BeaconEffectHandler; HeldItemHandler; CreativeItemCodec; CreativeItemHandler; UpdateSignHandler; PlayerSwingArmHandler; SpectateCodec; SpectateHandler; BlockPlacementCodec; SpawnEntityCodec; SpawnPlayerCodec; BossBarCodec; TabCompleteResponseCodec; SetWindowContentsCodec; SetWindowSlotCodec; OpenWindowCodec; EntityMetadataCodec; EntityEquipmentCodec; ScoreboardObjectiveCodec; ScoreboardTeamCodec; AdvancementsCodec; GlowAdvancement; GlowAdvancementDisplay; EntityPropertyCodec; ServerConfig; CompatibilityBundle; LibraryManager; MessageHandler; GameServer; ConsoleManager; GlowHelpMap; GlowScoreboardManager; UuidListFile; GlowBanList; GlowBanEntry; EntityIdManager; WorldScheduler; GlowScheduler; GlowTask; QueryServer; RconServer; WorldStorageProviderFactory; GlowEnchantment; GlowDispenser; DispenseBehaviorRegistry; DispenseBehavior; DefaultDispenseBehavior; BlockDispenser; DispenserEntity; ArmorDispenseBehavior; GlowOfflinePlayer; OpenCompute; Mojangson
GlowstoneMC_Glowstone,net.glowstone,GlowWorld,Feature Envy,The tool detected a instance of this smell because unload is more interested in members of the type: WorldStorageProvider
GlowstoneMC_Glowstone,net.glowstone,GlowWorld,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: PlayerDataFetcher; GlowPlayerProfile; GlowServer; SessionRegistry; GlowSession; ProtocolProvider; HandshakeProtocol; StatusProtocol; StatusRequestHandler; EventFactory; GlowPlayer; StatisticMap; GlowStatistic; ItemIds; InventoryUtil; PlayerRecipeMonitor; CompoundTag; NbtSerialization; GlowItemFactory; GlowMetaItem; InventoryMonitor; GlowInventoryView; GlowHumanEntity; GlowPlayerInventory; GlowCraftingInventory; GlowInventory; GlowInventorySlot; GlowItem; GlowEntity; GlowWorld; ChunkManager; ChunkIoService; GlowChunk; ChunkSection; GlowBlockState; GlowBlock; BlockEntity; ItemTable; ItemType; BlockType; SoundUtil; GlowMinecart; BlockRedstone; BlockObserver; BlockRedstoneTorch; GlowChunkSnapshot; GlowBiome; BiomePopulator; DungeonPopulator; GlowDungeon; StructureBuilder; GlowStructurePiece; BlockStateDelegate; TreeDecorator; GenericTree; DesertWellDecorator; GlowDesertWell; SurfaceCaveDecorator; EntityDecorator; MapLayer; WhittakerMapLayer; ZoomMapLayer; ErosionMapLayer; DeepOceanMapLayer; BiomeVariationMapLayer; BiomeMapLayer; BiomeEdgeMapLayer; RarePlainsMapLayer; BiomeThinEdgeMapLayer; ShoreMapLayer; RiverMapLayer; SmoothMapLayer; GlowChunkData; WorldStorageProvider; PlayerDataService; ScoreboardIoService; GlowScoreboard; GlowObjective; GlowTeam; PlayerStatisticIoService; EntityManager; ChunkDataMessage; CustomEntityDescriptor; EntityStore; EntityStorage; GlowLightningStrike; Explosion; BlockTnt; GlowTntPrimed; WorldConfig; GlowTree; EntityRegistry; GlowLivingEntity; TaskManager; EntityTask; AttributeManager; LootingManager; LootingUtil; GlowLeashHitch; GlowFishingHook; UserListItemMessage; SignEntity; PluginMessage; EntityUtils; BlockBed; GlowBed; BedEntity; ProfileCache; StatusPingHandler; LoginProtocol; LoginStartHandler; ProxyData; SecurityUtils; LoginPluginResponseHandler; KickCodec; GlowBufUtils; LoginSuccessCodec; PlayProtocol; TeleportConfirmHandler; IncomingChatHandler; ClientStatusHandler; ClientSettingsHandler; TabCompleteHandler; ClickWindowButtonHandler; WindowClickCodec; WindowClickHandler; WindowClickLogic; CloseWindowHandler; PluginMessageHandler; EditBookHandler; InteractEntityHandler; PingHandler; PlayerUpdateHandler; VehicleMoveHandler; SteerBoatHandler; GlowBoat; CraftRecipeRequestHandler; PlayerAbilitiesHandler; DiggingCodec; DiggingHandler; BlockPlacementHandler; UseItemHandler; PlayerActionHandler; SteerVehicleHandler; RecipeBookStateHandler; DisplayedRecipeHandler; NameItemHandler; GlowAnvilInventory; ResourcePackStatusHandler; AdvancementTabHandler; BeaconEffectHandler; HeldItemHandler; CreativeItemCodec; CreativeItemHandler; UpdateSignHandler; PlayerSwingArmHandler; SpectateCodec; SpectateHandler; BlockPlacementCodec; SpawnEntityCodec; SpawnPlayerCodec; BossBarCodec; TabCompleteResponseCodec; SetWindowContentsCodec; SetWindowSlotCodec; OpenWindowCodec; EntityMetadataCodec; EntityEquipmentCodec; ScoreboardObjectiveCodec; ScoreboardTeamCodec; AdvancementsCodec; GlowAdvancement; GlowAdvancementDisplay; EntityPropertyCodec; ServerConfig; CompatibilityBundle; LibraryManager; MessageHandler; GameServer; ConsoleManager; GlowHelpMap; GlowScoreboardManager; UuidListFile; GlowBanList; GlowBanEntry; EntityIdManager; WorldScheduler; GlowScheduler; GlowTask; QueryServer; RconServer; WorldStorageProviderFactory; GlowEnchantment; GlowDispenser; DispenseBehaviorRegistry; DispenseBehavior; DefaultDispenseBehavior; BlockDispenser; DispenserEntity; ArmorDispenseBehavior; GlowOfflinePlayer; OpenCompute; Mojangson
GlowstoneMC_Glowstone,net.glowstone,GlowWorld,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 276 public methods
GlowstoneMC_Glowstone,net.glowstone,GlowWorld,Hub-like Modularization,The tool detected the smell in this class because this class has high number of incoming as well as outgoing dependencies. Incoming dependecies: Explosion; GlowServer; CommandTestWithFakePlayers; CommandTest; GlowstoneCommand; TimeCommand; FunctionCommand; WeatherCommand; TestForBlocksCommand; GameRuleCommand; DifficultyCommand; CloneCommand; SetWorldSpawnCommandTest; TestForBlocksCommandTest; ToggleDownfallCommandTest; ProjectileDispenseBehavior; TntDispenseBehavior; WorldScheduler; WorldScheduler.WorldEntry; WorldScheduler.WorldThread; WorldStorageProvider; WorldFunctionIoService; StructureStore; StructureStorage; TempleStore; NbtStructureDataService; NbtWorldMetadataService; AnvilWorldStorageProvider; EntityStorage; SoundUtil; SurfaceCaveDecorator; GlowBlockState; GlowBlock; BlockFire; BlockPiston; BlockMycel; BlockLeaves; BlockLog; BlockBed; BlockGrass; BlockFarmland; BlockMushroom; BlockVine; BlockSapling; DiggingHandler; UseItemHandlerTest; GlowChunk; ChunkManager; GlowPlayer; GlowLightningStrike; GlowEntity; GlowEntityTest; GlowSheep; GlowBossTest. Outgoing dependencies: GlowServer; ChunkManager; WorldStorageProvider; EntityManager; GameRuleManager; ConcurrentSet; GlowWorldBorder; GlowEntity; GlowChunk; ChunkSection; BlockType; BlockChangeMessage; BoundingBox; ServerDifficultyMessage; BlockStateDelegate; ChunkDataMessage; CustomEntityDescriptor; GlowItem; GlowLightningStrike; Explosion; EntityStatusMessage; ItemTable; GlowBlock; WorldConfig; TickUtil; GameRules; EventFactory; GlowBiomeClimate; RayUtil; GlowPlayer; GlowTree; ServerProvider; GlowBiome; EntityRegistry; EntityStorage; GlowEffect; GlowSound; GlowParticle
GlowstoneMC_Glowstone,net.glowstone,GlowWorld.WorldMetadataStore,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
GlowstoneMC_Glowstone,net.glowstone,GlowWorld.WorldMetadataStore,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
GlowstoneMC_Glowstone,net.glowstone,GlowOfflinePlayer,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 39 public methods
