Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
GlowstoneMC_Glowstone,net.glowstone.command,GameModeUtilsTest,testGameModeBuild,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 23
GlowstoneMC_Glowstone,net.glowstone.command,GameModeUtilsTest,testPrettyPrint,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
GlowstoneMC_Glowstone,net.glowstone.command,CommandTest,CommandTest,Constructor initialization,The tool detected the smell in this class because the class uses its constructor to initialize fields rather than test setup method.
GlowstoneMC_Glowstone,net.glowstone.command,CommandTest,testThatDescriptionAndUsageExist,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
GlowstoneMC_Glowstone,net.glowstone.command,CommandTest,testThatDescriptionAndUsageExist,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.
GlowstoneMC_Glowstone,net.glowstone.command.minecraft,SpawnPointCommandTest,testTabComplete,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
GlowstoneMC_Glowstone,net.glowstone.command.minecraft,SetIdleTimeoutCommandTest,testTabComplete,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
GlowstoneMC_Glowstone,net.glowstone.command.minecraft,SetWorldSpawnCommandTest,testTabComplete,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
GlowstoneMC_Glowstone,net.glowstone.command.minecraft,TestForBlocksCommandTest,testSuccessfulExecutionAllOverSameBlocks,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
GlowstoneMC_Glowstone,net.glowstone.command.minecraft,TestForBlocksCommandTest,testSuccessfulExecutionAllOverDifferentBlocks,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
GlowstoneMC_Glowstone,net.glowstone.command.minecraft,TestForBlocksCommandTest,testSuccessfulExecutionMasked,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
GlowstoneMC_Glowstone,net.glowstone.command.minecraft,TestForBlocksCommandTest,testFailedExecutionAll,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
GlowstoneMC_Glowstone,net.glowstone.command.minecraft,TestForBlocksCommandTest,testFailedExecutionMasked,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
GlowstoneMC_Glowstone,net.glowstone.command.minecraft,PlaySoundCommandTest,testTabComplete,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 16
GlowstoneMC_Glowstone,net.glowstone.command.minecraft,ToggleDownfallCommandTest,testTabComplete,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
GlowstoneMC_Glowstone,net.glowstone.util,VariableValueArrayTest,testBacking,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
GlowstoneMC_Glowstone,net.glowstone.util,VariableValueArrayTest,testResize,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
GlowstoneMC_Glowstone,net.glowstone.util,VariableValueArrayTest,testCalculateNeededBits,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 10
GlowstoneMC_Glowstone,net.glowstone.util,InventoryUtilTest,testRandomItem,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
GlowstoneMC_Glowstone,net.glowstone.util,SoundUtilTest,testBuildSoundCategory,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 14
GlowstoneMC_Glowstone,net.glowstone.util,TickUtilTest,testSecondsIntToTicks,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
GlowstoneMC_Glowstone,net.glowstone.util,TickUtilTest,testSecondsLongToTicks,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
GlowstoneMC_Glowstone,net.glowstone.util,TickUtilTest,testMinutesIntToTicks,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
GlowstoneMC_Glowstone,net.glowstone.util,TickUtilTest,testMinutesDoubleToTicks,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
GlowstoneMC_Glowstone,net.glowstone.util,CompatibilityBundleTest,fromConfigTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
GlowstoneMC_Glowstone,net.glowstone.util.nbt,NbtOutputTest,helloWorld,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
GlowstoneMC_Glowstone,net.glowstone.util.nbt,NbtOutputTest,bigTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
GlowstoneMC_Glowstone,net.glowstone.util.collection,SuperSetTest,containsTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
GlowstoneMC_Glowstone,net.glowstone.util.collection,SuperSetTest,sizeTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
GlowstoneMC_Glowstone,net.glowstone.util.collection,SuperListAndIteratorTest,sizeTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
GlowstoneMC_Glowstone,net.glowstone.util.collection,SuperListAndIteratorTest,iterationTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
GlowstoneMC_Glowstone,net.glowstone.inventory,GlowInventoryTest,testConsumeItem,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
GlowstoneMC_Glowstone,net.glowstone.inventory,PlayerInventoryTest,testBasics,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
GlowstoneMC_Glowstone,net.glowstone.inventory,PlayerInventoryTest,testSlotTypes,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
GlowstoneMC_Glowstone,net.glowstone.inventory,PlayerInventoryTest,testSetArmorContents,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
GlowstoneMC_Glowstone,net.glowstone.inventory,PlayerInventoryTest,testSetArmorSlots,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
GlowstoneMC_Glowstone,net.glowstone.inventory,PlayerInventoryTest,testDropChance,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
GlowstoneMC_Glowstone,net.glowstone.inventory,PlayerInventoryTest,testConsumeItemInMainHand,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
GlowstoneMC_Glowstone,net.glowstone.block,BuiltinMaterialValueManagerTest,correctMaterialValues,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 11
