Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
Hive2Hive_PeerBox,org.peerbox,ResultStatus,2,0,7,5,27,7,0,0,0.42857142857142855,11,0,/data/research/workspace/testability/data/repos/Hive2Hive_PeerBox/peerbox/src/main/java/org/peerbox/ResultStatus.java,3
Hive2Hive_PeerBox,org.peerbox,ResultStatus.STATUS_CODE,0,0,0,0,1,0,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/Hive2Hive_PeerBox/peerbox/src/main/java/org/peerbox/ResultStatus.java,5
Hive2Hive_PeerBox,org.peerbox,App,6,0,13,2,156,16,0,0,0.15384615384615385,0,9,/data/research/workspace/testability/data/repos/Hive2Hive_PeerBox/peerbox/src/main/java/org/peerbox/App.java,40
Hive2Hive_PeerBox,org.peerbox,StartupStage,5,0,12,8,77,13,0,0,0.25,1,7,/data/research/workspace/testability/data/repos/Hive2Hive_PeerBox/peerbox/src/main/java/org/peerbox/StartupStage.java,31
Hive2Hive_PeerBox,org.peerbox,SettingsStage,7,0,6,4,61,9,0,0,0.0,1,4,/data/research/workspace/testability/data/repos/Hive2Hive_PeerBox/peerbox/src/main/java/org/peerbox/SettingsStage.java,25
Hive2Hive_PeerBox,org.peerbox,SettingsStage.WindowCloseRequestEventHandler,0,0,0,0,6,0,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/Hive2Hive_PeerBox/peerbox/src/main/java/org/peerbox/SettingsStage.java,96
Hive2Hive_PeerBox,org.peerbox,BaseJUnitTest,3,2,7,0,39,7,0,0,0.0,0,0,/data/research/workspace/testability/data/repos/Hive2Hive_PeerBox/peerbox/src/test/java/org/peerbox/BaseJUnitTest.java,13
Hive2Hive_PeerBox,org.peerbox,TestSuite,0,0,0,0,2,0,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/Hive2Hive_PeerBox/peerbox/src/test/java/org/peerbox/TestSuite.java,17
Hive2Hive_PeerBox,org.peerbox.delete,IFileDeleteHandler,0,0,1,0,11,1,1,0,-1.0,3,0,/data/research/workspace/testability/data/repos/Hive2Hive_PeerBox/peerbox/src/main/java/org/peerbox/delete/IFileDeleteHandler.java,5
Hive2Hive_PeerBox,org.peerbox.delete,FileDeleteHandler,3,0,6,3,67,12,0,1,0.5,1,8,/data/research/workspace/testability/data/repos/Hive2Hive_PeerBox/peerbox/src/main/java/org/peerbox/delete/FileDeleteHandler.java,22
Hive2Hive_PeerBox,org.peerbox.server.utils,PathSerializer,0,0,1,1,9,1,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/Hive2Hive_PeerBox/peerbox/src/main/java/org/peerbox/server/utils/PathSerializer.java,11
Hive2Hive_PeerBox,org.peerbox.server.utils,PathDeserializer,0,0,1,1,9,1,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/Hive2Hive_PeerBox/peerbox/src/main/java/org/peerbox/server/utils/PathDeserializer.java,12
Hive2Hive_PeerBox,org.peerbox.server.utils,PathDeserializerTest,0,0,2,1,20,3,0,0,-1.0,0,2,/data/research/workspace/testability/data/repos/Hive2Hive_PeerBox/peerbox/src/test/java/org/peerbox/server/utils/PathDeserializerTest.java,17
