Project Name,Package Name,Architecture Smell,Cause of the Smell
HubTurbo_HubTurbo,undo,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: undo; ui
HubTurbo_HubTurbo,undo,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: undo; ui.components; ui
HubTurbo_HubTurbo,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 9.81. All the dependencies among components: from: undo to: ui; from: undo to: backend.resource; from: undo to: undo.actions; from: undo to: ui.components; from: undo to: util; from: undo.actions to: backend; from: undo.actions to: backend.resource; from: prefs to: util; from: filter to: filter.expression; from: filter to: filter.lexer; from: filter to: util; from: filter.expression to: backend.interfaces; from: filter.expression to: backend.resource; from: filter.expression to: filter; from: updater to: prefs; from: updater to: ui; from: updater to: util; from: util to: ui; from: util.events to: backend.resource; from: util.events to: ui.issuepanel; from: util.events to: filter.expression; from: github to: util; from: github to: ui; from: github to: backend.resource; from: github.update to: github; from: github.update to: util; from: backend to: backend.interfaces; from: backend to: backend.json; from: backend to: backend.control; from: backend to: backend.resource; from: backend to: ui; from: backend to: util; from: backend to: filter.expression; from: backend to: github; from: backend to: prefs; from: backend to: util.events.testevents; from: backend to: ui.issuepanel; from: backend.resource to: backend; from: backend.resource to: backend.resource.serialization; from: backend.resource to: util; from: backend.resource to: prefs; from: backend.resource.serialization to: backend.resource; from: backend.resource.serialization to: backend; from: backend.stub to: backend; from: backend.stub to: backend.resource; from: backend.stub to: util; from: backend.stub to: github; from: backend.stub to: ui; from: backend.stub to: backend.interfaces; from: backend.github to: backend.interfaces; from: backend.github to: backend.resource; from: backend.github to: util; from: backend.github to: backend; from: backend.github to: github; from: backend.github to: ui; from: backend.interfaces to: backend.resource.serialization; from: backend.interfaces to: util; from: backend.interfaces to: backend; from: backend.interfaces to: backend.resource; from: backend.json to: backend.resource.serialization; from: backend.json to: backend.interfaces; from: backend.json to: util; from: backend.json to: backend.resource; from: backend.control.operations to: backend.resource; from: backend.control.operations to: backend.github; from: backend.control.operations to: backend; from: backend.control.operations to: util; from: backend.control to: backend; from: backend.control to: backend.resource; from: backend.control to: backend.github; from: ui to: ui.issuepanel; from: ui to: prefs; from: ui to: util; from: ui to: ui.components; from: ui to: backend.resource; from: ui to: backend.interfaces; from: ui to: updater; from: ui to: util.events.testevents; from: ui to: backend; from: ui to: util.events; from: ui to: undo; from: ui to: browserview; from: ui.listpanel to: ui; from: ui.listpanel to: backend.resource; from: ui.listpanel to: ui.issuepanel; from: ui.listpanel to: filter.expression; from: ui.listpanel to: github; from: ui.listpanel to: util; from: ui.listpanel to: ui.components; from: ui.listpanel to: util.events; from: ui.components to: ui; from: ui.components to: backend.resource; from: ui.components to: ui.issuepanel; from: ui.components to: filter.expression; from: ui.components.pickers to: backend.resource; from: ui.components.pickers to: ui; from: ui.components.pickers to: util; from: ui.components.issuepicker to: ui; from: ui.components.issuepicker to: backend.resource; from: ui.issuepanel to: ui; from: ui.issuepanel to: prefs; from: ui.issuepanel to: filter.expression; from: ui.issuepanel to: ui.components; from: ui.issuepanel to: util.events.testevents; from: ui.issuepanel to: filter; from: ui.issuepanel to: util; from: browserview to: ui; from: browserview to: util; from: browserview to: backend.resource; from: guitests to: prefs; from: guitests to: ui; from: guitests to: util; from: guitests to: backend; from: guitests to: tests; from: guitests to: util.events.testevents; from: guitests to: ui.listpanel; from: guitests to: backend.stub; from: guitests to: backend.resource; from: guitests to: ui.issuepanel; from: guitests to: ui.components; from: guitests to: util.events; from: guitests to: github; from: guitests to: backend.interfaces; from: unstable to: ui; from: unstable to: util.events.testevents; from: unstable to: util; from: unstable to: prefs; from: unstable to: ui.listpanel; from: unstable to: ui.components; from: unstable to: ui.issuepanel; from: tests to: ui.listpanel; from: tests to: util; from: tests to: ui; from: tests to: browserview; from: tests to: backend.resource; from: tests to: backend; from: tests to: prefs; from: tests to: undo; from: tests to: undo.actions; from: tests to: ui.components; from: tests to: ui.components.pickers; from: tests to: backend.interfaces; from: tests to: filter.expression; from: tests to: github; from: tests to: backend.github; from: tests to: filter; from: tests to: backend.json; from: tests to: backend.stub; from: tests to: util.events.testevents; from: tests to: guitests; from: tests to: updater; from: tests to: backend.resource.serialization; from: tests to: ui.components.issuepicker; from: tests to: filter.lexer; from: tests to: github.update; from: tests to: util.events; from: tests to: backend.control.
HubTurbo_HubTurbo,undo.actions,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: undo.actions; backend; ui; undo
HubTurbo_HubTurbo,undo.actions,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: undo.actions; backend; util; ui; undo
HubTurbo_HubTurbo,prefs,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: prefs; util; ui
HubTurbo_HubTurbo,prefs,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: prefs; util; ui; ui.issuepanel
HubTurbo_HubTurbo,prefs,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [SessionConfig; Preferences; UserConfig]; [UpdateConfig]; [RepoViewRecord]; [PanelInfo]. LCC (Lack of Component Cohesion) = 0.67
HubTurbo_HubTurbo,filter,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: filter; filter.expression
HubTurbo_HubTurbo,filter,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: filter; util; ui; ui.issuepanel
HubTurbo_HubTurbo,filter,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [SemanticException; FilterException; ParseException]; [Parser; Precedence]; [Parser.IncompleteInputException]; [MetaQualifierInfo]; [QualifierApplicationException]. LCC (Lack of Component Cohesion) = 0.63
HubTurbo_HubTurbo,filter.expression,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: filter.expression; filter
HubTurbo_HubTurbo,filter.expression,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: filter.expression; backend.interfaces; backend
HubTurbo_HubTurbo,filter.expression,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: filter.expression; backend.interfaces; backend.resource.serialization; backend
HubTurbo_HubTurbo,filter.expression,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: filter.expression; backend.interfaces; backend.resource.serialization; backend.resource; backend
HubTurbo_HubTurbo,filter.expression,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): filter
HubTurbo_HubTurbo,filter.expression,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [QualifierType; Qualifier; Conjunction; DateRange; NumberRange; FilterExpression; Negation; Disjunction]; [SortKey]. LCC (Lack of Component Cohesion) = 0.22
HubTurbo_HubTurbo,updater,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: updater; ui
HubTurbo_HubTurbo,updater,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: updater; util; ui
HubTurbo_HubTurbo,updater,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: updater; prefs; util; ui
HubTurbo_HubTurbo,updater,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DownloadCountingOutputStream; FileDownloader; LabeledDownloadProgressBar; UpdateManager; UpdateData; UpdateManagerStub]; [JarUpdaterFileHandler; JarUpdater]; [HtDownloadLink]. LCC (Lack of Component Cohesion) = 0.33
HubTurbo_HubTurbo,util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: util; ui
HubTurbo_HubTurbo,util,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: util; ui; ui.issuepanel
HubTurbo_HubTurbo,util,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): ui
HubTurbo_HubTurbo,util,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [PlatformSpecific]; [PlatformSpecific.Architecture]; [TickingTimer]; [JsonHelper]; [HTLog]; [FileHelper]; [PlatformEx]; [KeyPress]; [JavaVersion]; [GlobalHotkey]; [Version]; [IOUtilities]; [DialogMessage]; [AtomicMaxInteger]; [Futures]; [Utility]; [GitHubURL]; [GithubPageElements]; [GithubPageElements.PrTab]; [JsonFileConverter]. LCC (Lack of Component Cohesion) = 1.0
HubTurbo_HubTurbo,util.events,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 58
HubTurbo_HubTurbo,util.events,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: util.events; ui.issuepanel; ui
HubTurbo_HubTurbo,util.events,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: util.events; backend.resource; backend; ui
HubTurbo_HubTurbo,util.events,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: util.events; backend.resource; backend; util; ui
HubTurbo_HubTurbo,util.events.testevents,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [UILogicRefreshEventHandler; UILogicRefreshEvent]; [JumpToNewCommentBoxEventHandler; JumpToNewCommentBoxEvent]; [ExecuteScriptEventHandler; ExecuteScriptEvent]; [UIComponentFocusEvent; UIComponentFocusEventHandler]; [UIComponentFocusEvent.EventType]; [NavigateToPageEventHandler; NavigateToPageEvent]; [UpdateDummyRepoEventHandler; UpdateDummyRepoEvent]; [UpdateDummyRepoEvent.UpdateType]; [PrimaryRepoChangedEventHandler; PrimaryRepoChangedEvent]; [ClearLogicModelEventHandler; ClearLogicModelEvent]. LCC (Lack of Component Cohesion) = 0.56
HubTurbo_HubTurbo,github,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: github; ui; backend
HubTurbo_HubTurbo,github,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: github; util; ui; backend
HubTurbo_HubTurbo,github,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: github; util; ui; backend.resource; backend
HubTurbo_HubTurbo,github,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): ui
HubTurbo_HubTurbo,github,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CollaboratorServiceEx]; [PullRequestServiceEx]; [IssueEventType; GitHubEventsResponse; TurboIssueEvent; IssueServiceEx; GitHubClientEx]; [ReviewComment]; [LabelServiceEx]. LCC (Lack of Component Cohesion) = 0.56
HubTurbo_HubTurbo,backend,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: backend; backend.interfaces
HubTurbo_HubTurbo,backend,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: backend; backend.interfaces; backend.resource.serialization
HubTurbo_HubTurbo,backend,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: backend; backend.interfaces; backend.resource.serialization; backend.resource
HubTurbo_HubTurbo,backend,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): backend.json; backend.control; ui.issuepanel
