Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
Instagram_ig-json-parser,com.instagram.common.json,JsonAnnotationProcessorConstants,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: HELPER_CLASS_SUFFIX
Instagram_ig-json-parser,com.instagram.common.json,JsonCallback.JsonDeserializationException,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Instagram_ig-json-parser,com.instagram.common.json,JsonFactoryHolder,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: APP_FACTORY
Instagram_ig-json-parser,com.instagram.common.json.annotation.util,TestAnnotationProcessor,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: TYPE_DATA_SUFFIX
Instagram_ig-json-parser,com.instagram.common.json.annotation.util,TypeInspectionUUT.InnerClassUUT,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Instagram_ig-json-parser,com.instagram.common.json.annotation.processor,JsonParserClassData,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
Instagram_ig-json-parser,com.instagram.common.json.annotation.processor,CodeFormatter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: VALUE_EXTRACT; FIELD_ASSIGNMENT; LOCAL_ASSIGNMENT; FIELD_CODE_SERIALIZATION; CLASS_CODE_SERIALIZATION; INTERFACE_CODE_SERIALIZATION
Instagram_ig-json-parser,com.instagram.common.json.annotation.processor,CodeFormatter.Factory,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Instagram_ig-json-parser,com.instagram.common.json.annotation.processor,JsonAnnotationProcessor,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
Instagram_ig-json-parser,com.instagram.common.json.annotation.processor,SerializeTest,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: FIELD_DECLARATION_ORDER
Instagram_ig-json-parser,com.instagram.common.json.annotation.processor,SerializeTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
Instagram_ig-json-parser,com.instagram.common.json.annotation.processor,DeserializeTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13
Instagram_ig-json-parser,com.instagram.common.json.annotation.processor.uut,StringInterfaceUUT,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: INT_FIELD_NAME
Instagram_ig-json-parser,com.instagram.common.json.annotation.processor.uut,MapUUT,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: STRING_INTEGER_MAP_FIELD_NAME; STRING_STRING_MAP_FIELD_NAME; STRING_LONG_MAP_FIELD_NAME; STRING_DOUBLE_MAP_FIELD_NAME; STRING_FLOAT_MAP_FIELD_NAME; STRING_BOOLEAN_MAP_FIELD_NAME; STRING_OBJECT_MAP_FIELD_NAME; INT_KEY
Instagram_ig-json-parser,com.instagram.common.json.annotation.processor.uut,MapUUT.MapObject,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Instagram_ig-json-parser,com.instagram.common.json.annotation.processor.uut,MapUUT.MapObject,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: INT_KEY
Instagram_ig-json-parser,com.instagram.common.json.annotation.processor.uut,StrictListParseUUT,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: INTEGER_LIST_FIELD_NAME; SUBOBJECT_LIST_FIELD_NAME; INT_FIELD_NAME
Instagram_ig-json-parser,com.instagram.common.json.annotation.processor.uut,StrictListParseUUT.SubobjectParseUUT,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Instagram_ig-json-parser,com.instagram.common.json.annotation.processor.uut,StrictListParseUUT.SubobjectParseUUT,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: INT_FIELD_NAME
Instagram_ig-json-parser,com.instagram.common.json.annotation.processor.uut,PostprocessingUUT,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: FIELD_NAME
Instagram_ig-json-parser,com.instagram.common.json.annotation.processor.uut,AlternateFieldUUT,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: FIELD_NAME; ALTERNATE_FIELD_NAME_1; ALTERNATE_FIELD_NAME_2
Instagram_ig-json-parser,com.instagram.common.json.annotation.processor.uut,FormatterUUT,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: VALUE_FORMATTER_FIELD_NAME; FIELD_ASSIGNMENT_FIELD_NAME
Instagram_ig-json-parser,com.instagram.common.json.annotation.processor.uut,GetterUUT,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: INT_FIELD_NAME
Instagram_ig-json-parser,com.instagram.common.json.annotation.processor.uut,EnumUUT,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ENUM_FIELD_NAME
Instagram_ig-json-parser,com.instagram.common.json.annotation.processor.uut,ExactMappingUUT,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: BOOLEAN_FIELD_NAME; BOOLEAN_OBJ_FIELD_NAME; INT_FIELD_NAME; INTEGER_FIELD_NAME; LONG_FIELD_NAME; LONG_OBJ_FIELD_NAME; FLOAT_FIELD_NAME; FLOAT_OBJ_FIELD_NAME; DOUBLE_FIELD_NAME; DOUBLE_OBJ_FIELD_NAME; STRING_FIELD_NAME
Instagram_ig-json-parser,com.instagram.common.json.annotation.processor.uut,CustomParseContainerUUT,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: INNER_FIELD_NAME; STRING_FIELD_NAME
Instagram_ig-json-parser,com.instagram.common.json.annotation.processor.uut,CustomParseContainerUUT.CustomParseUUT,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Instagram_ig-json-parser,com.instagram.common.json.annotation.processor.uut,CustomParseContainerUUT.CustomParseUUT,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: STRING_FIELD_NAME
Instagram_ig-json-parser,com.instagram.common.json.annotation.processor.uut,SimpleParseUUT,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: INT_FIELD_NAME; INTEGER_FIELD_NAME; FLOAT_FIELD_NAME; FLOAT_OBJ_FIELD_NAME; STRING_FIELD_NAME; INTEGER_LIST_FIELD_NAME; INTEGER_ARRAY_LIST_FIELD_NAME; INTEGER_QUEUE_FIELD_NAME; INTEGER_SET_FIELD_NAME; SUBOBJECT_FIELD_NAME; SUBENUM_FIELD_NAME; SUBENUM_LIST_FIELD_NAME; INT_FIELD_NAME
Instagram_ig-json-parser,com.instagram.common.json.annotation.processor.uut,SimpleParseUUT.SubobjectParseUUT,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Instagram_ig-json-parser,com.instagram.common.json.annotation.processor.uut,SimpleParseUUT.SubobjectParseUUT,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: INT_FIELD_NAME
Instagram_ig-json-parser,com.instagram.common.json.annotation.processor.dependent,SubclassWithAbstractParentUUT,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: SUBCLASS_INT_KEY
Instagram_ig-json-parser,com.instagram.common.json.annotation.processor.dependent,SubclassUUT,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: SUBCLASS_INT_KEY
Instagram_ig-json-parser,com.instagram.common.json.annotation.processor.dependent,WrapperEnumUUT,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ENUM_LIST_KEY; ENUM_MAP_KEY; ENUM_HOLDER_LIST_KEY; ENUM_HOLDER_MAP_KEY
Instagram_ig-json-parser,com.instagram.common.json.annotation.processor.dependent,WrapperClassUUT,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PARENT_KEY
Instagram_ig-json-parser,com.instagram.common.json.annotation.processor.parent,AbstractParentUUT,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PARENT_STRING_KEY; PARENT_INT_KEY
Instagram_ig-json-parser,com.instagram.common.json.annotation.processor.parent,InterfaceParentDynamicUUTHelper,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DISPATCHER
Instagram_ig-json-parser,com.instagram.common.json.annotation.processor.parent,InterfaceImplementationUUT,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: TYPE_NAME; ADAPTER
Instagram_ig-json-parser,com.instagram.common.json.annotation.processor.parent,ParentUUT,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PARENT_STRING_KEY; PARENT_INT_KEY
