Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
IntuitDeveloper_SampleApp-TimeTracking_Invoicing-Java,com.intuit.developer.sampleapp.timetracking.oauth,OAuthException,0,0,3,3,14,3,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/IntuitDeveloper_SampleApp-TimeTracking_Invoicing-Java/src/main/java/com/intuit/developer/sampleapp/timetracking/oauth/OAuthException.java,5
IntuitDeveloper_SampleApp-TimeTracking_Invoicing-Java,com.intuit.developer.sampleapp.timetracking.oauth,CompanyRequestTokenSecret,2,0,3,3,17,3,0,0,0.0,2,0,/data/research/workspace/testability/data/repos/IntuitDeveloper_SampleApp-TimeTracking_Invoicing-Java/src/main/java/com/intuit/developer/sampleapp/timetracking/oauth/CompanyRequestTokenSecret.java,3
IntuitDeveloper_SampleApp-TimeTracking_Invoicing-Java,com.intuit.developer.sampleapp.timetracking.oauth,OAuthInfoProvider,0,0,6,6,29,6,0,0,-1.0,1,1,/data/research/workspace/testability/data/repos/IntuitDeveloper_SampleApp-TimeTracking_Invoicing-Java/src/main/java/com/intuit/developer/sampleapp/timetracking/oauth/OAuthInfoProvider.java,3
IntuitDeveloper_SampleApp-TimeTracking_Invoicing-Java,com.intuit.developer.sampleapp.timetracking.oauth.controllers,OAuthInfoProviderImpl,2,0,6,6,43,9,0,0,0.3333333333333333,0,3,/data/research/workspace/testability/data/repos/IntuitDeveloper_SampleApp-TimeTracking_Invoicing-Java/src/main/java/com/intuit/developer/sampleapp/timetracking/oauth/controllers/OAuthInfoProviderImpl.java,11
IntuitDeveloper_SampleApp-TimeTracking_Invoicing-Java,com.intuit.developer.sampleapp.timetracking.oauth.controllers,OAuthController,1,0,3,3,47,4,0,0,0.0,0,2,/data/research/workspace/testability/data/repos/IntuitDeveloper_SampleApp-TimeTracking_Invoicing-Java/src/main/java/com/intuit/developer/sampleapp/timetracking/oauth/controllers/OAuthController.java,18
IntuitDeveloper_SampleApp-TimeTracking_Invoicing-Java,com.intuit.developer.sampleapp.timetracking.qbo,DataServiceFactory,1,0,2,1,24,3,0,0,0.0,3,3,/data/research/workspace/testability/data/repos/IntuitDeveloper_SampleApp-TimeTracking_Invoicing-Java/src/main/java/com/intuit/developer/sampleapp/timetracking/qbo/DataServiceFactory.java,14
IntuitDeveloper_SampleApp-TimeTracking_Invoicing-Java,com.intuit.developer.sampleapp.timetracking.qbo,QBOGateway,11,4,14,5,153,21,0,0,0.21428571428571427,7,7,/data/research/workspace/testability/data/repos/IntuitDeveloper_SampleApp-TimeTracking_Invoicing-Java/src/main/java/com/intuit/developer/sampleapp/timetracking/qbo/QBOGateway.java,22
IntuitDeveloper_SampleApp-TimeTracking_Invoicing-Java,com.intuit.developer.sampleapp.timetracking.mappers,EmployeeMapper,1,0,1,1,18,2,0,0,0.0,1,1,/data/research/workspace/testability/data/repos/IntuitDeveloper_SampleApp-TimeTracking_Invoicing-Java/src/main/java/com/intuit/developer/sampleapp/timetracking/mappers/EmployeeMapper.java,8
IntuitDeveloper_SampleApp-TimeTracking_Invoicing-Java,com.intuit.developer.sampleapp.timetracking.mappers,CustomerMapper,1,0,1,1,18,2,0,0,0.0,1,1,/data/research/workspace/testability/data/repos/IntuitDeveloper_SampleApp-TimeTracking_Invoicing-Java/src/main/java/com/intuit/developer/sampleapp/timetracking/mappers/CustomerMapper.java,8
IntuitDeveloper_SampleApp-TimeTracking_Invoicing-Java,com.intuit.developer.sampleapp.timetracking.mappers,TimeActivityMapper,1,0,3,3,34,4,0,0,1.0,1,1,/data/research/workspace/testability/data/repos/IntuitDeveloper_SampleApp-TimeTracking_Invoicing-Java/src/main/java/com/intuit/developer/sampleapp/timetracking/mappers/TimeActivityMapper.java,14
