Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
LapisBlue_Pore,blue.lapis.pore.impl.event.player,PoreAsyncPlayerChatEvent,getRecipients,Long Statement,The length of the statement "return channel.getMembers().stream().filter(receiver -> receiver instanceof Player).map(receiver -> PorePlayer.of((Player)receiver)).collect(GuavaCollectors.toImmutableSet());" is 175.,89
LapisBlue_Pore,blue.lapis.pore.impl.event.block,PoreSignChangeEvent,getPlayer,Long Statement,The length of the statement "return getHandle().getCause() instanceof org.spongepowered.api.entity.player.Player ? PorePlayer.of((org.spongepowered.api.entity.player.Player)getHandle().getCause()) : null;" is 175.,59
LapisBlue_Pore,blue.lapis.pore.impl.event.block,PoreBlockPlaceEvent,register,Long Statement,The length of the statement "return event.getTransactions().stream().map(transaction -> new PoreBlockPlaceEvent(event`player`transaction)).collect(GuavaCollectors.toImmutableList());" is 153.,126
LapisBlue_Pore,blue.lapis.pore.impl.event.block,PoreBlockBreakEvent,register,Long Statement,The length of the statement "return event.getTransactions().stream().map(transaction -> new PoreBlockBreakEvent(event`player`transaction)).collect(GuavaCollectors.toImmutableList());" is 153.,101
LapisBlue_Pore,blue.lapis.pore.impl.event.entity,PoreEntityDamageByEntityEvent,isValid,Long Statement,The length of the statement "return handle.getCause().isPresent() && handle.getCause().get().getCause() instanceof org.spongepowered.api.entity.Entity;" is 122.,119
LapisBlue_Pore,blue.lapis.pore.impl.event.entity,PoreEntityTargetLivingEntityEvent,getTarget,Long Statement,The length of the statement "return this.getHandle().getTargetedEntity().isPresent() ? (LivingEntity)PoreLivingEntity.of(this.getHandle().getTargetedEntity().get()) : null;" is 143.,68
LapisBlue_Pore,blue.lapis.pore.launch,PoreBootstrap,PoreBootstrap,Long Statement,The length of the statement "ClassLoader loader=new PoreClassLoader(getClass().getClassLoader()`new URL(location.getProtocol()`location.getHost()`location.getPort()`path));" is 143.,50
LapisBlue_Pore,blue.lapis.pore.launch,PoreBootstrap,PoreBootstrap,Magic Number,The method contains a magic number: 2,50
LapisBlue_Pore,blue.lapis.pore.event,EventConstructor,create,Magic Number,The method contains a magic number: 2,46
LapisBlue_Pore,blue.lapis.pore.event,SpongeEventHandler,call,Long Statement,The length of the statement "Pore.getServer().getLogger().log(Level.SEVERE`String.format("Nag author(s): '%s' of '%s' about the following: %s"`plugin.getDescription().getAuthors()`plugin.getDescription().getFullName()`ex.getMessage()));" is 207.,102
LapisBlue_Pore,blue.lapis.pore.event,SpongeEventHandler,call,Long Statement,The length of the statement "Pore.getServer().getLogger().log(Level.SEVERE`"Could not pass event " + event.getEventName() + " to "+ registration.getPlugin().getDescription().getFullName()`ex);" is 163.,102
LapisBlue_Pore,blue.lapis.pore.util,ProjectileUtil,launchProjectile,Complex Method,Cyclomatic complexity of the method is 14,64
LapisBlue_Pore,blue.lapis.pore.util,ProjectileUtil,launchProjectile,Long Statement,The length of the statement "entity=Optional.fromNullable((T)PoreArrow.of(source.launchProjectile(org.spongepowered.api.entity.projectile.Arrow.class`VectorConverter.create3d(velocity)).orElse(null)));" is 172.,64
LapisBlue_Pore,blue.lapis.pore.util,ProjectileUtil,launchProjectile,Long Statement,The length of the statement "entity=Optional.fromNullable((T)PoreEgg.of(source.launchProjectile(org.spongepowered.api.entity.projectile.Egg.class`VectorConverter.create3d(velocity)).orElse(null)));" is 168.,64
LapisBlue_Pore,blue.lapis.pore.util,ProjectileUtil,launchProjectile,Long Statement,The length of the statement "entity=Optional.fromNullable((T)PoreEnderPearl.of(source.launchProjectile(org.spongepowered.api.entity.projectile.EnderPearl.class`VectorConverter.create3d(velocity)).orElse(null)));" is 182.,64
LapisBlue_Pore,blue.lapis.pore.util,ProjectileUtil,launchProjectile,Long Statement,The length of the statement "entity=Optional.fromNullable((T)PoreLargeFireball.of(source.launchProjectile(org.spongepowered.api.entity.projectile.explosive.fireball.LargeFireball.class`VectorConverter.create3d(velocity)).orElse(null)));" is 207.,64
LapisBlue_Pore,blue.lapis.pore.util,ProjectileUtil,launchProjectile,Long Statement,The length of the statement "entity=Optional.fromNullable((T)PoreSmallFireball.of(source.launchProjectile(SmallFireball.class`VectorConverter.create3d(velocity)).orElse(null)));" is 148.,64
LapisBlue_Pore,blue.lapis.pore.util,ProjectileUtil,launchProjectile,Long Statement,The length of the statement "entity=Optional.fromNullable((T)PoreWitherSkull.of(source.launchProjectile(WitherSkull.class`VectorConverter.create3d(velocity)).orElse(null)));" is 144.,64
LapisBlue_Pore,blue.lapis.pore.util,ProjectileUtil,launchProjectile,Long Statement,The length of the statement "entity=Optional.fromNullable((T)PoreFireball.of(source.launchProjectile(org.spongepowered.api.entity.projectile.explosive.fireball.Fireball.class`VectorConverter.create3d(velocity)).orElse(null)));" is 197.,64
LapisBlue_Pore,blue.lapis.pore.util,ProjectileUtil,launchProjectile,Long Statement,The length of the statement "entity=Optional.fromNullable((T)PoreFish.of(source.launchProjectile(org.spongepowered.api.entity.projectile.FishHook.class`VectorConverter.create3d(velocity)).orElse(null)));" is 174.,64
LapisBlue_Pore,blue.lapis.pore.util,ProjectileUtil,launchProjectile,Long Statement,The length of the statement "entity=Optional.fromNullable((T)PoreSnowball.of(source.launchProjectile(org.spongepowered.api.entity.projectile.Snowball.class`VectorConverter.create3d(velocity)).orElse(null)));" is 178.,64
LapisBlue_Pore,blue.lapis.pore.util,ProjectileUtil,launchProjectile,Long Statement,The length of the statement "entity=Optional.fromNullable((T)PoreThrownExpBottle.of(source.launchProjectile(org.spongepowered.api.entity.projectile.ThrownExpBottle.class`VectorConverter.create3d(velocity)).orElse(null)));" is 192.,64
LapisBlue_Pore,blue.lapis.pore.util,ProjectileUtil,launchProjectile,Long Statement,The length of the statement "entity=Optional.fromNullable((T)PoreThrownPotion.of(source.launchProjectile(org.spongepowered.api.entity.projectile.ThrownPotion.class`VectorConverter.create3d(velocity)).orElse(null)));" is 186.,64
LapisBlue_Pore,blue.lapis.pore.util.classloader,PoreClassLoader,findClass,Empty catch clause,The method has an empty catch block.,50
LapisBlue_Pore,blue.lapis.pore.impl.permissions,PorePermissible,addAttachment,Long Statement,The length of the statement "Pore.getGame().getScheduler().createTaskBuilder().delay(PoreBukkitScheduler.ticksToMillis(ticks)`TimeUnit.MILLISECONDS).execute(() -> removeAttachment(attachment)).submit(Pore.getPlugin());" is 189.,110
LapisBlue_Pore,blue.lapis.pore.impl,PoreIpBanList,pardon,Empty catch clause,The method has an empty catch block.,66
LapisBlue_Pore,blue.lapis.pore.impl,PoreBlockChangeDelegate,setRawTypeIdAndData,Long Parameter List,The method has 5 parameters. ,40
LapisBlue_Pore,blue.lapis.pore.impl,PoreBlockChangeDelegate,setTypeIdAndData,Long Parameter List,The method has 5 parameters. ,52
LapisBlue_Pore,blue.lapis.pore.impl,PoreWorld,dropItem,Long Statement,The length of the statement "Optional<org.spongepowered.api.entity.Entity> created=getHandle().createEntity(EntityTypes.ITEM`VectorConverter.create3d(location));" is 132.,272
LapisBlue_Pore,blue.lapis.pore.impl,PoreWorld,dropItemNaturally,Long Statement,The length of the statement "return dropItem(location.clone().add(Math.random() * NATURAL_DROP_SCALAR + NATURAL_DROP_OFFSET`Math.random() * NATURAL_DROP_SCALAR + NATURAL_DROP_OFFSET`Math.random() * NATURAL_DROP_SCALAR + NATURAL_DROP_OFFSET)`item);" is 218.,287
LapisBlue_Pore,blue.lapis.pore.impl,PoreWorld,spawnEntity,Long Statement,The length of the statement "org.spongepowered.api.entity.Entity entity=getHandle().createEntity(EntityConverter.of(type)`VectorConverter.create3d(loc)).orElse(null);" is 137.,321
LapisBlue_Pore,blue.lapis.pore.impl,PoreWorld,getEntities,Long Statement,The length of the statement "return PoreCollections.<org.spongepowered.api.entity.Entity`Entity>transformToList(getHandle().getEntities()`WrapperConverter.<org.spongepowered.api.entity.Entity`PoreEntity>getConverter());" is 190.,359
LapisBlue_Pore,blue.lapis.pore.impl,PoreWorld,getLivingEntities,Long Statement,The length of the statement "living.addAll(getHandle().getEntities().stream().filter(e -> e instanceof Living).map(e -> PoreLivingEntity.of((Living)e)).collect(Collectors.toList()));" is 153.,367
LapisBlue_Pore,blue.lapis.pore.impl,PoreWorld,getPlayers,Long Statement,The length of the statement "players.addAll(getHandle().getEntities().stream().filter(e -> e instanceof org.spongepowered.api.entity.living.player.Player).map(e -> PorePlayer.of((org.spongepowered.api.entity.living.player.Player)e)).collect(Collectors.toList()));" is 234.,404
LapisBlue_Pore,blue.lapis.pore.impl,PoreWorld,createExplosion,Long Parameter List,The method has 5 parameters. ,511
LapisBlue_Pore,blue.lapis.pore.impl,PoreWorld,createExplosion,Long Parameter List,The method has 6 parameters. ,516
LapisBlue_Pore,blue.lapis.pore.impl,PoreWorld,createExplosion,Long Statement,The length of the statement "Explosion explosion=Explosion.builder().world(((PoreWorld)loc.getWorld()).getHandle()).origin(LocationConverter.toVector3d(loc)).radius(power).build();" is 151.,522
LapisBlue_Pore,blue.lapis.pore.impl,PoreWorld,spawn,Long Statement,The length of the statement "throw new IllegalStateException("Spawned entity was not of the appropriate type: " + "Expected " + clazz + "` found "+ spawned.getClass());" is 139.,574
LapisBlue_Pore,blue.lapis.pore.impl,PoreWorld,playEffect,Long Statement,The length of the statement "getHandle().spawnParticles(ParticleEffect.builder().type(EffectConverter.toParticle(effect)).build()`VectorConverter.create3d(location)`radius);" is 144.,612
LapisBlue_Pore,blue.lapis.pore.impl,PoreWorld,playEffect,Complex Conditional,The conditional expression (data != null && data.getClass().equals(effect.getData())) || (data == null && effect.getData() == null) is complex.,632
LapisBlue_Pore,blue.lapis.pore.impl,PoreUnsafeValues,tabCompleteInternalMaterialName,Long Statement,The length of the statement "return StringUtil.copyPartialMatches(token`Iterables.transform(Pore.getGame().getRegistry().getAllOf(ItemType.class)`CatalogType::getId)`completions);" is 150.,67
LapisBlue_Pore,blue.lapis.pore.impl,PoreUnsafeValues,getStatisticFromInternalName,Long Statement,The length of the statement "Optional<org.spongepowered.api.statistic.Statistic> stat=Pore.getGame().getRegistry().getType(org.spongepowered.api.statistic.Statistic.class`name);" is 148.,96
LapisBlue_Pore,blue.lapis.pore.impl,PoreUnsafeValues,tabCompleteInternalStatisticOrAchievementName,Long Statement,The length of the statement "List<String> found=StringUtil.copyPartialMatches(token`Iterables.transform(Pore.getGame().getRegistry().getAllOf(Achievement.class)`CatalogType::getName)`completions);" is 167.,119
LapisBlue_Pore,blue.lapis.pore.impl,PoreUnsafeValues,tabCompleteInternalStatisticOrAchievementName,Long Statement,The length of the statement "found.addAll(StringUtil.copyPartialMatches(token`Iterables.transform(Pore.getGame().getRegistry().getAllOf(org.spongepowered.api.statistic.Statistic.class)`CatalogType::getName)`completions));" is 192.,119
LapisBlue_Pore,blue.lapis.pore.impl,PoreServer,loadPlugins,Long Statement,The length of the statement "getLogger().log(Level.SEVERE`ex.getMessage() + " initializing " + plugin.getDescription().getFullName()+ " (Is it up to date?)"`ex);" is 132.,141
LapisBlue_Pore,blue.lapis.pore.impl,PoreServer,loadPlugin,Long Statement,The length of the statement "getLogger().log(Level.WARNING`"Plugin " + plugin.getDescription().getFullName() + " tried to register permission '"+ perm.getName()+ "' but it's already registered"`ex);" is 169.,165
LapisBlue_Pore,blue.lapis.pore.impl,PoreServer,loadPlugin,Long Statement,The length of the statement "getLogger().log(Level.SEVERE`ex.getMessage() + " loading " + plugin.getDescription().getFullName()+ " (Is it up to date?)");" is 124.,165
LapisBlue_Pore,blue.lapis.pore.impl,PoreServer,getOnlinePlayers,Long Statement,The length of the statement "return PoreCollections.transform(getHandle().getOnlinePlayers()`WrapperConverter.<org.spongepowered.api.entity.living.player.Player`PorePlayer>getConverter());" is 159.,233
LapisBlue_Pore,blue.lapis.pore.impl,PoreServer,getWorlds,Long Statement,The length of the statement "return PoreCollections.<org.spongepowered.api.world.World`World>transformToList(getHandle().getWorlds()`WrapperConverter.<org.spongepowered.api.world.World`PoreWorld>getConverter());" is 182.,427
LapisBlue_Pore,blue.lapis.pore.impl,PoreServer,getIPBans,Long Statement,The length of the statement "return PoreBanList.getBanService().getIpBans().stream().map(Ban.Ip::getAddress).map(Object::toString).collect(GuavaCollectors.toImmutableSet());" is 144.,604
LapisBlue_Pore,blue.lapis.pore.impl,PoreServer,banIP,Empty catch clause,The method has an empty catch block.,610
