Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
Mashape_Astronode-Broadcaster,com.mashape.astronode.broadcaster,AutoUpdateTask,2,0,2,2,0,13,0,0,0.0,1,3,/data/research/workspace/testability/data/repos/Mashape_Astronode-Broadcaster/src/main/java/com/mashape/astronode/broadcaster/AutoUpdateTask.java,22
Mashape_Astronode-Broadcaster,com.mashape.astronode.broadcaster,Main,1,0,5,4,60,9,0,0,0.0,0,4,/data/research/workspace/testability/data/repos/Mashape_Astronode-Broadcaster/src/main/java/com/mashape/astronode/broadcaster/Main.java,26
Mashape_Astronode-Broadcaster,com.mashape.astronode.broadcaster.configuration,BroadcasterConfiguration,16,0,21,18,134,28,0,0,0.0,5,2,/data/research/workspace/testability/data/repos/Mashape_Astronode-Broadcaster/src/main/java/com/mashape/astronode/broadcaster/configuration/BroadcasterConfiguration.java,19
Mashape_Astronode-Broadcaster,com.mashape.astronode.broadcaster.configuration,LogLevel,1,0,0,0,8,0,0,0,-1.0,4,0,/data/research/workspace/testability/data/repos/Mashape_Astronode-Broadcaster/src/main/java/com/mashape/astronode/broadcaster/configuration/LogLevel.java,3
Mashape_Astronode-Broadcaster,com.mashape.astronode.broadcaster.io,ChannelUtil,0,0,2,1,12,3,0,0,-1.0,1,0,/data/research/workspace/testability/data/repos/Mashape_Astronode-Broadcaster/src/main/java/com/mashape/astronode/broadcaster/io/ChannelUtil.java,7
Mashape_Astronode-Broadcaster,com.mashape.astronode.broadcaster.io,ServerLauncher,9,0,8,6,76,12,0,0,0.0,4,3,/data/research/workspace/testability/data/repos/Mashape_Astronode-Broadcaster/src/main/java/com/mashape/astronode/broadcaster/io/ServerLauncher.java,30
Mashape_Astronode-Broadcaster,com.mashape.astronode.broadcaster.io,BackendHandler,11,0,13,8,155,34,0,0,0.0,1,4,/data/research/workspace/testability/data/repos/Mashape_Astronode-Broadcaster/src/main/java/com/mashape/astronode/broadcaster/io/BackendHandler.java,28
Mashape_Astronode-Broadcaster,com.mashape.astronode.broadcaster.io,FrontendHandler,5,0,11,9,81,18,0,1,0.0,1,5,/data/research/workspace/testability/data/repos/Mashape_Astronode-Broadcaster/src/main/java/com/mashape/astronode/broadcaster/io/FrontendHandler.java,24
Mashape_Astronode-Broadcaster,com.mashape.astronode.broadcaster.io.pool,BackendServerManagerEventListener,0,0,2,0,4,2,1,0,-1.0,1,0,/data/research/workspace/testability/data/repos/Mashape_Astronode-Broadcaster/src/main/java/com/mashape/astronode/broadcaster/io/pool/BackendServerManagerEventListener.java,5
Mashape_Astronode-Broadcaster,com.mashape.astronode.broadcaster.io.pool,BackendServerManager,3,0,7,7,56,16,0,0,0.0,2,2,/data/research/workspace/testability/data/repos/Mashape_Astronode-Broadcaster/src/main/java/com/mashape/astronode/broadcaster/io/pool/BackendServerManager.java,15
Mashape_Astronode-Broadcaster,com.mashape.astronode.broadcaster.log,Log,0,0,6,6,28,9,0,0,-1.0,7,2,/data/research/workspace/testability/data/repos/Mashape_Astronode-Broadcaster/src/main/java/com/mashape/astronode/broadcaster/log/Log.java,8
Mashape_Astronode-Broadcaster,com.mashape.astronode.broadcaster.test.helper,TcpServer,4,0,3,3,38,7,0,0,0.0,0,0,/data/research/workspace/testability/data/repos/Mashape_Astronode-Broadcaster/src/test/java/com/mashape/astronode/broadcaster/test/helper/TcpServer.java,13
Mashape_Astronode-Broadcaster,com.mashape.astronode.broadcaster.test.helper,PortHelper,2,0,3,2,41,6,0,0,0.0,2,0,/data/research/workspace/testability/data/repos/Mashape_Astronode-Broadcaster/src/test/java/com/mashape/astronode/broadcaster/test/helper/PortHelper.java,7
Mashape_Astronode-Broadcaster,com.mashape.astronode.broadcaster.test,ServerTest,7,0,2,2,56,2,0,0,0.0,0,2,/data/research/workspace/testability/data/repos/Mashape_Astronode-Broadcaster/src/test/java/com/mashape/astronode/broadcaster/test/ServerTest.java,24
Mashape_Astronode-Broadcaster,com.mashape.astronode.broadcaster.test,ServerTest.BroadcasterThread,0,0,0,0,14,0,0,0,-1.0,0,1,/data/research/workspace/testability/data/repos/Mashape_Astronode-Broadcaster/src/test/java/com/mashape/astronode/broadcaster/test/ServerTest.java,79
Mashape_Astronode-Broadcaster,com.mashape.astronode.broadcaster.test,PortHelperTest,0,0,1,1,8,1,0,0,-1.0,0,1,/data/research/workspace/testability/data/repos/Mashape_Astronode-Broadcaster/src/test/java/com/mashape/astronode/broadcaster/test/PortHelperTest.java,13
