Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
Netflix_Raigad,com.netflix.raigad.identity,InstanceDataDAOCassandra,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: CF_NAME_INSTANCES; CF_NAME_LOCKS; CF_INSTANCES; CF_LOCKS
Netflix_Raigad,com.netflix.raigad.utils,RetriableCallable,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DEFAULT_NUMBER_OF_RETRIES; DEFAULT_WAIT_TIME
Netflix_Raigad,com.netflix.raigad.utils,ElasticsearchProcessMonitor,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: JOB_NAME
Netflix_Raigad,com.netflix.raigad.utils,ExponentialRetryCallable,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: MAX_SLEEP; MIN_SLEEP
Netflix_Raigad,com.netflix.raigad.utils,BoundedExponentialRetryCallable,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: MAX_SLEEP; MIN_SLEEP; MAX_RETRIES
Netflix_Raigad,com.netflix.raigad.utils,SystemUtils,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: NOT_FOUND_STR
Netflix_Raigad,com.netflix.raigad.utils,TuneElasticsearch,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: JOBNAME
Netflix_Raigad,com.netflix.raigad.configuration,RaigadConfiguration,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: MY_WEBAPP_NAME
Netflix_Raigad,com.netflix.raigad.configuration,FakeConfiguration,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: FAKE_REGION; INDEX_METADATA; ES_PROCESS_NAME
Netflix_Raigad,com.netflix.raigad.scheduler,Task.STATE,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Netflix_Raigad,com.netflix.raigad.scheduler,TestScheduler,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: count
Netflix_Raigad,com.netflix.raigad.scheduler,TestScheduler.TestTask,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Netflix_Raigad,com.netflix.raigad.scheduler,TestScheduler.SingleTestTask,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
Netflix_Raigad,com.netflix.raigad.scheduler,TestScheduler.SingleTestTask,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: count
Netflix_Raigad,com.netflix.raigad.scheduler,TestGuiceSingleton.GModules,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
