Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
Netflix_ocelli,netflix.ocelli,InstanceQuarantiner,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Netflix_ocelli,netflix.ocelli,InstanceQuarantiner.IncarnationFactory,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Netflix_ocelli,netflix.ocelli,InstanceQuarantiner.ShutdownAction,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Netflix_ocelli,netflix.ocelli,InstanceQuarantiner.IncarnationMetrics,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: shutdownAction; failed; parent
Netflix_ocelli,netflix.ocelli,InstanceQuarantiner.IncarnationMetrics,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Netflix_ocelli,netflix.ocelli,InstanceQuarantiner.InstanceMetrics,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: consecutiveFailures
Netflix_ocelli,netflix.ocelli,InstanceQuarantiner.InstanceMetrics,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Netflix_ocelli,netflix.ocelli,LoadBalancerEvent.MetricEventType,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Netflix_ocelli,netflix.ocelli,InstanceToNotification.Kind,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
Netflix_ocelli,netflix.ocelli,InstanceToNotification.Kind,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Netflix_ocelli,netflix.ocelli,InstanceToNotification.InstanceNotification,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: value; kind
Netflix_ocelli,netflix.ocelli,InstanceToNotification.InstanceNotification,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Netflix_ocelli,netflix.ocelli,InstanceEvent,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: isTimed; isError; optionalDataType; EXECUTION_SUCCESS; EXECUTION_FAILED
Netflix_ocelli,netflix.ocelli,InstanceEvent.EventType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: isTimed; isError; optionalDataType
Netflix_ocelli,netflix.ocelli,InstanceEvent.EventType,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Netflix_ocelli,netflix.ocelli,SnapshotToInstance,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Netflix_ocelli,netflix.ocelli,SnapshotToInstance.State,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: members; newInstances
Netflix_ocelli,netflix.ocelli,SnapshotToInstance.State,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Netflix_ocelli,netflix.ocelli,Host,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Netflix_ocelli,netflix.ocelli,LoadBalancer.Builder,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: source
Netflix_ocelli,netflix.ocelli,LoadBalancer.Builder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
Netflix_ocelli,netflix.ocelli,KeyedInstance,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
