Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
OpenClinica_OpenClinica,org.akaza.openclinica.ws,UserPermissionInterceptor,UserPermissionInterceptor,3,1,1,21,0,,
OpenClinica_OpenClinica,org.akaza.openclinica.ws,UserPermissionInterceptor,handleRequest,22,3,2,25,0,,
OpenClinica_OpenClinica,org.akaza.openclinica.ws,UserPermissionInterceptor,handleResponse,3,1,2,48,0,,
OpenClinica_OpenClinica,org.akaza.openclinica.ws,UserPermissionInterceptor,handleFault,3,1,2,53,0,,
OpenClinica_OpenClinica,org.akaza.openclinica.ws,StudyEndpoint,StudyEndpoint,7,1,4,61,0,,
OpenClinica_OpenClinica,org.akaza.openclinica.ws,StudyEndpoint,getStudyMetadata,15,2,1,71,0,org.akaza.openclinica.ws.StudyEndpoint,org.akaza.openclinica.ws.StudyEndpoint
OpenClinica_OpenClinica,org.akaza.openclinica.ws,StudyEndpoint,mapSuccessConfirmation,14,1,2,97,0,org.akaza.openclinica.ws.StudyEndpoint,org.akaza.openclinica.ws.StudyEndpoint
OpenClinica_OpenClinica,org.akaza.openclinica.ws,StudyEndpoint,getReport,25,1,1,117,0,,
OpenClinica_OpenClinica,org.akaza.openclinica.ws,StudyEndpoint,mapConfirmation,16,2,2,148,0,,
OpenClinica_OpenClinica,org.akaza.openclinica.ws,StudyEndpoint,unMarshallRequest,6,1,1,169,0,org.akaza.openclinica.ws.StudyEndpoint,org.akaza.openclinica.ws.StudyEndpoint
OpenClinica_OpenClinica,org.akaza.openclinica.ws,StudyEndpoint,getStudy,10,3,1,178,0,org.akaza.openclinica.ws.StudyEndpoint,org.akaza.openclinica.ws.StudyEndpoint
OpenClinica_OpenClinica,org.akaza.openclinica.ws,StudyEndpoint,getStudyList,4,1,0,190,0,org.akaza.openclinica.ws.StudyEndpoint,org.akaza.openclinica.ws.StudyEndpoint
OpenClinica_OpenClinica,org.akaza.openclinica.ws,StudyEndpoint,getUserAccount,11,2,0,202,0,org.akaza.openclinica.ws.StudyEndpoint,org.akaza.openclinica.ws.StudyEndpoint
