Project Name,Package Name,Architecture Smell,Cause of the Smell
OpenHFT_Chronicle-Queue,net.openhft.chronicle.queue,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 129
OpenHFT_Chronicle-Queue,net.openhft.chronicle.queue,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: net.openhft.chronicle.queue; net.openhft.chronicle.queue.impl.single
OpenHFT_Chronicle-Queue,net.openhft.chronicle.queue,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: net.openhft.chronicle.queue; net.openhft.chronicle.queue.impl.single; net.openhft.chronicle.queue.impl
OpenHFT_Chronicle-Queue,net.openhft.chronicle.queue,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): net.openhft.chronicle.queue.impl.single; net.openhft.chronicle.queue.reader; net.openhft.chronicle.queue.main; net.openhft.chronicle.queue.impl
OpenHFT_Chronicle-Queue,net.openhft.chronicle.queue,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [RollCycle; RollCycles; ChronicleQueue; ExcerptAppender; ExcerptTailer; ExcerptCommon; TailerState; CycleCalculator; TailerDirection; SingleChroniclePerfMainTest; DumpQueueMainTest; QueueReadForwardSkippingACycleBiggerThanADayTest; TestDeleteQueueFile; StridingAQueueTest; CreateAtIndexTest; TailerCloseInParallelTest; StoreTailerNotReachedTest; TailerDirectionTest; ChunkCountTest; LastAppendedTest; OvertakeTest; OvertakeTest.MyAppender; OvertakeTest.MyTailer; ChronicleQueueTestBase; ChronicleQueueIndexTest; ValueStringArrayTest; ChronicleAppenderCycleTest; LongRunTestMain; QueueWriteDocumentContextTest; IndexForIDTest; BackwardWithPretouchTest; ReadmeTest; DirectoryUtils; MoveIndexAfterFailedTailerTest; IgnoreMethodBasedOnFirstArgTest; NoDataIsSkippedWithInterruptTest; LatinCharTest; VisibilityOfMessagesBetweenTailorsAndAppenderTest; MarshallableTest; InternalAppenderWriteBytesTest; DtoBytesMarshallableTest; MultipleNamedTailersTest; CycleNotFoundTest; RollCyclesTest; QueueReadBackwardsTest; WriteReadTextTest; RareAppenderLatencyTest; Stackoveflow52274284Test; ToEndPaddingTest; RawAccessJavaTest; QueueAppendAfterRollReplayedIssueTest; WriteBytesTest; LastAcknowledgedTest; LastIndexAppendedTest; ReadWriteTest; TableStorePutGetTest; CheckHalfWrittenMsgNotSeenByTailerTest; ThreadedQueueTest; ChronicleQueueMethodsWithoutParametersTest; QueueTestCommon; ChronicleQueueTwoThreadsTest; MappedFileSafeLimitTooSmallTest; AcquireReleaseTest; TestCallingToEndOnRoll; ProxyTest; ProxyTest.TestMessageListener; RollCycleDefaultingTest; RollCycleDefaultingTest.MyRollcycle; ChronicleRollingIssueTest; ChronicleQueueLatencyDistribution; MessageReaderWriterTest; DefaultCycleCalculator; BufferMode; QueueSystemProperties; ValueStringArray; LATMsg; ContendedWriterTest; MethodReaderObjectReuseTest; IncompleteMessageTest]; [NoMessageHistory]; [ChronicleWriterMain]; [ChronicleReaderMain; ChronicleHistoryReaderMain]; [AppenderListener]; [SingleChroniclePerfMainTest.TestWriter]; [SingleChroniclePerfMainTest.TestReader]; [SingleChroniclePerfMainTest.IFacadeBase]; [SingleChroniclePerfMainTest.IFacadeSon]; [SingleChroniclePerfMainTest.IFacadeDaughter]; [SingleChroniclePerfMainTest.IFacade]; [DumpQueueMainTest.CountingOutputStream]; [ValueStringArray.CharSequenceArray]; [ValueStringArray.CharSequenceWrapper]; [TestDeleteQueueFile.QueueWithCycleDetails]; [TestDeleteQueueFile.RollCycleDetails]; [TestDeleteQueueFile.QueueStoreFileListener]; [SurefireInterruptFlagTest]; [StridingAQueueTest.SAQMessage]; [RunLargeQueueMain]; [TailerCloseInParallelTest.TestWriter]; [TailerCloseInParallelTest.TestReader]; [AppenderListenerTest]; [AppenderListenerTest.HelloWorld]; [ContendedWriterTest.Config]; [ContendedWriterTest.SlowToSerialiseAndDeserialise]; [ContendedWriterTest.StartAndMonitor]; [LongRunTestMain.TLogEntry]; [LongRunTestMain.LogEntryOutput]; [IndexForIDTest.TimeSetter]; [IndexForIDTest.Facade]; [ChronicleQueueMicrobench]; [MethodReaderObjectReuseTest.Pinger]; [MethodReaderObjectReuseTest.PingDTO]; [DirectoryUtils.DeleteStatic]; [IgnoreMethodBasedOnFirstArgTest.Printer]; [TestKey]; [LatinCharTest.Message]; [MultiQueueStressMain]; [DtoBytesMarshallableTest.DtoBytesMarshallable]; [DtoBytesMarshallableTest.DtoAbstractMarshallable]; [TestAppenderThreadSafe]; [CheckHalfWrittenMsgNotSeenByTailerTest.HalfWriteAMessage]; [ChronicleQueueMethodsWithoutParametersTest.SomeListener]; [ChronicleQueueMethodsWithoutParametersTest.SomeManager]; [ProxyTest.Message]; [MessageReaderWriterTest.MessageListener]; [MessageReaderWriterTest.Message1]; [MessageReaderWriterTest.Message2]; [MessageReaderWriterTest.MessageProcessor]. LCC (Lack of Component Cohesion) = 0.39
OpenHFT_Chronicle-Queue,net.openhft.chronicle.queue,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: net.openhft.chronicle.queue.impl.single; net.openhft.chronicle.queue.main.
OpenHFT_Chronicle-Queue,net.openhft.chronicle.queue.internal,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: net.openhft.chronicle.queue.internal; net.openhft.chronicle.queue.impl.single
OpenHFT_Chronicle-Queue,net.openhft.chronicle.queue.internal.main,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: net.openhft.chronicle.queue.internal.main; net.openhft.chronicle.queue.impl.single; net.openhft.chronicle.queue.main
OpenHFT_Chronicle-Queue,net.openhft.chronicle.queue.internal.main,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: net.openhft.chronicle.queue.internal.main; net.openhft.chronicle.queue.impl; net.openhft.chronicle.queue.impl.single; net.openhft.chronicle.queue.main
OpenHFT_Chronicle-Queue,net.openhft.chronicle.queue.internal.main,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: net.openhft.chronicle.queue.internal.main; net.openhft.chronicle.queue.impl; net.openhft.chronicle.queue.impl.single; net.openhft.chronicle.queue; net.openhft.chronicle.queue.main
