Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
OpenHFT_Chronicle-Queue,net.openhft.chronicle.queue,SingleChroniclePerfMainTest,testFacade,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
OpenHFT_Chronicle-Queue,net.openhft.chronicle.queue,DumpQueueMainTest,shouldBeAbleToDumpReadOnlyQueueFile,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
OpenHFT_Chronicle-Queue,net.openhft.chronicle.queue,DumpQueueMainTest,shouldBeAbleToDumpReadOnlyQueueFile,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: net.openhft.chronicle.queue.impl.single.SingleChronicleQueueBuilder.build; net.openhft.chronicle.queue.main.DumpMain.dump
OpenHFT_Chronicle-Queue,net.openhft.chronicle.queue,DumpQueueMainTest,shouldDumpDirectoryListing,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
OpenHFT_Chronicle-Queue,net.openhft.chronicle.queue,DumpQueueMainTest,shouldDumpDirectoryListing,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: net.openhft.chronicle.queue.impl.single.SingleChronicleQueueBuilder.build; net.openhft.chronicle.queue.main.DumpMain.dump
OpenHFT_Chronicle-Queue,net.openhft.chronicle.queue,QueueReadForwardSkippingACycleBiggerThanADayTest,testReadForwards,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
OpenHFT_Chronicle-Queue,net.openhft.chronicle.queue,TestDeleteQueueFile,testRefreshDirectoryListingWillUpdateFirstAndLastIndicesCorrectly,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
OpenHFT_Chronicle-Queue,net.openhft.chronicle.queue,TestDeleteQueueFile,testRefreshDirectoryListingWillUpdateFirstAndLastIndicesCorrectly,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: net.openhft.chronicle.queue.impl.single.SingleChronicleQueue.refreshDirectoryListing; net.openhft.chronicle.queue.impl.single.SingleChronicleQueue.firstIndex; net.openhft.chronicle.queue.impl.single.SingleChronicleQueue.lastIndex; net.openhft.chronicle.queue.impl.single.SingleChronicleQueue.createTailer; net.openhft.chronicle.queue.ExcerptTailer.index
OpenHFT_Chronicle-Queue,net.openhft.chronicle.queue,TestDeleteQueueFile,tailerToStartWorksInFaceOfDeletedStoreFile,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
OpenHFT_Chronicle-Queue,net.openhft.chronicle.queue,TestDeleteQueueFile,tailerToStartWorksInFaceOfDeletedStoreFile,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: net.openhft.chronicle.queue.impl.single.SingleChronicleQueue.createTailer; net.openhft.chronicle.queue.ExcerptTailer.index; net.openhft.chronicle.queue.ExcerptTailer.toStart; net.openhft.chronicle.queue.ExcerptTailer.toEnd
OpenHFT_Chronicle-Queue,net.openhft.chronicle.queue,TestDeleteQueueFile,tailerToStartFromStartWorksInFaceOfDeletedStoreFile,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
OpenHFT_Chronicle-Queue,net.openhft.chronicle.queue,TestDeleteQueueFile,tailerToStartFromStartWorksInFaceOfDeletedStoreFile,Ignored test,The tool detected the smell in this test method because the test is excluded from testing.
OpenHFT_Chronicle-Queue,net.openhft.chronicle.queue,TestDeleteQueueFile,tailerToStartFromStartWorksInFaceOfDeletedStoreFile,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: net.openhft.chronicle.queue.impl.single.SingleChronicleQueue.createTailer; net.openhft.chronicle.queue.ExcerptTailer.index; net.openhft.chronicle.queue.ExcerptTailer.toEnd; net.openhft.chronicle.queue.ExcerptTailer.toStart
OpenHFT_Chronicle-Queue,net.openhft.chronicle.queue,TestDeleteQueueFile,tailerToEndWorksInFaceOfDeletedStoreFile,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
OpenHFT_Chronicle-Queue,net.openhft.chronicle.queue,TestDeleteQueueFile,tailerToEndWorksInFaceOfDeletedStoreFile,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: net.openhft.chronicle.queue.impl.single.SingleChronicleQueue.createTailer; net.openhft.chronicle.queue.ExcerptTailer.index; net.openhft.chronicle.queue.ExcerptTailer.toEnd; net.openhft.chronicle.queue.ExcerptTailer.toStart
OpenHFT_Chronicle-Queue,net.openhft.chronicle.queue,TestDeleteQueueFile,tailerToEndFromEndWorksInFaceOfDeletedStoreFile,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
