Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
OpenHFT_Koloboke,com.koloboke.compile,CustomDefaultValueMapTest,testCustomDefaultValueMap,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
OpenHFT_Koloboke,com.koloboke.compile,TParamSetTest,testTParamSet,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
OpenHFT_Koloboke,com.koloboke.compile.fromdocs,NonnullKeyMapTest,testNonnullKeyMap,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
OpenHFT_Koloboke,com.koloboke.compile.fromdocs,PositiveNumbersSetTest,testPositiveNumbersSet,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
OpenHFT_Koloboke,com.koloboke.compile.fromdocs,TutorialTest,testMyMap,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
OpenHFT_Koloboke,com.koloboke.compile.fromdocs,TutorialTest,testSparseMyMap,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
OpenHFT_Koloboke,com.koloboke.compile.fromdocs,TutorialTest,testTickers,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
OpenHFT_Koloboke,com.koloboke.compile.fromdocs,TutorialTest,testCache,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
OpenHFT_Koloboke,com.koloboke.compile.fromdocs,TutorialTest,testExtendedMap,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
OpenHFT_Koloboke,com.koloboke.compile.fromdocs,TutorialTest,testMyIntLongMap,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
OpenHFT_Koloboke,com.koloboke.compile.fromdocs,TutorialTest,testMyIntLongMap,Exceptional handling,The tool detected the smell in this test method because the test throws exception(s) from test (rather than using assertThrows method or expected annotation)
OpenHFT_Koloboke,com.koloboke.compile.fromdocs,TutorialTest,testStringIntMap,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
OpenHFT_Koloboke,com.koloboke.compile.fromdocs,TutorialTest,testSmallerLongIntMap,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
OpenHFT_Koloboke,com.koloboke.compile.fromdocs,TutorialTest,testOptimizedMap,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
OpenHFT_Koloboke,com.koloboke.compile.fromdocs,ConfigurableKeyEquivalenceMapTest,testCustomizableKeyEquivalenceMap,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
OpenHFT_Koloboke,com.koloboke.compile.fromdocs,IdentityToIntMapTest,testIdentityMap,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
OpenHFT_Koloboke,com.koloboke.compile.fromdocs,MinusOneDefaultValueObjIntMapTest,testMinusOneDefaultValueObjIntMap,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
OpenHFT_Koloboke,com.koloboke.collect.impl,ScalerTest,test,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 10
OpenHFT_Koloboke,com.koloboke.collect.impl,ScalerTest,test,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.
OpenHFT_Koloboke,com.koloboke.collect.impl,ScalerTest,testZeros,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
OpenHFT_Koloboke,com.koloboke.collect.impl.hash,Issue40,test,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
OpenHFT_Koloboke,com.koloboke.collect.impl.hash,HashConfigWrapperTest,testMinCapacityMaxSizeInverseInvariant,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
OpenHFT_Koloboke,com.koloboke.collect.impl.hash,HashConfigWrapperTest,testMinCapacityMaxSizeInverseInvariant,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.
OpenHFT_Koloboke,com.koloboke.collect.hash,CharSequenceEquivalenceTest,test,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
OpenHFT_Koloboke,com.koloboke.collect.hash,HashConfigTest,testEquals,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
OpenHFT_Koloboke,com.koloboke.collect.map.hash,MahoutHashCharShortMapTest,testClear,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
OpenHFT_Koloboke,com.koloboke.collect.map.hash,MahoutHashCharShortMapTest,testContainsKey,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
OpenHFT_Koloboke,com.koloboke.collect.map.hash,MahoutHashCharShortMapTest,testContainValue,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
OpenHFT_Koloboke,com.koloboke.collect.map.hash,MahoutHashCharShortMapTest,testForEachWhile,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
OpenHFT_Koloboke,com.koloboke.collect.map.hash,MahoutHashCharShortMapTest,testGet,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
OpenHFT_Koloboke,com.koloboke.collect.map.hash,MahoutHashCharShortMapTest,testAdjustOrPutValue,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
OpenHFT_Koloboke,com.koloboke.collect.map.hash,MahoutHashCharShortMapTest,testKeys,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
OpenHFT_Koloboke,com.koloboke.collect.map.hash,MahoutHashCharShortMapTest,testPairsMatching,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
OpenHFT_Koloboke,com.koloboke.collect.map.hash,MahoutHashCharShortMapTest,testValues,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
OpenHFT_Koloboke,com.koloboke.collect.map.hash,MahoutHashCharShortMapTest,testEquals,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
OpenHFT_Koloboke,com.koloboke.collect.map.hash,ByteKeyHashMapTest,testCorrectFreeAndRemovedValuesReplacement,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 13
OpenHFT_Koloboke,com.koloboke.collect.map.hash,ByteKeyHashMapTest,testAbilityToReplaceFreeOnAlmostFullHash,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 9
OpenHFT_Koloboke,com.koloboke.collect.map.hash,ObjCharMapTest,testGetByEqualButNotIdenticalKey,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
OpenHFT_Koloboke,com.koloboke.collect.map.hash,ByteShortMapAddValueTest,byteShortMapAddValueTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
