Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
PasaLab_Tachyon-Perf,tachyon.perf.tools,TachyonPerfSupervision,Imperative Abstraction,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: main
PasaLab_Tachyon-Perf,tachyon.perf.tools,TachyonPerfSupervision,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
PasaLab_Tachyon-Perf,tachyon.perf.tools,TachyonPerfCollector,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
PasaLab_Tachyon-Perf,tachyon.perf,TachyonPerf,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
PasaLab_Tachyon-Perf,tachyon.perf,PerfConstants,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: PERF_LOGGER_TYPE; PERF_MEMORY_UNITS; PERF_CONTEXT_FILE_NAME_PREFIX
PasaLab_Tachyon-Perf,tachyon.perf,FooTaskContext,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
PasaLab_Tachyon-Perf,tachyon.perf,FooTask,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
PasaLab_Tachyon-Perf,tachyon.perf.benchmark.connect,ConnectTotalReport,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
PasaLab_Tachyon-Perf,tachyon.perf.benchmark.connect,ConnectThread,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOG; OP_DELETE; OP_GET; OP_MKDIR; OP_RENAME; ID; mClients; mOps; mStatistic; mTfsAddress; mTargetDir
PasaLab_Tachyon-Perf,tachyon.perf.benchmark.connect,ConnectTask,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
PasaLab_Tachyon-Perf,tachyon.perf.benchmark.write,WriteTotalReport,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
PasaLab_Tachyon-Perf,tachyon.perf.benchmark.write,WriteThread,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOG; ID; mContent; mFileLength; mTfsAddress; mWriteFileList; mWriteGrainBytes; mStatistic; mWriteType
PasaLab_Tachyon-Perf,tachyon.perf.benchmark.createfile,CreateFileTask,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
PasaLab_Tachyon-Perf,tachyon.perf.benchmark.createfile,CreateFileThread,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOG; WRITE_GRAIN; ID; mContent; mFileLength; mFileNum; mTfsAddress; mTargetDir; mSuccessFiles
PasaLab_Tachyon-Perf,tachyon.perf.benchmark.createfile,CreateFileTotalReport,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
PasaLab_Tachyon-Perf,tachyon.perf.benchmark.read,ReadTotalReport,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
PasaLab_Tachyon-Perf,tachyon.perf.benchmark.read,ReadThread,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOG; ID; mContent; mReadFileList; mReadGrainBytes; mReadType; mStatistic; mTfsAddress
PasaLab_Tachyon-Perf,tachyon.perf.benchmark.read,ReadMode,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: mValue
PasaLab_Tachyon-Perf,tachyon.perf.conf,PerfConf,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOG; PERF_CONF; TACHYON_PERF_HOME; OUT_FOLDER; STATUS_DEBUG; TFS_ADDRESS; TFS_DIR; FAILED_THEN_ABORT; FAILED_PERCENTAGE
PasaLab_Tachyon-Perf,tachyon.perf.conf,PerfConf,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Utils
PasaLab_Tachyon-Perf,tachyon.perf.basic,Supervisible,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
PasaLab_Tachyon-Perf,tachyon.perf.basic,TaskConfiguration,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: LOG; DEFAULT_BOOLEAN; DEFAULT_INTEGER; DEFAULT_LONG; DEFAULT_STRING; taskConf; mProperties
