Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
RestExpress_RestExpress-Examples,org.restexpress.example.blogging,Constants,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: BLOGS_READ_ROUTE; BLOG_READ_ROUTE; BLOG_ENTRY_READ_ROUTE; BLOG_ENTRIES_READ_ROUTE; COMMENT_READ_ROUTE; COMMENTS_READ_ROUTE; BLOG_ID_PARAMETER; BLOG_ENTRY_ID_PARAMETER; COMMENT_ID_PARAMETER
RestExpress_RestExpress-Examples,org.restexpress.example.blogging,Constants,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: BLOGS_READ_ROUTE; BLOG_READ_ROUTE; BLOG_ENTRY_READ_ROUTE; BLOG_ENTRIES_READ_ROUTE; COMMENT_READ_ROUTE; COMMENTS_READ_ROUTE; BLOG_ID_PARAMETER; BLOG_ENTRY_ID_PARAMETER; COMMENT_ID_PARAMETER
RestExpress_RestExpress-Examples,org.restexpress.example.blogging,Constants.Routes,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
RestExpress_RestExpress-Examples,org.restexpress.example.blogging,Constants.Routes,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: BLOGS_READ_ROUTE; BLOG_READ_ROUTE; BLOG_ENTRY_READ_ROUTE; BLOG_ENTRIES_READ_ROUTE; COMMENT_READ_ROUTE; COMMENTS_READ_ROUTE
RestExpress_RestExpress-Examples,org.restexpress.example.blogging,Constants.Routes,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: BLOGS_READ_ROUTE; BLOG_READ_ROUTE; BLOG_ENTRY_READ_ROUTE; BLOG_ENTRIES_READ_ROUTE; COMMENT_READ_ROUTE; COMMENTS_READ_ROUTE
RestExpress_RestExpress-Examples,org.restexpress.example.blogging,Constants.Url,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: BLOG_ID_PARAMETER; BLOG_ENTRY_ID_PARAMETER; COMMENT_ID_PARAMETER
RestExpress_RestExpress-Examples,org.restexpress.example.blogging,Constants.Url,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
RestExpress_RestExpress-Examples,org.restexpress.example.blogging,Constants.Url,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: BLOG_ID_PARAMETER; BLOG_ENTRY_ID_PARAMETER; COMMENT_ID_PARAMETER
RestExpress_RestExpress-Examples,org.restexpress.example.blogging,Routes,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: Configuration; BlogController; Routes; BlogEntryController; CommentController
RestExpress_RestExpress-Examples,org.restexpress.example.blogging,Main,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
RestExpress_RestExpress-Examples,org.restexpress.example.blogging.domain,AbstractEntity,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
RestExpress_RestExpress-Examples,org.restexpress.example.blogging.domain,BlogEntry,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractEntity
RestExpress_RestExpress-Examples,org.restexpress.example.blogging.domain,Blog,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractEntity
RestExpress_RestExpress-Examples,org.restexpress.example.blogging.domain,Comment,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): AbstractEntity
RestExpress_RestExpress-Examples,org.restexpress.example.blogging.domain.event,BlogEntryDeletedEvent,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
RestExpress_RestExpress-Examples,org.restexpress.example.blogging.domain.event,BlogEntryDeletedEvent,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: blogEntryId
RestExpress_RestExpress-Examples,org.restexpress.example.blogging.domain.event,ObjectDeletedEvent,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
