Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
SAP_cloud-dirigible,org.eclipse.dirigible.repository.rcp,RCPRepositoryDAO,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
SAP_cloud-dirigible,org.eclipse.dirigible.repository.rcp,RCPRepositoryActivator,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: context
SAP_cloud-dirigible,org.eclipse.dirigible.repository.rcp,RCPRepository,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PATH_DELIMITER
SAP_cloud-dirigible,org.eclipse.dirigible.repository.rcp,RCPRepository,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 14
SAP_cloud-dirigible,org.eclipse.dirigible.repository.ext.command,ProcessUtils,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DEFAULT_WAIT_TIME; DEFAULT_LOOP_COUNT
SAP_cloud-dirigible,org.eclipse.dirigible.repository.ext.security,SecurityUpdater,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: EXTENSION_ACCESS; REGISTRY_SECURITY_CONSTRAINTS_DEFAULT
SAP_cloud-dirigible,org.eclipse.dirigible.repository.ext.debug,DebugConstants,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: VIEW; DEBUG; VIEW_REGISTER; VIEW_FINISH; VIEW_SESSIONS; VIEW_ON_LINE_CHANGE; VIEW_VARIABLE_VALUES; VIEW_BREAKPOINT_METADATA; DEBUG_REFRESH; DEBUG_STEP_INTO; DEBUG_STEP_OVER; DEBUG_CONTINUE; DEBUG_SKIP_ALL_BREAKPOINTS; DEBUG_SET_BREAKPOINT; DEBUG_CLEAR_BREAKPOINT; DEBUG_CLEAR_ALL_BREAKPOINTS; DEBUG_CLEAR_ALL_BREAKPOINTS_FOR_FILE
SAP_cloud-dirigible,org.eclipse.dirigible.repository.ext.extensions,ExtensionUpdater,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: EXTENSION_EXTENSION; EXTENSION_EXTENSION_POINT; REGISTRY_EXTENSION_DEFINITIONS_DEFAULT
SAP_cloud-dirigible,org.eclipse.dirigible.repository.ext.extensions,ExtensionUpdater,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
SAP_cloud-dirigible,org.eclipse.dirigible.repository.ext.db,DBSupportedTypesMap,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: VARCHAR; TINYINT; TIMESTAMP; TIME; SMALLINT; NVARCHAR; NUMERIC; INTEGER; REAL; FLOAT; DOUBLE; DECIMAL; DATE; CLOB; CHAR; BOOLEAN; BLOB; BIT; BINARY; BIGINT; UNSUPPORTED_TYPE
SAP_cloud-dirigible,org.eclipse.dirigible.repository.ext.db,DatabaseUpdater,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: EXTENSION_TABLE; EXTENSION_VIEW; REGISTRY_DATA_STRUCTURES_DEFAULT
SAP_cloud-dirigible,org.eclipse.dirigible.repository.ext.db,DatabaseUpdater,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
SAP_cloud-dirigible,org.eclipse.dirigible.repository.ext.db,Messages,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DBTableDataInserter_INVALID_NUMBER_D_OF_ELEMENTS_AT_LINE_D_INITIAL_COLUMNS_NUMBER_D
SAP_cloud-dirigible,org.eclipse.dirigible.repository.ext.db,DBUtils,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: SCRIPT_DELIMITER
SAP_cloud-dirigible,org.eclipse.dirigible.repository.ext.db.dialect,IDialectSpecifier,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DIALECT_TIMESTAMP; DIALECT_BLOB; DIALECT_CURRENT_TIMESTAMP
SAP_cloud-dirigible,org.eclipse.dirigible.repository.api,IRepositoryPaths,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: SEPARATOR; DB_DIRIGIBLE_ROOT; DB_DIRIGIBLE_REGISTRY; DB_DIRIGIBLE_REGISTRY_PUBLIC; DB_DIRIGIBLE_SANDBOX; DB_DIRIGIBLE_USERS; DB_DIRIGIBLE_TEMPLATES; DB_DIRIGIBLE_TEMPLATES_PROJECTS; CONF_FOLDER_NAME; WORKSPACE_FOLDER_NAME; CONF_REGISTRY; REGISTRY_DEPLOY_PATH; REGISTRY_IMPORT_PATH; SANDBOX_DEPLOY_PATH
