Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
SpringOne2GX-2014_microservice-security,sample.tomcat,X509Application,helloWorld,3,1,0,55,0,,
SpringOne2GX-2014_microservice-security,sample.tomcat,X509Application,main,3,1,1,77,0,,
SpringOne2GX-2014_microservice-security,sample.tomcat,X509ApplicationTests,setUp,3,1,0,62,0,,
SpringOne2GX-2014_microservice-security,sample.tomcat,X509ApplicationTests,reset,3,1,0,67,0,,
SpringOne2GX-2014_microservice-security,sample.tomcat,X509ApplicationTests,testUnauthenticatedHello,6,1,0,72,0,,
SpringOne2GX-2014_microservice-security,sample.tomcat,X509ApplicationTests,testAuthenticatedHello,8,1,0,81,1,,
SpringOne2GX-2014_microservice-security,sample.tomcat,X509ApplicationTests,httpClient,4,1,0,94,0,,
SpringOne2GX-2014_microservice-security,sample.tomcat,X509ApplicationTests,socketFactory,9,1,0,100,0,,
SpringOne2GX-2014_microservice-security,sample.tomcat,X509ApplicationTests,getKeyStoreFile,4,1,0,111,0,,
SpringOne2GX-2014_microservice-security,demo,UiApplication,user,3,1,1,38,0,,
SpringOne2GX-2014_microservice-security,demo,UiApplication,main,3,1,1,43,0,,
SpringOne2GX-2014_microservice-security,demo,ApplicationTests,contextLoads,2,1,0,14,1,,
SpringOne2GX-2014_microservice-security,demo,UiApplication,user,3,1,1,36,0,,
SpringOne2GX-2014_microservice-security,demo,UiApplication,main,3,1,1,41,0,,
SpringOne2GX-2014_microservice-security,demo,ApplicationTests,contextLoads,2,1,0,14,1,,
SpringOne2GX-2014_microservice-security,demo,AuthserverApplication,main,3,1,1,37,0,,
SpringOne2GX-2014_microservice-security,demo,AuthserverApplication,addViewControllers,4,1,1,41,0,,
SpringOne2GX-2014_microservice-security,demo,ApplicationTests,contextLoads,2,1,0,14,1,,
SpringOne2GX-2014_microservice-security,demo,UiApplication,user,3,1,1,38,0,,
SpringOne2GX-2014_microservice-security,demo,UiApplication,main,3,1,1,43,0,,
SpringOne2GX-2014_microservice-security,demo,ApplicationTests,contextLoads,2,1,0,14,1,,
SpringOne2GX-2014_microservice-security,demo,UiApplication,main,3,1,1,45,0,,
SpringOne2GX-2014_microservice-security,demo,UiApplication,sessionFilter,5,1,1,93,0,,
SpringOne2GX-2014_microservice-security,demo,UiApplication,user,3,1,1,102,0,,
SpringOne2GX-2014_microservice-security,demo,UiApplication,token,3,1,1,107,0,,
SpringOne2GX-2014_microservice-security,demo,ApplicationTests,contextLoads,2,1,0,14,1,,
SpringOne2GX-2014_microservice-security,demo,UiApplication,user,3,1,1,39,0,,
SpringOne2GX-2014_microservice-security,demo,UiApplication,home,6,1,0,44,0,,
SpringOne2GX-2014_microservice-security,demo,UiApplication,main,3,1,1,52,0,,
SpringOne2GX-2014_microservice-security,demo,ApplicationTests,contextLoads,2,1,0,14,1,,
