Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
Stratio_flume-ingestion,com.stratio.ingestion.testsAT.utils,CukesHooks,syntaxError,Long Parameter List,The method has 5 parameters. ,44
Stratio_flume-ingestion,com.stratio.ingestion.sink.cassandra,CassandraUtils,parseValue,Complex Method,Cyclomatic complexity of the method is 13,67
Stratio_flume-ingestion,com.stratio.ingestion.sink.cassandra,CassandraUtils,parseValue,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@3be7c1c2,67
Stratio_flume-ingestion,com.stratio.ingestion.sink.cassandra,CassandraSink,start,Magic Number,The method contains a magic number: 2,129
Stratio_flume-ingestion,com.stratio.ingestion.sink.cassandra,CassandraTable,CassandraTable,Long Parameter List,The method has 5 parameters. ,64
Stratio_flume-ingestion,com.stratio.ingestion.sink.cassandra,CassandraTable,save,Long Statement,The length of the statement "log.warn("Event {} could not be mapped. Suggestion: Cassandra is case sensitive` so maybe you can check field names."`event);" is 125.,85
Stratio_flume-ingestion,com.stratio.ingestion.sink.cassandra,CassandraDataTypesIT,setup,Long Statement,The length of the statement "session.execute("CREATE KEYSPACE IF NOT EXISTS keyspaceTest WITH REPLICATION = { 'class' : 'SimpleStrategy'` 'replication_factor' : 1 };");" is 139.,79
Stratio_flume-ingestion,com.stratio.ingestion.sink.cassandra,CassandraDataTypesIT,setup,Long Statement,The length of the statement "session.execute("CREATE TABLE if not exists keyspaceTest.tableTest (" + PRIMARY_KEY + " uuid` "+ TEXT_FIELD+ " text` "+ VARCHAR_FIELD+ " varchar` "+ VARINT_FIELD+ " varint` "+ ASCII_FIELD+ " ascii` "+ BOOLEAN_FIELD+ " boolean` "+ DECIMAL_FIELD+ " decimal` "+ DOUBLE_FIELD+ " double` "+ FLOAT_FIELD+ " float` "+ INET_FIELD+ " inet` "+ INT_FIELD+ " int` "+ LIST_FIELD+ " list<TEXT>` "+ MAP_FIELD+ " map<TEXT`INT>` "+ SET_FIELD+ " set<TEXT>` "+ TIMESTAMP_FIELD+ " timestamp` "+ UUID_FIELD+ " uuid` "+ BIGINT_FIELD+ " bigint` PRIMARY KEY ("+ PRIMARY_KEY+ "));");" is 558.,79
Stratio_flume-ingestion,com.stratio.ingestion.sink.cassandra,CassandraSinkIT,_do,Long Statement,The length of the statement "IOUtils.write("CREATE KEYSPACE IF NOT EXISTS keyspaceTestCassandraSinkIT WITH REPLICATION = { 'class' : 'SimpleStrategy'` 'replication_factor' : 1 };\n\n" + "CREATE TABLE IF NOT EXISTS keyspaceTestCassandraSinkIT.tableTestCassandraSinkIT (" + "id uuid` bool_field boolean` int_field int` PRIMARY KEY (int_field)"+ ");\n\n"`new FileOutputStream(cqlFile));" is 354.,46
Stratio_flume-ingestion,com.stratio.ingestion.sink.cassandra,CassandraSinkIT,initializeCqlTwice,Long Statement,The length of the statement "Assert.assertNotNull(session.getCluster().getMetadata().getKeyspace("keyspaceTestCassandraSinkIT").getTable("tableTestCassandraSinkIT"));" is 137.,80
Stratio_flume-ingestion,com.stratio.ingestion.sink.cassandra,CassandraSinkIT,initializeCqlTwice,Long Statement,The length of the statement "Assert.assertNotNull(session.getCluster().getMetadata().getKeyspace("keyspaceTestCassandraSinkIT").getTable("tableTestCassandraSinkIT"));" is 137.,80
Stratio_flume-ingestion,com.stratio.ingestion.sink.cassandra,TestCassandraTable,save,Long Statement,The length of the statement "final Event event=EventBuilder.withBody("my_body".getBytes()`ImmutableMap.of("id"`"1"`"text_col"`"my_text"`"other"`"foo"));" is 123.,89
Stratio_flume-ingestion,com.stratio.ingestion.sink.cassandra,TestCassandraTable,save,Long Statement,The length of the statement "return consistencyLevel == ConsistencyLevel.QUORUM && "INSERT INTO my_keyspace.my_table(text_col`id) VALUES ('my_text'`1);".equals(statement.toString());" is 153.,89
Stratio_flume-ingestion,com.stratio.ingestion.sink.cassandra,TestCassandraTable,matches,Long Statement,The length of the statement "return consistencyLevel == ConsistencyLevel.QUORUM && "INSERT INTO my_keyspace.my_table(text_col`id) VALUES ('my_text'`1);".equals(statement.toString());" is 153.,101
Stratio_flume-ingestion,com.stratio.ingestion.sink.cassandra,TestCassandraTable,parseWithoutBody,Long Statement,The length of the statement "final Event event=EventBuilder.withBody("my_body".getBytes()`ImmutableMap.of("id"`"1"`"text_col"`"my_text"`"other"`"foo"));" is 123.,153
Stratio_flume-ingestion,com.stratio.ingestion.sink.cassandra,TestCassandraTable,parseWithoutBody,Magic Number,The method contains a magic number: 2,153
Stratio_flume-ingestion,com.stratio.ingestion.sink.cassandra,TestCassandraTable,parseWithBody,Long Statement,The length of the statement "final Event event=EventBuilder.withBody("my_body".getBytes()`ImmutableMap.of("id"`"1"`"text_col"`"my_text"`"other"`"foo"));" is 123.,167
Stratio_flume-ingestion,com.stratio.ingestion.sink.cassandra,TestCassandraTable,parseWithBody,Magic Number,The method contains a magic number: 2,167
Stratio_flume-ingestion,com.stratio.ingestion.sink.cassandra,TestCassandraUtils,parseSpacedInt,Magic Number,The method contains a magic number: 12,184
Stratio_flume-ingestion,com.stratio.ingestion.sink.cassandra,TestCassandraUtils,parseBlob,Magic Number,The method contains a magic number: 2,197
Stratio_flume-ingestion,com.stratio.ingestion.sink.cassandra,TestCassandraUtils,parseBlob,Magic Number,The method contains a magic number: 0xF1,197
Stratio_flume-ingestion,com.stratio.ingestion.sink.elasticsearch,ElasticSearchSink,configure,Complex Method,Cyclomatic complexity of the method is 15,209
Stratio_flume-ingestion,com.stratio.ingestion.sink.elasticsearch,ElasticSearchSink,configure,Long Statement,The length of the statement "@SuppressWarnings("unchecked") Class<? extends Configurable> clazz=(Class<? extends Configurable>)Class.forName(serializerClazz);" is 129.,209
Stratio_flume-ingestion,com.stratio.ingestion.sink.elasticsearch,ElasticSearchSink,configure,Long Statement,The length of the statement "@SuppressWarnings("unchecked") Class<? extends IndexNameBuilder> clazz=(Class<? extends IndexNameBuilder>)Class.forName(indexNameBuilderClass);" is 143.,209
Stratio_flume-ingestion,com.stratio.ingestion.sink.elasticsearch,ElasticSearchSink,parseTTL,Complex Method,Cyclomatic complexity of the method is 9,374
Stratio_flume-ingestion,com.stratio.ingestion.sink.elasticsearch,ElasticSearchSink,parseTTL,Magic Number,The method contains a magic number: 2,374
Stratio_flume-ingestion,com.stratio.ingestion.sink.elasticsearch,ElasticSearchSink,parseTTL,Magic Number,The method contains a magic number: 2,374
Stratio_flume-ingestion,com.stratio.ingestion.sink.elasticsearch,ElasticSearchSink,parseTTL,Magic Number,The method contains a magic number: 2,374
Stratio_flume-ingestion,com.stratio.ingestion.sink.elasticsearch,ElasticSearchSink,parseTTL,Magic Number,The method contains a magic number: 2,374
Stratio_flume-ingestion,com.stratio.ingestion.sink.elasticsearch,ElasticSearchSink,parseTTL,Magic Number,The method contains a magic number: 2,374
Stratio_flume-ingestion,com.stratio.ingestion.sink.elasticsearch,ElasticSearchSink,parseTTL,Magic Number,The method contains a magic number: 2,374
Stratio_flume-ingestion,com.stratio.ingestion.sink.elasticsearch,ElasticSearchSink,parseTTL,Magic Number,The method contains a magic number: 7,374
Stratio_flume-ingestion,com.stratio.ingestion.sink.elasticsearch,ElasticSearchSink,parseTTL,Magic Number,The method contains a magic number: 2,374
Stratio_flume-ingestion,com.stratio.ingestion.sink.elasticsearch,TimestampedEventTest,shouldUseExistingTimestampHeaderInTimestampedEvent,Magic Number,The method contains a magic number: 321L,46
Stratio_flume-ingestion,com.stratio.ingestion.sink.elasticsearch,TimestampedEventTest,shouldUseExistingAtTimestampHeaderInTimestampedEvent,Magic Number,The method contains a magic number: 999L,58
Stratio_flume-ingestion,com.stratio.ingestion.sink.elasticsearch,TimeBasedIndexNameBuilderTest,indexNameShouldBePrefixDashFormattedTimestamp,Magic Number,The method contains a magic number: 987654321L,47
Stratio_flume-ingestion,com.stratio.ingestion.sink.elasticsearch,TestElasticSearchSink,shouldIndexInvalidComplexJsonBody,Magic Number,The method contains a magic number: 3,86
Stratio_flume-ingestion,com.stratio.ingestion.sink.elasticsearch,TestElasticSearchSink,shouldIndexFiveEvents,Magic Number,The method contains a magic number: 5,149
Stratio_flume-ingestion,com.stratio.ingestion.sink.elasticsearch,TestElasticSearchSink,shouldIndexFiveEvents,Magic Number,The method contains a magic number: 5,149
Stratio_flume-ingestion,com.stratio.ingestion.sink.elasticsearch,TestElasticSearchSink,shouldIndexFiveEventsOverThreeBatches,Magic Number,The method contains a magic number: 5,179
Stratio_flume-ingestion,com.stratio.ingestion.sink.elasticsearch,TestElasticSearchSink,shouldIndexFiveEventsOverThreeBatches,Magic Number,The method contains a magic number: 3,179
Stratio_flume-ingestion,com.stratio.ingestion.sink.elasticsearch,TestElasticSearchSink,shouldIndexFiveEventsOverThreeBatches,Magic Number,The method contains a magic number: 5,179
Stratio_flume-ingestion,com.stratio.ingestion.sink.elasticsearch,TestElasticSearchSink,shouldParseConfiguration,Magic Number,The method contains a magic number: 10,215
Stratio_flume-ingestion,com.stratio.ingestion.sink.elasticsearch,TestElasticSearchSink,shouldParseFullyQualifiedTTLs,Magic Number,The method contains a magic number: 1000,331
Stratio_flume-ingestion,com.stratio.ingestion.sink.elasticsearch,TestElasticSearchSink,shouldParseFullyQualifiedTTLs,Magic Number,The method contains a magic number: 60000,331
Stratio_flume-ingestion,com.stratio.ingestion.sink.elasticsearch,TestElasticSearchSink,shouldParseFullyQualifiedTTLs,Magic Number,The method contains a magic number: 3600000,331
Stratio_flume-ingestion,com.stratio.ingestion.sink.elasticsearch,TestElasticSearchSink,shouldParseFullyQualifiedTTLs,Magic Number,The method contains a magic number: 86400000,331
Stratio_flume-ingestion,com.stratio.ingestion.sink.elasticsearch,TestElasticSearchSink,shouldParseFullyQualifiedTTLs,Magic Number,The method contains a magic number: 604800000,331
Stratio_flume-ingestion,com.stratio.ingestion.sink.elasticsearch,TestElasticSearchSink,shouldParseFullyQualifiedTTLs,Magic Number,The method contains a magic number: 86400000,331
Stratio_flume-ingestion,com.stratio.ingestion.sink.elasticsearch,TestElasticSearchSink,shouldFailToConfigureWithInvalidSerializerClass,Empty catch clause,The method has an empty catch block.,395
Stratio_flume-ingestion,com.stratio.ingestion.sink.elasticsearch,TestElasticSearchSink,shouldFailToConfigureWithInvalidSerializerClass,Empty catch clause,The method has an empty catch block.,395
