Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
aerospike_aerospike-loader,com.aerospike.load,MappingDefinition,toString,Long Statement,The length of the statement "return "MappingDefinition [secondary_mapping=" + this.secondaryMapping + " keyColumnDef="+ this.keyColumnDef+ " setColumnDef="+ this.setColumnDef+ "binColumnDefs="+ this.binColumnDefs+ "]";" is 189.,48
aerospike_aerospike-loader,com.aerospike.load,AerospikeLoad,main,Complex Method,Cyclomatic complexity of the method is 9,128
aerospike_aerospike-loader,com.aerospike.load,AerospikeLoad,main,Long Statement,The length of the statement "options.addOption("h"`"hosts"`true`"List of seed hosts in format:\n" + "hostname1[:tlsname][:port1]`...\n" + "The tlsname is only used when connecting with a secure TLS enabled server. "+ "If the port is not specified` the default port is used.\n"+ "IPv6 addresses must be enclosed in square brackets.\n"+ "Default: localhost\n"+ "Examples:\n"+ "host1\n"+ "host1:3000`host2:3000\n"+ "192.168.1.10:cert1:3000`[2001::1111]:cert2:3000\n");" is 436.,128
aerospike_aerospike-loader,com.aerospike.load,AerospikeLoad,main,Long Statement,The length of the statement "options.addOption("e"`"expirationTime"`true`"Set expiration time of each record in seconds." + " -1: Never expire` " + " 0: Default to namespace`"+ " >0: Actual given expiration time");" is 185.,128
aerospike_aerospike-loader,com.aerospike.load,AerospikeLoad,main,Long Statement,The length of the statement "options.addOption("tp"`"tls-protocols"`true`"Allow TLS protocols\n" + "Values: TLSv1`TLSv1.1`TLSv1.2 separated by comma\n" + "Default: TLSv1.2");" is 145.,128
aerospike_aerospike-loader,com.aerospike.load,AerospikeLoad,main,Long Statement,The length of the statement "options.addOption("tlsCiphers"`"tls-cipher-suite"`true`"Allow TLS cipher suites\n" + "Values: cipher names defined by JVM separated by comma\n" + "Default: null (default cipher list provided by JVM)");" is 201.,128
aerospike_aerospike-loader,com.aerospike.load,AerospikeLoad,main,Long Statement,The length of the statement "options.addOption("tr"`"tlsRevoke"`true`"Revoke certificates identified by their serial number\n" + "Values: serial numbers separated by comma\n" + "Default: null (Do not revoke certificates)");" is 194.,128
aerospike_aerospike-loader,com.aerospike.load,AerospikeLoad,main,Long Statement,The length of the statement "options.addOption("uk"`"send-user-key"`false`"Send user defined key in addition to hash digest to store on the server. (default: userKey is not sent to reduce meta-data overhead)");" is 181.,128
aerospike_aerospike-loader,com.aerospike.load,AerospikeLoad,main,Magic Number,The method contains a magic number: 1000,128
aerospike_aerospike-loader,com.aerospike.load,AerospikeLoad,getAerospikeClient,Empty catch clause,The method has an empty catch block.,263
aerospike_aerospike-loader,com.aerospike.load,AerospikeLoad,initClientPolicy,Complex Method,Cyclomatic complexity of the method is 9,287
aerospike_aerospike-loader,com.aerospike.load,AerospikeLoad,initReadWriteThreadCnt,Long Statement,The length of the statement "nWriterThreads=(nWriterThreads > 0 ? (nWriterThreads > Constants.MAX_THREADS ? Constants.MAX_THREADS : nWriterThreads) : 1);" is 124.,333
aerospike_aerospike-loader,com.aerospike.load,AerospikeLoad,initReadWriteThreadCnt,Long Statement,The length of the statement "nReaderThreads=(nReaderThreads > 0 ? (nReaderThreads > Constants.MAX_THREADS ? Constants.MAX_THREADS : nReaderThreads) : 1);" is 124.,333
aerospike_aerospike-loader,com.aerospike.load,AerospikeLoad,runLoader,Long Statement,The length of the statement "ExecutorService readerPool=Executors.newFixedThreadPool(nReaderThreads > dataFileNames.size() ? dataFileNames.size() : nReaderThreads);" is 135.,374
aerospike_aerospike-loader,com.aerospike.load,AerospikeLoad,runLoader,Long Statement,The length of the statement "log.info("Final Statistics of importer: (" + "Records Read = " + counters.write.readCount.get() + "` "+ "Successful Writes = "+ counters.write.writeCount.get()+ "` "+ "Successful Primary Writes = "+ (counters.write.writeCount.get() - counters.write.mappingWriteCount.get())+ "` "+ "Successful Mapping Writes = "+ counters.write.mappingWriteCount.get()+ "` "+ "Errors = "+ (counters.write.writeErrors.get() + counters.write.readErrors.get() + counters.write.processingErrors.get())+ "("+ (counters.write.writeErrors.get())+ "-Write`"+ counters.write.readErrors.get()+ "-Read`"+ counters.write.processingErrors.get()+ "-Processing)` "+ "Skipped = "+ (counters.write.keyNullSkipped.get() + counters.write.noBinsSkipped.get())+ "("+ (counters.write.keyNullSkipped.get())+ "-NullKey`"+ counters.write.noBinsSkipped.get()+ "-NoBins)");" is 829.,374
aerospike_aerospike-loader,com.aerospike.load,AerospikeLoad,parseColumnNames,Long Statement,The length of the statement "throw new Exception("Number of column in config file and datafile are mismatch." + " Datafile: " + Utils.getFileName(dataFileNames.get(0)) + " columns: "+ columnNames.toString()+ " Configfile: "+ Utils.getFileName(columnDefinitionFileName)+ " n_colums: "+ Integer.parseInt(dsvConfigs.get(Constants.N_COLUMN)));" is 310.,499
aerospike_aerospike-loader,com.aerospike.load,AerospikeLoad,updateColumnInfoForMappingDefs,Complex Method,Cyclomatic complexity of the method is 11,550
aerospike_aerospike-loader,com.aerospike.load,AerospikeLoad,updateColumnInfoForMappingDefs,Long Statement,The length of the statement "if (binColumnDef.valueDef.columnName != null && binColumnDef.valueDef.columnName.toLowerCase().equals(Constants.SYSTEM_TIME)) {" is 127.,550
aerospike_aerospike-loader,com.aerospike.load,AerospikeLoad,validateSetNameInfo,Long Statement,The length of the statement "throw new Exception("Set name len exceed Allowd limit. SET_NAME_LEN_MAX: " + Constants.SET_NAME_LENGTH + "Given SetName: "+ metadataColDef.staticName);" is 151.,620
aerospike_aerospike-loader,com.aerospike.load,AerospikeLoad,validateBinColumnsNameInfo,Long Statement,The length of the statement "throw new Exception("Bin name len exceed Allowd limit. BIN_NAME_LEN_MAX: " + Constants.BIN_NAME_LENGTH + "Given BinName: "+ binColumnDef.staticName);" is 149.,652
aerospike_aerospike-loader,com.aerospike.load,AerospikeLoad,validateBinColumnsValueInfo,Complex Conditional,The conditional expression (binColumnDef.valueDef.srcType.equals(SrcColumnType.TIMESTAMP) || binColumnDef.valueDef.srcType.equals(SrcColumnType.BLOB)) && binColumnDef.valueDef.dstType == null is complex.,666
aerospike_aerospike-loader,com.aerospike.load,AerospikeLoad,validateBinColumnsValueInfo,Long Statement,The length of the statement "if ((binColumnDef.valueDef.srcType.equals(SrcColumnType.TIMESTAMP) || binColumnDef.valueDef.srcType.equals(SrcColumnType.BLOB)) && binColumnDef.valueDef.dstType == null) {" is 171.,666
aerospike_aerospike-loader,com.aerospike.load,AerospikeLoad,validateBinColumnsValueInfo,Long Statement,The length of the statement "if (binColumnDef.valueDef.srcType.equals(SrcColumnType.BLOB) && !binColumnDef.valueDef.encoding.equals(Constants.HEX_ENCODING)) {" is 129.,666
aerospike_aerospike-loader,com.aerospike.load,AerospikeLoad,printUsage,Magic Number,The method contains a magic number: 100,706
aerospike_aerospike-loader,com.aerospike.load,AerospikeLoad,printUsage,Magic Number,The method contains a magic number: 2,706
aerospike_aerospike-loader,com.aerospike.load,AerospikeLoad,processFile,Complex Method,Cyclomatic complexity of the method is 8,730
aerospike_aerospike-loader,com.aerospike.load,AerospikeLoad,processFile,Long Statement,The length of the statement "writerPool.submit(new AsWriterTask(fileName`lineNumber`(line.length() + 1)`this.client`columns`dsvConfigs`mappingDef`params`counters));" is 135.,730
aerospike_aerospike-loader,com.aerospike.load,AerospikeLoad,processFile,Long Statement,The length of the statement "log.info(String.format("Reader completed %d-lines in %.3fsec` From file: %s"`lineNumber`(float)(stop - start) / 1000`Utils.getFileName(fileName)));" is 147.,730
aerospike_aerospike-loader,com.aerospike.load,AerospikeLoad,processFile,Magic Number,The method contains a magic number: 20,730
aerospike_aerospike-loader,com.aerospike.load,AerospikeLoad,processFile,Magic Number,The method contains a magic number: 1000,730
aerospike_aerospike-loader,com.aerospike.load,AsWriterTask,AsWriterTask,Long Parameter List,The method has 9 parameters. ,75
aerospike_aerospike-loader,com.aerospike.load,AsWriterTask,handleAerospikeWriteError,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@762f8ff6,155
aerospike_aerospike-loader,com.aerospike.load,AsWriterTask,getKeyAndBinsFromDataline,Long Statement,The length of the statement "log.error("File: " + Utils.getFileName(this.fileName) + " Line: "+ lineNumber+ " Aerospike Bin processing Error: "+ ae.getResultCode());" is 136.,207
aerospike_aerospike-loader,com.aerospike.load,AsWriterTask,validateNColumnInDataline,Long Statement,The length of the statement "log.warn("File: " + Utils.getFileName(fileName) + " Line: "+ lineNumber+ " Number of column mismatch:Columns in data file is less than number of column in config file.");" is 170.,249
aerospike_aerospike-loader,com.aerospike.load,AsWriterTask,populateAsBinFromColumnDef,Complex Method,Cyclomatic complexity of the method is 15,321
aerospike_aerospike-loader,com.aerospike.load,AsWriterTask,populateAsBinFromColumnDef,Missing default,The following switch statement is missing a default case: !org.eclipse.jdt.core.dom.SwitchStatement@30ed2a26,321
aerospike_aerospike-loader,com.aerospike.load,AsWriterTask,getbinRawValue,Complex Conditional,The conditional expression (binColumn.valueDef.removePrefix != null) && (binRawValue != null && binRawValue.startsWith(binColumn.valueDef.removePrefix)) is complex.,386
aerospike_aerospike-loader,com.aerospike.load,AsWriterTask,getbinRawValue,Long Statement,The length of the statement "if (binColumn.valueDef.columnName != null && binColumn.valueDef.columnName.toLowerCase().equals(Constants.SYSTEM_TIME)) {" is 121.,386
aerospike_aerospike-loader,com.aerospike.load,AsWriterTask,getbinRawValue,Long Statement,The length of the statement "if ((binColumn.valueDef.removePrefix != null) && (binRawValue != null && binRawValue.startsWith(binColumn.valueDef.removePrefix))) {" is 132.,386
aerospike_aerospike-loader,com.aerospike.load,AsWriterTask,createBinForBlob,Long Statement,The length of the statement "if ((binColumn.valueDef.dstType.equals(DstColumnType.BLOB)) && (binColumn.valueDef.encoding.equalsIgnoreCase(Constants.HEX_ENCODING))) {" is 136.,484
aerospike_aerospike-loader,com.aerospike.load,AsWriterTask,createBinForTimestamp,Magic Number,The method contains a magic number: 1000,499
aerospike_aerospike-loader,com.aerospike.load,AsWriterTask,toByteArray,Magic Number,The method contains a magic number: 2,529
aerospike_aerospike-loader,com.aerospike.load,AsWriterTask,toByteArray,Magic Number,The method contains a magic number: 2,529
aerospike_aerospike-loader,com.aerospike.load,AsWriterTask,toByteArray,Magic Number,The method contains a magic number: 2,529
aerospike_aerospike-loader,com.aerospike.load,AsWriterTask,toByteArray,Magic Number,The method contains a magic number: 2,529
aerospike_aerospike-loader,com.aerospike.load,AsWriterTask,toByteArray,Magic Number,The method contains a magic number: 16,529
aerospike_aerospike-loader,com.aerospike.load,AsWriterTask,toByteArray,Magic Number,The method contains a magic number: 4,529
aerospike_aerospike-loader,com.aerospike.load,AsWriterTask,toByteArray,Magic Number,The method contains a magic number: 16,529
aerospike_aerospike-loader,com.aerospike.load,AsWriterTask,exceedingThroughput,Long Statement,The length of the statement "transactions=counters.write.writeCount.get() + counters.write.mappingWriteCount.get() + counters.write.writeErrors.get();" is 121.,549
aerospike_aerospike-loader,com.aerospike.load,AsWriterTask,exceedingThroughput,Magic Number,The method contains a magic number: 1000L,549
aerospike_aerospike-loader,com.aerospike.load,AsWriterTask,call,Magic Number,The method contains a magic number: 20,570
aerospike_aerospike-loader,com.aerospike.load,BinDefinition,toString,Long Statement,The length of the statement "return "ColumnDefinition [staticName=" + this.staticName + "` staticValue="+ this.staticValue+ "` nameDef="+ this.nameDef+ "` valueDef="+ this.valueDef+ "]";" is 157.,67
aerospike_aerospike-loader,com.aerospike.load,Parser,parseJSONColumnDefinitions,Complex Method,Cyclomatic complexity of the method is 10,47
aerospike_aerospike-loader,com.aerospike.load,Parser,getUpdateDsvConfig,Long Statement,The length of the statement "if ((obj=getFromJsonObject(dsvConfigObj`Constants.DELIMITER)) != null) dsvConfigs.put(Constants.DELIMITER`obj.toString());" is 122.,125
aerospike_aerospike-loader,com.aerospike.load,Parser,getUpdateDsvConfig,Long Statement,The length of the statement "if ((obj=getFromJsonObject(dsvConfigObj`Constants.HEADER_EXIST)) != null) dsvConfigs.put(Constants.HEADER_EXIST`obj.toString());" is 128.,125
aerospike_aerospike-loader,com.aerospike.load,Parser,getMappingDef,Complex Method,Cyclomatic complexity of the method is 8,190
aerospike_aerospike-loader,com.aerospike.load,Parser,getMetaDefs,Long Statement,The length of the statement "log.error("Column_name or pos info is missing. Specify proper key/set mapping in config file for: " + jobjName + ":"+ jobj.toString());" is 135.,246
aerospike_aerospike-loader,com.aerospike.load,Parser,getBinDefs,Complex Method,Cyclomatic complexity of the method is 10,281
aerospike_aerospike-loader,com.aerospike.load,Parser,getBinDefs,Long Statement,The length of the statement "log.error("Column_name or pos info is missing. Specify proper bin value mapping in config file for: " + jobj.toString());" is 121.,281
aerospike_aerospike-loader,com.aerospike.load,Parser,getDSVRawColumns,Complex Method,Cyclomatic complexity of the method is 14,349
