Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
alexanderdean_Unified-Log-Processing,nile.events,AbandonedCartEvent,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: directObject; cart; ABANDONED_AFTER_SECS; items
alexanderdean_Unified-Log-Processing,nile.events,AbandonedCartEvent,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): Event
alexanderdean_Unified-Log-Processing,nile.events,AbandonedCartEvent.DirectObject,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: cart; ABANDONED_AFTER_SECS; items
alexanderdean_Unified-Log-Processing,nile.events,AbandonedCartEvent.DirectObject,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
alexanderdean_Unified-Log-Processing,nile.events,AbandonedCartEvent.DirectObject,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: cart; ABANDONED_AFTER_SECS; items
alexanderdean_Unified-Log-Processing,nile.events,AbandonedCartEvent.Cart,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: ABANDONED_AFTER_SECS; items
alexanderdean_Unified-Log-Processing,nile.events,AbandonedCartEvent.Cart,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
alexanderdean_Unified-Log-Processing,nile.events,AbandonedCartEvent.Cart,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ABANDONED_AFTER_SECS; items
alexanderdean_Unified-Log-Processing,nile.events,Event,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: subject; verb; context; MAPPER; EVENT_DTF; shopper; timestamp
alexanderdean_Unified-Log-Processing,nile.events,Event.Subject,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: shopper
alexanderdean_Unified-Log-Processing,nile.events,Event.Subject,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
alexanderdean_Unified-Log-Processing,nile.events,Event.Subject,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: shopper
