Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
allanbank_mongodb-async-driver,com.allanbank.mongodb,Credential,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ADMIN_DB; KERBEROS; MONGODB_CR; NO_PASSWORD; PLAIN_SASL; SCRAM_SHA_1; X509
allanbank_mongodb-async-driver,com.allanbank.mongodb,Credential.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
allanbank_mongodb-async-driver,com.allanbank.mongodb,CredentialEditor,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.allanbank.mongodb.MongoDbUri
allanbank_mongodb-async-driver,com.allanbank.mongodb,CredentialEditor,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: MONGODB_URI_FIELDS
allanbank_mongodb-async-driver,com.allanbank.mongodb,ReadPreference,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: CLOSEST; FIELD_NAME; PREFER_PRIMARY; PREFER_SECONDARY; PRIMARY; SECONDARY
allanbank_mongodb-async-driver,com.allanbank.mongodb,ReadPreference.Mode,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
allanbank_mongodb-async-driver,com.allanbank.mongodb,AsyncMongoCollection,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ALL; NONE
allanbank_mongodb-async-driver,com.allanbank.mongodb,AsyncMongoCollection,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 22
allanbank_mongodb-async-driver,com.allanbank.mongodb,ProfilingStatus,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DEFAULT_SLOW_MS; OFF; ON
allanbank_mongodb-async-driver,com.allanbank.mongodb,ProfilingStatus.Level,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
allanbank_mongodb-async-driver,com.allanbank.mongodb,MongoCollection,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ALL; NONE
allanbank_mongodb-async-driver,com.allanbank.mongodb,MongoCollection,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 21
allanbank_mongodb-async-driver,com.allanbank.mongodb,MongoCollection.ValidateMode,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
allanbank_mongodb-async-driver,com.allanbank.mongodb,Version,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: UNKNOWN; VERSION; VERSION_0; VERSION_2_0; VERSION_2_2; VERSION_2_4; VERSION_2_6
allanbank_mongodb-async-driver,com.allanbank.mongodb,Durability,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.allanbank.mongodb.bson.Document
allanbank_mongodb-async-driver,com.allanbank.mongodb,Durability,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ACK; MAJORITY_MODE; NONE
allanbank_mongodb-async-driver,com.allanbank.mongodb,Durability,Law of Demeter violation,The tool detected the smell in this method (toString) because the method voilates the law of Demeter. The long chain of method invocations is : com.allanbank.mongodb.Durability.asDocument; com.allanbank.mongodb.bson.Document.accept
allanbank_mongodb-async-driver,com.allanbank.mongodb,MongoDatabase,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ADMIN_NAME; CONFIG_NAME; LOCAL_NAME; TEST_NAME
allanbank_mongodb-async-driver,com.allanbank.mongodb,MongoDatabase,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 16
allanbank_mongodb-async-driver,com.allanbank.mongodb,MongoClientConfiguration,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ADMIN_DB_NAME; DEFAULT_DB_NAME; MESSAGE_LOGGER_NAME; METRICS_LOGGER_NAME; UTF8
allanbank_mongodb-async-driver,com.allanbank.mongodb,MongoClientConfiguration,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 15
