Project Name,Package Name,Architecture Smell,Cause of the Smell
andsel_moquette,io.moquette.interception,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: io.moquette.interception; io.moquette.broker.subscriptions; io.moquette.broker
andsel_moquette,io.moquette.interception,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: io.moquette.interception; io.moquette.interception.messages; io.moquette.broker.subscriptions; io.moquette.broker
andsel_moquette,io.moquette.interception,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: io.moquette.interception; io.moquette.interception.messages; io.moquette.broker.subscriptions; io.moquette.persistence; io.moquette.broker
andsel_moquette,io.moquette.interception.messages,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: io.moquette.interception.messages; io.moquette.broker.subscriptions; io.moquette.broker; io.moquette.interception
andsel_moquette,io.moquette.interception.messages,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: io.moquette.interception.messages; io.moquette.broker.subscriptions; io.moquette.persistence; io.moquette.broker; io.moquette.interception
andsel_moquette,io.moquette.interception.messages,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [InterceptPublishMessage; InterceptAbstractMessage; InterceptMessage; InterceptUnsubscribeMessage; InterceptConnectionLostMessage; InterceptDisconnectMessage; InterceptConnectMessage; InterceptAcknowledgedMessage; InterceptSubscribeMessage]; [InterceptAcknowledgedMessage.StoredMessage]. LCC (Lack of Component Cohesion) = 0.2
andsel_moquette,io.moquette.persistence,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: io.moquette.persistence; io.moquette.broker.subscriptions
andsel_moquette,io.moquette.persistence,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: io.moquette.persistence; io.moquette.broker.subscriptions; io.moquette.broker
andsel_moquette,io.moquette.persistence,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [H2QueueRepository; H2PersistentQueue; H2PersistentQueueTest]; [MemorySubscriptionsRepository]; [H2Builder]; [H2RetainedRepository]; [EnqueuedMessageValueType; ByteBufDataType]; [EnqueuedMessageValueType.MessageType]; [H2SubscriptionsRepository]. LCC (Lack of Component Cohesion) = 0.7
andsel_moquette,io.moquette.broker,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 63
andsel_moquette,io.moquette.broker,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: io.moquette.broker; io.moquette.broker.subscriptions
andsel_moquette,io.moquette.broker,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: io.moquette.broker; io.moquette.broker.subscriptions; io.moquette.persistence
andsel_moquette,io.moquette.broker,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): io.moquette.broker.metrics; io.moquette.interception; io.moquette.persistence
andsel_moquette,io.moquette.broker,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ISubscriptionsRepository; Server; DefaultMoquetteSslContextCreator; PostOffice; NewNettyMQTTHandler; BrokerConfiguration; MQTTConnection; ISslContextCreator; Session; MQTTConnectionFactory; SessionTest; PostOfficeUnsubscribeTest; SessionRegistryTest; MQTTConnectionConnectTest; ConnectionTestUtils; MQTTConnectionPublishTest; PostOfficeInternalPublishTest; MockAuthenticator; BrokerConfigurationTest; PostOfficePublishTest; PostOfficeSubscribeTest; Utils; Authorizator; SessionRegistry; AutoFlushHandler; NettyUtils; InflightResender; MoquetteIdleTimeoutHandler; IRetainedRepository; MemoryRetainedRepository; RetainedMessage; MemoryRetainedRepositoryTest; NewNettyAcceptor; BugSnagErrorsHandler; MemoryQueueRepository; IQueueRepository; SessionEventLoop; SessionRegistry.SessionCreationResult; DebugUtils; SessionCommand]; [AutoFlushHandler.WriterIdleTimeoutTask]; [NewNettyAcceptor.WebSocketFrameToByteBufDecoder]; [NewNettyAcceptor.ByteBufToWebSocketFrameEncoder]; [NewNettyAcceptor.PipelineInitializer]; [NewNettyAcceptor.LocalPortReaderFutureListener]; [InflightResender.ResendNotAckedPublishes]; [InflightResender.WriterIdleTimeoutTask]; [SessionCorruptedException]; [SessionRegistry.EnqueuedMessage]; [SessionRegistry.PublishedMessage]; [SessionRegistry.PubRelMarker]; [SessionRegistry.CreationModeEnum]; [PostOffice.FailedPublishCollection]; [PostOffice.PacketId]; [PostOffice.RoutingResults]; [PostOffice.RouteResult]; [PostOffice.Status]; [PostOffice.BatchingPublishesCollector]; [ClientDescriptor]; [Session.InFlightPacket]; [Session.SessionStatus]; [Session.Will]; [NettyChannelAssertions]. LCC (Lack of Component Cohesion) = 0.38
andsel_moquette,io.moquette.broker,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: io.moquette.broker.subscriptions; io.moquette.interception.
