Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
apache_falcon,org.apache.falcon.example.spark,SparkSQLProcessTable,SparkSQLProcessTable,2,1,0,32,0,,
apache_falcon,org.apache.falcon.example.spark,SparkSQLProcessTable,main,12,2,1,34,0,,
apache_falcon,org.apache.falcon.example.spark,SparkPI,SparkPI,2,1,0,36,0,,
apache_falcon,org.apache.falcon.example.spark,SparkPI,main,27,2,1,39,0,,
apache_falcon,org.apache.falcon.example.spark,SparkPI,call,5,1,1,54,0,,
apache_falcon,org.apache.falcon.example.spark,SparkPI,call,3,1,2,61,0,,
apache_falcon,org.apache.falcon.example.spark,SparkWordCount,SparkWordCount,2,1,0,37,0,,
apache_falcon,org.apache.falcon.example.spark,SparkWordCount,call,3,1,1,41,0,,
apache_falcon,org.apache.falcon.example.spark,SparkWordCount,call,3,1,1,48,0,,
apache_falcon,org.apache.falcon.example.spark,SparkWordCount,call,3,1,2,55,0,,
apache_falcon,org.apache.falcon.example.spark,SparkWordCount,main,13,2,1,60,0,,
apache_falcon,org.apache.falcon.rerun.service,RetryService,getName,3,1,0,43,0,,
apache_falcon,org.apache.falcon.rerun.service,RetryService,init,9,2,0,48,0,org.apache.falcon.rerun.service.RetryService,org.apache.falcon.rerun.service.RetryService
apache_falcon,org.apache.falcon.rerun.service,RetryService,destroy,3,1,0,63,0,,
apache_falcon,org.apache.falcon.rerun.service,RetryService,getBasePath,7,2,0,68,0,,
apache_falcon,org.apache.falcon.rerun.service,LateRunService,getName,3,1,0,44,0,,
apache_falcon,org.apache.falcon.rerun.service,LateRunService,init,9,2,0,49,0,,
apache_falcon,org.apache.falcon.rerun.service,LateRunService,destroy,5,1,0,66,0,org.apache.falcon.rerun.service.LateRunService,org.apache.falcon.rerun.service.LateRunService
apache_falcon,org.apache.falcon.rerun.service,LateRunService,closeQuietly,5,2,0,73,0,,
apache_falcon,org.apache.falcon.rerun.event,RetryEvent,RetryEvent,5,1,12,29,0,,
apache_falcon,org.apache.falcon.rerun.event,RetryEvent,getAttempts,3,1,0,39,0,,
apache_falcon,org.apache.falcon.rerun.event,RetryEvent,getFailRetryCount,3,1,0,43,0,,
apache_falcon,org.apache.falcon.rerun.event,RetryEvent,setFailRetryCount,3,1,1,47,0,,
apache_falcon,org.apache.falcon.rerun.event,RetryEvent,toString,3,1,0,51,0,,
apache_falcon,org.apache.falcon.rerun.event,RerunEvent,RerunEvent,12,1,10,51,0,,
apache_falcon,org.apache.falcon.rerun.event,RerunEvent,getClusterName,3,1,0,66,0,,
apache_falcon,org.apache.falcon.rerun.event,RerunEvent,getWfId,3,1,0,70,0,,
apache_falcon,org.apache.falcon.rerun.event,RerunEvent,getParentId,3,1,0,74,0,,
apache_falcon,org.apache.falcon.rerun.event,RerunEvent,getWorkflowUser,3,1,0,78,0,,
apache_falcon,org.apache.falcon.rerun.event,RerunEvent,getDelayInMilliSec,3,1,0,82,0,,
apache_falcon,org.apache.falcon.rerun.event,RerunEvent,getEntityName,3,1,0,86,0,,
apache_falcon,org.apache.falcon.rerun.event,RerunEvent,getInstance,3,1,0,90,0,,
apache_falcon,org.apache.falcon.rerun.event,RerunEvent,getRunId,3,1,0,94,0,,
apache_falcon,org.apache.falcon.rerun.event,RerunEvent,getEntityType,3,1,0,98,0,,
