Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
apache_incubator-blur,org.apache.blur.jmeter,BlurSamplerClient,initialValue,3,1,0,60,0,,
apache_incubator-blur,org.apache.blur.jmeter,BlurSamplerClient,getDefaultParameters,6,1,0,66,0,,
apache_incubator-blur,org.apache.blur.jmeter,BlurSamplerClient,setupTest,5,1,1,75,0,,
apache_incubator-blur,org.apache.blur.jmeter,BlurSamplerClient,runTest,23,1,1,82,0,org.apache.blur.jmeter.BlurSamplerClient,org.apache.blur.jmeter.BlurSamplerClient
apache_incubator-blur,org.apache.blur.jmeter,BlurSamplerClient,getBytes,11,1,1,105,0,,
apache_incubator-blur,org.apache.blur.jmeter,BlurSamplerClient,getBlurQuery,8,1,0,116,0,org.apache.blur.jmeter.BlurSamplerClient,org.apache.blur.jmeter.BlurSamplerClient
apache_incubator-blur,org.apache.blur.jmeter,BlurSamplerClient,getQueryString,16,3,0,125,0,org.apache.blur.jmeter.BlurSamplerClient,org.apache.blur.jmeter.BlurSamplerClient
apache_incubator-blur,org.apache.blur.jmeter,BlurSamplerClient,processResults,8,3,1,143,0,org.apache.blur.jmeter.BlurSamplerClient,org.apache.blur.jmeter.BlurSamplerClient
apache_incubator-blur,org.apache.blur.jmeter,BlurSamplerClient,processResult,6,2,1,152,0,org.apache.blur.jmeter.BlurSamplerClient,org.apache.blur.jmeter.BlurSamplerClient
apache_incubator-blur,org.apache.blur.jmeter,BlurSamplerClient,processResult,7,2,1,159,0,org.apache.blur.jmeter.BlurSamplerClient,org.apache.blur.jmeter.BlurSamplerClient
apache_incubator-blur,org.apache.blur.jmeter,BlurSamplerClient,processResult,7,2,1,167,0,org.apache.blur.jmeter.BlurSamplerClient,org.apache.blur.jmeter.BlurSamplerClient
apache_incubator-blur,org.apache.blur.jmeter,BlurSamplerClient,processResult,6,2,1,175,0,org.apache.blur.jmeter.BlurSamplerClient,org.apache.blur.jmeter.BlurSamplerClient
apache_incubator-blur,org.apache.blur.jmeter,BlurSamplerClient,processResult,7,2,1,182,0,org.apache.blur.jmeter.BlurSamplerClient,org.apache.blur.jmeter.BlurSamplerClient
apache_incubator-blur,org.apache.blur.jmeter,BlurSamplerClient,processResult,8,3,1,190,0,org.apache.blur.jmeter.BlurSamplerClient,org.apache.blur.jmeter.BlurSamplerClient
apache_incubator-blur,org.apache.blur.jmeter,BlurSamplerClient,addRowId,3,1,1,199,0,org.apache.blur.jmeter.BlurSamplerClient,org.apache.blur.jmeter.BlurSamplerClient
apache_incubator-blur,org.apache.blur.jmeter,BlurSamplerClient,processResult,12,4,1,203,0,org.apache.blur.jmeter.BlurSamplerClient,org.apache.blur.jmeter.BlurSamplerClient
apache_incubator-blur,org.apache.blur.jmeter,BlurSamplerClient,addRecordId,3,1,1,216,0,org.apache.blur.jmeter.BlurSamplerClient,org.apache.blur.jmeter.BlurSamplerClient
apache_incubator-blur,org.apache.blur.jmeter,BlurSamplerClient,addFieldToQuery,16,3,2,220,0,org.apache.blur.jmeter.BlurSamplerClient,org.apache.blur.jmeter.BlurSamplerClient
apache_incubator-blur,org.apache.blur.jmeter,BlurSamplerClient,getRandom,3,1,0,237,0,,
apache_incubator-blur,org.apache.blur.jmeter,BlurSamplerClient,toEntry,14,1,2,241,0,,
apache_incubator-blur,org.apache.blur.jmeter,BlurSamplerClient,setValue,3,1,1,244,0,,
apache_incubator-blur,org.apache.blur.jmeter,BlurSamplerClient,getValue,3,1,0,249,0,,
