Project Name,Package Name,Architecture Smell,Cause of the Smell
apache_incubator-samoa,org.apache.samoa.topology.impl,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 56
apache_incubator-samoa,org.apache.samoa.topology.impl,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.samoa.topology.impl; org.apache.samoa.utils
apache_incubator-samoa,org.apache.samoa.topology.impl,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.samoa.topology.impl; org.apache.samoa.topology; org.apache.samoa.utils
apache_incubator-samoa,org.apache.samoa.topology.impl,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ThreadsEntranceProcessingItem; ThreadsTopology; ThreadsComponentFactoryTest; ThreadsTopologyTest; ThreadsEntranceProcessingItemTest; ThreadsEngineTest; ThreadsEngine; ThreadsProcessingItem; ThreadsProcessingItemTest; ThreadsStreamTest; ThreadsProcessingItemInstance; ThreadsEventRunnable; ThreadsEventRunnableTest; ThreadsProcessingItemInstanceTest; ThreadsStream; ThreadsComponentFactory]; [SimpleTopology; SimpleEngine; SimpleEntranceProcessingItem; SimpleComponentFactoryTest; SimpleEntranceProcessingItemTest; SimpleEngineTest; SimpleTopologyTest; SimpleComponentFactory; SimpleStream; SimpleProcessingItem; SimpleStreamTest; SimpleProcessingItemTest]; [StormTopology; StormProcessingItem; StormStream; StormTopologyNode; StormDoTask; StormTopologySubmitter; StormEntranceProcessingItem; StormEntranceProcessingItem.StormEntranceSpout; StormBoltStream; StormSamoaUtils; StormProcessingItemTest; StormProcessingItem.ProcessingItemBolt; StormComponentFactory; StormJarSubmitter]; [StormStream.InputStreamId]; [StormDoTask.ExecutionMode]; [SamzaEngine; SamzaStream; SamzaProcessingNode; SamzaTopology; SamzaProcessingItem; SamzaEntranceProcessingItem; SamzaEntranceProcessingItem.SerializationProxy]; [SamzaStream.SamzaSystemStream]; [SamzaComponentFactory]; [SamoaSystemFactory]; [SamzaProcessingItem.SerializationProxy]; [SamzaEntranceProcessingItem.SamoaSystemConsumer]. LCC (Lack of Component Cohesion) = 0.2
apache_incubator-samoa,<All packages>,Dense Structure, The tool detected the smell because all the analyzed components exhibit excessive and dense dependencies among themselves. Average degree = 6.96. All the dependencies among components: from: org.apache.samoa.topology.impl to: org.apache.samoa.core; from: org.apache.samoa.topology.impl to: org.apache.samoa.topology; from: org.apache.samoa.topology.impl to: org.apache.samoa.utils; from: org.apache.samoa.topology.impl to: org.apache.samoa.tasks; from: org.apache.samoa to: org.apache.samoa.tasks; from: org.apache.samoa to: org.apache.samoa.topology.impl; from: org.apache.samoa to: org.apache.samoa.utils; from: org.apache.samoa.utils to: org.apache.samoa.topology; from: org.apache.samoa.utils to: org.apache.samoa.topology.impl; from: org.apache.samoa.flink.topology.impl to: org.apache.samoa.core; from: org.apache.samoa.flink.topology.impl to: org.apache.samoa.flink.helpers; from: org.apache.samoa.flink.topology.impl to: org.apache.samoa.topology; from: org.apache.samoa.flink.topology.impl to: org.apache.samoa.utils; from: org.apache.samoa.flink.helpers to: org.apache.samoa.utils; from: org.apache.samoa.flink.helpers to: org.apache.samoa.flink.topology.impl; from: org.apache.samoa.flink to: org.apache.samoa.tasks; from: org.apache.samoa.examples to: org.apache.samoa.core; from: org.apache.samoa.examples to: org.apache.samoa.topology; from: org.apache.samoa.topology to: org.apache.samoa.core; from: org.apache.samoa.topology to: org.apache.samoa.utils; from: org.apache.samoa.topology to: org.apache.samoa.tasks; from: org.apache.samoa.streams to: org.apache.samoa.moa.core; from: org.apache.samoa.streams to: org.apache.samoa.moa.tasks; from: org.apache.samoa.streams to: org.apache.samoa.moa.options; from: org.apache.samoa.streams to: org.apache.samoa.streams.fs; from: org.apache.samoa.streams to: org.apache.samoa.instances; from: org.apache.samoa.streams to: org.apache.samoa.core; from: org.apache.samoa.streams to: org.apache.samoa.learners.clusterers; from: org.apache.samoa.streams to: org.apache.samoa.moa.cluster; from: org.apache.samoa.streams to: org.apache.samoa.topology; from: org.apache.samoa.streams to: org.apache.samoa.learners; from: org.apache.samoa.streams.kafka to: org.apache.samoa.core; from: org.apache.samoa.streams.kafka to: org.apache.samoa.instances; from: org.apache.samoa.streams.kafka to: org.apache.samoa.learners; from: org.apache.samoa.streams.kafka to: org.apache.samoa.moa.core; from: org.apache.samoa.streams.generators to: org.apache.samoa.instances; from: org.apache.samoa.streams.generators to: org.apache.samoa.moa.tasks; from: org.apache.samoa.streams.generators to: org.apache.samoa.moa.core; from: org.apache.samoa.streams.generators to: org.apache.samoa.streams; from: org.apache.samoa.streams.clustering to: org.apache.samoa.moa.core; from: org.apache.samoa.streams.clustering to: org.apache.samoa.instances; from: org.apache.samoa.streams.clustering to: org.apache.samoa.moa.cluster; from: org.apache.samoa.streams.clustering to: org.apache.samoa.moa.tasks; from: org.apache.samoa.streams.clustering to: org.apache.samoa.streams; from: org.apache.samoa.learners.clusterers to: org.apache.samoa.moa.clusterers; from: org.apache.samoa.learners.clusterers to: org.apache.samoa.instances; from: org.apache.samoa.learners.clusterers to: org.apache.samoa.topology; from: org.apache.samoa.learners.clusterers to: org.apache.samoa.core; from: org.apache.samoa.learners.clusterers to: org.apache.samoa.moa.core; from: org.apache.samoa.learners.clusterers to: org.apache.samoa.evaluation; from: org.apache.samoa.learners.clusterers to: org.apache.samoa.moa.cluster; from: org.apache.samoa.learners.clusterers.simple to: org.apache.samoa.topology; from: org.apache.samoa.learners.clusterers.simple to: org.apache.samoa.core; from: org.apache.samoa.learners.clusterers.simple to: org.apache.samoa.learners.clusterers; from: org.apache.samoa.learners.clusterers.simple to: org.apache.samoa.instances; from: org.apache.samoa.learners to: org.apache.samoa.core; from: org.apache.samoa.learners to: org.apache.samoa.instances; from: org.apache.samoa.learners to: org.apache.samoa.moa.classifiers.core.driftdetection; from: org.apache.samoa.learners to: org.apache.samoa.topology; from: org.apache.samoa.learners.classifiers to: org.apache.samoa.moa.classifiers; from: org.apache.samoa.learners.classifiers to: org.apache.samoa.instances; from: org.apache.samoa.learners.classifiers to: org.apache.samoa.topology; from: org.apache.samoa.learners.classifiers to: org.apache.samoa.moa.classifiers.core.driftdetection; from: org.apache.samoa.learners.classifiers to: org.apache.samoa.learners; from: org.apache.samoa.learners.classifiers to: org.apache.samoa.core; from: org.apache.samoa.learners.classifiers to: org.apache.samoa.moa.classifiers.core.attributeclassobservers; from: org.apache.samoa.learners.classifiers to: org.apache.samoa.moa.core; from: org.apache.samoa.learners.classifiers.ensemble to: org.apache.samoa.topology; from: org.apache.samoa.learners.classifiers.ensemble to: org.apache.samoa.core; from: org.apache.samoa.learners.classifiers.ensemble to: org.apache.samoa.learners; from: org.apache.samoa.learners.classifiers.ensemble to: org.apache.samoa.instances; from: org.apache.samoa.learners.classifiers.ensemble to: org.apache.samoa.moa.classifiers.core.splitcriteria; from: org.apache.samoa.learners.classifiers.ensemble to: org.apache.samoa.moa.classifiers.core; from: org.apache.samoa.learners.classifiers.ensemble to: org.apache.samoa.moa.core; from: org.apache.samoa.learners.classifiers.ensemble to: org.apache.samoa.learners.classifiers.trees; from: org.apache.samoa.learners.classifiers.rules to: org.apache.samoa.learners.classifiers.rules.distributed; from: org.apache.samoa.learners.classifiers.rules to: org.apache.samoa.topology; from: org.apache.samoa.learners.classifiers.rules to: org.apache.samoa.instances; from: org.apache.samoa.learners.classifiers.rules to: org.apache.samoa.learners.classifiers.rules.centralized; from: org.apache.samoa.learners.classifiers.rules.centralized to: org.apache.samoa.learners.classifiers.rules.common; from: org.apache.samoa.learners.classifiers.rules.centralized to: org.apache.samoa.topology; from: org.apache.samoa.learners.classifiers.rules.centralized to: org.apache.samoa.moa.classifiers.rules.core.attributeclassobservers; from: org.apache.samoa.learners.classifiers.rules.centralized to: org.apache.samoa.moa.classifiers.rules.core.voting; from: org.apache.samoa.learners.classifiers.rules.centralized to: org.apache.samoa.instances; from: org.apache.samoa.learners.classifiers.rules.centralized to: org.apache.samoa.core; from: org.apache.samoa.learners.classifiers.rules.centralized to: org.apache.samoa.learners; from: org.apache.samoa.learners.classifiers.rules.common to: org.apache.samoa.moa.core; from: org.apache.samoa.learners.classifiers.rules.common to: org.apache.samoa.instances; from: org.apache.samoa.learners.classifiers.rules.common to: org.apache.samoa.moa.classifiers.rules.core.conditionaltests; from: org.apache.samoa.learners.classifiers.rules.common to: org.apache.samoa.moa.classifiers.rules.driftdetection; from: org.apache.samoa.learners.classifiers.rules.common to: org.apache.samoa.moa.classifiers.core; from: org.apache.samoa.learners.classifiers.rules.common to: org.apache.samoa.moa.classifiers.rules.core.attributeclassobservers; from: org.apache.samoa.learners.classifiers.rules.common to: org.apache.samoa.moa.classifiers.core.attributeclassobservers; from: org.apache.samoa.learners.classifiers.rules.common to: org.apache.samoa.moa.classifiers.core.splitcriteria; from: org.apache.samoa.learners.classifiers.rules.common to: org.apache.samoa.moa.classifiers.rules.core.splitcriteria; from: org.apache.samoa.learners.classifiers.rules.common to: org.apache.samoa.moa.classifiers.core.conditionaltests; from: org.apache.samoa.learners.classifiers.rules.common to: org.apache.samoa.moa.classifiers.rules.core; from: org.apache.samoa.learners.classifiers.rules.distributed to: org.apache.samoa.learners.classifiers.rules.common; from: org.apache.samoa.learners.classifiers.rules.distributed to: org.apache.samoa.topology; from: org.apache.samoa.learners.classifiers.rules.distributed to: org.apache.samoa.moa.classifiers.rules.core.attributeclassobservers; from: org.apache.samoa.learners.classifiers.rules.distributed to: org.apache.samoa.instances; from: org.apache.samoa.learners.classifiers.rules.distributed to: org.apache.samoa.core; from: org.apache.samoa.learners.classifiers.rules.distributed to: org.apache.samoa.learners; from: org.apache.samoa.learners.classifiers.rules.distributed to: org.apache.samoa.moa.classifiers.rules.core.voting; from: org.apache.samoa.learners.classifiers.trees to: org.apache.samoa.core; from: org.apache.samoa.learners.classifiers.trees to: org.apache.samoa.instances; from: org.apache.samoa.learners.classifiers.trees to: org.apache.samoa.topology; from: org.apache.samoa.learners.classifiers.trees to: org.apache.samoa.moa.classifiers.core.splitcriteria; from: org.apache.samoa.learners.classifiers.trees to: org.apache.samoa.moa.classifiers.core.driftdetection; from: org.apache.samoa.learners.classifiers.trees to: org.apache.samoa.learners; from: org.apache.samoa.learners.classifiers.trees to: org.apache.samoa.moa.classifiers.core; from: org.apache.samoa.learners.classifiers.trees to: org.apache.samoa.moa.core; from: org.apache.samoa.learners.classifiers.trees to: org.apache.samoa.moa.classifiers.core.conditionaltests; from: org.apache.samoa.learners.classifiers.trees to: org.apache.samoa.moa.classifiers.core.attributeclassobservers; from: org.apache.samoa.core to: org.apache.samoa.instances; from: org.apache.samoa.moa.clusterers to: org.apache.samoa.moa.cluster; from: org.apache.samoa.moa.clusterers to: org.apache.samoa.instances; from: org.apache.samoa.moa.clusterers to: org.apache.samoa.moa.tasks; from: org.apache.samoa.moa.clusterers to: org.apache.samoa.moa.core; from: org.apache.samoa.moa.clusterers.clustream to: org.apache.samoa.instances; from: org.apache.samoa.moa.clusterers.clustream to: org.apache.samoa.moa.cluster; from: org.apache.samoa.moa.cluster to: org.apache.samoa.instances; from: org.apache.samoa.moa.cluster to: org.apache.samoa.moa.core; from: org.apache.samoa.moa to: org.apache.samoa.moa.core; from: org.apache.samoa.moa.classifiers to: org.apache.samoa.instances; from: org.apache.samoa.moa.classifiers to: org.apache.samoa.moa.tasks; from: org.apache.samoa.moa.classifiers to: org.apache.samoa.moa.core; from: org.apache.samoa.moa.classifiers to: org.apache.samoa.moa.learners; from: org.apache.samoa.moa.classifiers.rules.core.conditionaltests to: org.apache.samoa.instances; from: org.apache.samoa.moa.classifiers.rules.core to: org.apache.samoa.instances; from: org.apache.samoa.moa.classifiers.core.conditionaltests to: org.apache.samoa.instances; from: org.apache.samoa.moa.classifiers.core to: org.apache.samoa.moa.classifiers.core.conditionaltests; from: org.apache.samoa.moa.classifiers.core.attributeclassobservers to: org.apache.samoa.moa.core; from: org.apache.samoa.moa.classifiers.core.attributeclassobservers to: org.apache.samoa.moa.classifiers.core.splitcriteria; from: org.apache.samoa.moa.classifiers.core.attributeclassobservers to: org.apache.samoa.moa.classifiers.core; from: org.apache.samoa.moa.classifiers.core.attributeclassobservers to: org.apache.samoa.moa.tasks; from: org.apache.samoa.moa.classifiers.core.splitcriteria to: org.apache.samoa.moa.tasks; from: org.apache.samoa.moa.classifiers.core.splitcriteria to: org.apache.samoa.moa.core; from: org.apache.samoa.moa.classifiers.core.driftdetection to: org.apache.samoa.moa.tasks; from: org.apache.samoa.moa.classifiers.core.driftdetection to: org.apache.samoa.moa.core; from: org.apache.samoa.moa.classifiers.functions to: org.apache.samoa.moa.options; from: org.apache.samoa.moa.classifiers.functions to: org.apache.samoa.moa.classifiers.core; from: org.apache.samoa.moa.classifiers.functions to: org.apache.samoa.moa.core; from: org.apache.samoa.moa.classifiers.functions to: org.apache.samoa.instances; from: org.apache.samoa.moa.classifiers.functions to: org.apache.samoa.moa.classifiers.core.attributeclassobservers; from: org.apache.samoa.moa.classifiers.functions to: org.apache.samoa.moa.classifiers.core.splitcriteria; from: org.apache.samoa.moa.learners to: org.apache.samoa.instances; from: org.apache.samoa.moa.core to: org.apache.samoa.instances; from: org.apache.samoa.moa.core to: org.apache.samoa.moa; from: org.apache.samoa.moa.evaluation to: org.apache.samoa.moa.cluster; from: org.apache.samoa.moa.evaluation to: org.apache.samoa.moa.core; from: org.apache.samoa.moa.evaluation to: org.apache.samoa.moa.learners; from: org.apache.samoa.moa.options to: org.apache.samoa.moa.tasks; from: org.apache.samoa.moa.options to: org.apache.samoa.moa.core; from: org.apache.samoa.moa.tasks to: org.apache.samoa.moa.core; from: org.apache.samoa.evaluation to: org.apache.samoa.topology; from: org.apache.samoa.evaluation to: org.apache.samoa.core; from: org.apache.samoa.evaluation to: org.apache.samoa.learners; from: org.apache.samoa.evaluation to: org.apache.samoa.instances; from: org.apache.samoa.evaluation to: org.apache.samoa.moa.core; from: org.apache.samoa.evaluation to: org.apache.samoa.moa.tasks; from: org.apache.samoa.evaluation to: org.apache.samoa.moa.evaluation; from: org.apache.samoa.evaluation to: org.apache.samoa.moa.cluster; from: org.apache.samoa.evaluation to: org.apache.samoa.moa.clusterers; from: org.apache.samoa.evaluation.measures to: org.apache.samoa.moa.cluster; from: org.apache.samoa.evaluation.measures to: org.apache.samoa.moa.core; from: org.apache.samoa.evaluation.measures to: org.apache.samoa.instances; from: org.apache.samoa.evaluation.measures to: org.apache.samoa.moa.evaluation; from: org.apache.samoa.tasks to: org.apache.samoa.moa.options; from: org.apache.samoa.tasks to: org.apache.samoa.topology; from: org.apache.samoa.tasks to: org.apache.samoa.streams; from: org.apache.samoa.tasks to: org.apache.samoa.streams.kafka; from: org.apache.samoa.tasks to: org.apache.samoa.learners.clusterers.simple; from: org.apache.samoa.tasks to: org.apache.samoa.learners; from: org.apache.samoa.tasks to: org.apache.samoa.evaluation; from: org.apache.samoa.apex.topology.impl to: org.apache.samoa.core; from: org.apache.samoa.apex.topology.impl to: org.apache.samoa.topology; from: org.apache.samoa.apex.topology.impl to: org.apache.samoa.utils; from: org.apache.samoa.apex to: org.apache.samoa.apex.topology.impl; from: org.apache.samoa.apex to: org.apache.samoa.tasks; from: org.apache.samoa.apex to: org.apache.samoa.
apache_incubator-samoa,org.apache.samoa,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [LocalThreadsDoTask]; [AlgosTest; TestParams; TestUtils; AlgosTest; AlgosTest]; [LocalDoTask]; [LocalStormDoTask]; [SamzaDoTask]; [TestParams.Templates]; [TestParams.Builder]; [TestUtils.TestResultsTailerAdapter]. LCC (Lack of Component Cohesion) = 0.67
apache_incubator-samoa,org.apache.samoa.utils,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.samoa.utils; org.apache.samoa.topology
apache_incubator-samoa,org.apache.samoa.utils,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: org.apache.samoa.utils; org.apache.samoa.topology.impl; org.apache.samoa.topology
apache_incubator-samoa,org.apache.samoa.utils,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): org.apache.samoa.topology.impl
apache_incubator-samoa,org.apache.samoa.utils,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [StreamDestinationTest; StreamDestination; PartitioningScheme]; [SerializableSerializer]; [SystemsUtils; SamzaConfigFactory; SamzaKryoSerdeFactory; SamzaKryoSerdeFactory.SamzaKryoSerde]; [SystemsUtils.KafkaUtils]; [SystemsUtils.ZKStringSerializerWrapper]; [SystemsUtils.HDFSUtils]; [SystemsUtils.LocalFileSystemUtils]. LCC (Lack of Component Cohesion) = 0.58
