Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
apache_incubator-samoa,org.apache.samoa.topology.impl,ThreadsProcessingItem,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
apache_incubator-samoa,org.apache.samoa.topology.impl,ThreadsComponentFactoryTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
apache_incubator-samoa,org.apache.samoa.topology.impl,ThreadsProcessingItemTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
apache_incubator-samoa,org.apache.samoa.topology.impl,SimpleComponentFactoryTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
apache_incubator-samoa,org.apache.samoa.topology.impl,StormJarSubmitter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: UPLOADED_JAR_LOCATION_KEY
apache_incubator-samoa,org.apache.samoa.topology.impl,StormTopologySubmitter,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: YJP_OPTIONS_KEY
apache_incubator-samoa,org.apache.samoa.topology.impl,SamzaStream.SamzaSystemStream,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
apache_incubator-samoa,org.apache.samoa.topology.impl,SamzaEntranceProcessingItem.SamoaSystemConsumer,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
apache_incubator-samoa,org.apache.samoa,TestParams,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PREQEVAL_VHT_RANDOMTREE; PREQEVAL_NAIVEBAYES_HYPERPLANE; PREQEVAL_BAGGING_RANDOMTREE; PREQCVEVAL_VHT_RANDOMTREE; EVALUATION_INSTANCES; CLASSIFIED_INSTANCES; CLASSIFICATIONS_CORRECT; KAPPA_STAT; KAPPA_TEMP_STAT; INSTANCE_ID; TRUE_CLASS_VALUE; PREDICTED_CLASS_VALUE; VOTES
apache_incubator-samoa,org.apache.samoa,TestParams.Templates,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
apache_incubator-samoa,org.apache.samoa,TestParams.Templates,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PREQEVAL_VHT_RANDOMTREE; PREQEVAL_NAIVEBAYES_HYPERPLANE; PREQEVAL_BAGGING_RANDOMTREE; PREQCVEVAL_VHT_RANDOMTREE
apache_incubator-samoa,org.apache.samoa,TestParams.Builder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
apache_incubator-samoa,org.apache.samoa.utils,SystemsUtils,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: HDFS; LOCAL_FS
apache_incubator-samoa,org.apache.samoa.utils,SamzaConfigFactory,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: SYSTEM_NAME; COMMA; COLON; DOT; DOLLAR_SIGN; QUESTION_MARK; SHUFFLE; KEY; BROADCAST; JOB_FACTORY_CLASS_KEY; JOB_NAME_KEY; YARN_PACKAGE_KEY; CONTAINER_MEMORY_KEY; AM_MEMORY_KEY; CONTAINER_COUNT_KEY; TASK_CLASS_KEY; TASK_INPUTS_KEY; FILE_KEY; FILESYSTEM_KEY; ENTRANCE_INPUT_KEY; ENTRANCE_OUTPUT_KEY; YARN_CONF_HOME_KEY; ZOOKEEPER_URI_KEY; BROKER_URI_KEY; KAFKA_BATCHSIZE_KEY; KAFKA_PRODUCER_TYPE_KEY; SERDE_REGISTRATION_KEY
apache_incubator-samoa,org.apache.samoa.utils,SamzaKryoSerdeFactory.SamzaKryoSerde,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
