Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
apache_incubator-twill,org.apache.twill.internal,Constants,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: LOG_TOPIC; APPLICATION_MAX_START_SECONDS; APPLICATION_MAX_STOP_SECONDS; PROVISION_TIMEOUT; CONSTRAINED_PROVISION_REQUEST_TIMEOUT; HEAP_MIN_RATIO; APP_MASTER_MEMORY_MB; APP_MASTER_RESERVED_MEMORY_MB; CLASSPATH; APPLICATION_CLASSPATH; RESTART_ALL_RUNNABLE_INSTANCES; RESTART_RUNNABLES_INSTANCES; DISCOVERY_PATH_PREFIX; INSTANCES_PATH_PREFIX; LAUNCHER_JAR; APP_MASTER_JAR; CONTAINER_JAR; LOCALIZE_FILES; TWILL_SPEC; ARGUMENTS; ENVIRONMENTS; LOGBACK_TEMPLATE; JVM_OPTIONS; CREDENTIALS
apache_incubator-twill,org.apache.twill.internal,Constants.Files,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
apache_incubator-twill,org.apache.twill.internal,Constants.Files,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: LAUNCHER_JAR; APP_MASTER_JAR; CONTAINER_JAR; LOCALIZE_FILES; TWILL_SPEC; ARGUMENTS; ENVIRONMENTS; LOGBACK_TEMPLATE; JVM_OPTIONS; CREDENTIALS
apache_incubator-twill,org.apache.twill.internal,DefaultTwillSpecification.DefaultOrder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
apache_incubator-twill,org.apache.twill.internal,DefaultTwillSpecification.DefaultPlacementPolicy,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
apache_incubator-twill,org.apache.twill.internal,ContainerExitCodes,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: SUCCESS; INIT_FAILED; INVALID; ABORTED; DISKS_FAILED; PREEMPTED
apache_incubator-twill,org.apache.twill.internal,ServiceMain,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
apache_incubator-twill,org.apache.twill.internal,ApplicationBundler,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: SUBDIR_CLASSES; SUBDIR_LIB; SUBDIR_RESOURCES
apache_incubator-twill,org.apache.twill.internal,AbstractTwillService,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
apache_incubator-twill,org.apache.twill.internal,BasicTwillContext,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.twill.internal.ElectionRegistry
apache_incubator-twill,org.apache.twill.internal,BasicTwillContext,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
apache_incubator-twill,org.apache.twill.internal,AbstractTwillController,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: org.apache.twill.common.Cancellable; org.apache.twill.discovery.DiscoveryServiceClient
apache_incubator-twill,org.apache.twill.internal,AbstractTwillController,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 16
apache_incubator-twill,org.apache.twill.internal,AbstractTwillController,Law of Demeter violation,The tool detected the smell in this method (doStartUp) because the method voilates the law of Demeter. The long chain of method invocations is : org.apache.twill.kafka.client.KafkaClient.getConsumer; org.apache.twill.kafka.client.KafkaConsumer.prepare
