Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
apache_tajo,org.apache.tajo.jdbc,TajoDatabaseMetaData,getProcedures,Long Statement,The length of the statement "return new TajoMetaDataResultSet(Arrays.asList("PROCEDURE_CAT"`"PROCEDURE_SCHEM"`"PROCEDURE_NAME"`"NUM_INPUT_PARAMS"`"NUM_OUTPUT_PARAMS"`"NUM_RESULT_SETS"`"REMARKS"`"PROCEDURE_TYPE")`Arrays.asList(Type.VARCHAR`Type.VARCHAR`Type.VARCHAR`Type.INT4`Type.INT4`Type.INT4`Type.VARCHAR`Type.INT2)`new ArrayList<MetaDataTuple>());" is 322.,296
apache_tajo,org.apache.tajo.jdbc,TajoDatabaseMetaData,getProcedureColumns,Long Statement,The length of the statement "return new TajoMetaDataResultSet(Arrays.asList("PROCEDURE_CAT"`"PROCEDURE_SCHEM"`"PROCEDURE_NAME"`"COLUMN_NAME"`"COLUMN_TYPE"`"DATA_TYPE"`"TYPE_NAME"`"PRECISION"`"LENGTH"`"SCALE"`"RADIX"`"NULLABLE"`"REMARKS"`"COLUMN_DEF"`"SQL_DATA_TYPE"`"SQL_DATETIME_SUB"`"CHAR_OCTET_LENGTH"`"ORDINAL_POSITION"`"IS_NULLABLE"`"SPECIFIC_NAME")`Arrays.asList(Type.VARCHAR`Type.VARCHAR`Type.VARCHAR`Type.VARCHAR`Type.INT2`Type.INT2`Type.VARCHAR`Type.INT4`Type.INT4`Type.INT2`Type.INT2`Type.INT2`Type.VARCHAR`Type.VARCHAR`Type.INT2`Type.INT2`Type.INT2`Type.INT1`Type.VARCHAR`Type.VARCHAR)`new ArrayList<MetaDataTuple>());" is 600.,307
apache_tajo,org.apache.tajo.jdbc,TajoDatabaseMetaData,convertPattern,Complex Method,Cyclomatic complexity of the method is 8,324
apache_tajo,org.apache.tajo.jdbc,TajoDatabaseMetaData,getTables,Long Statement,The length of the statement "TajoMetaDataResultSet result=new TajoMetaDataResultSet(Arrays.asList("TABLE_CAT"`"TABLE_SCHEM"`"TABLE_NAME"`"TABLE_TYPE"`"REMARKS")`Arrays.asList(Type.VARCHAR`Type.VARCHAR`Type.VARCHAR`Type.VARCHAR`Type.VARCHAR)`resultTables);" is 226.,365
apache_tajo,org.apache.tajo.jdbc,TajoDatabaseMetaData,getTables,Magic Number,The method contains a magic number: 5,365
apache_tajo,org.apache.tajo.jdbc,TajoDatabaseMetaData,getTables,Magic Number,The method contains a magic number: 2,365
apache_tajo,org.apache.tajo.jdbc,TajoDatabaseMetaData,getTables,Magic Number,The method contains a magic number: 2,365
apache_tajo,org.apache.tajo.jdbc,TajoDatabaseMetaData,compare,Magic Number,The method contains a magic number: 2,402
apache_tajo,org.apache.tajo.jdbc,TajoDatabaseMetaData,compare,Magic Number,The method contains a magic number: 2,402
apache_tajo,org.apache.tajo.jdbc,TajoDatabaseMetaData,getSchemas,Long Statement,The length of the statement "return new TajoMetaDataResultSet(Arrays.asList("TABLE_SCHEM"`"TABLE_CATALOG")`Arrays.asList(Type.VARCHAR`Type.VARCHAR)`Collections.singletonList(tuple));" is 153.,422
apache_tajo,org.apache.tajo.jdbc,TajoDatabaseMetaData,getSchemas,Magic Number,The method contains a magic number: 2,422
apache_tajo,org.apache.tajo.jdbc,TajoDatabaseMetaData,getTableTypes,Long Statement,The length of the statement "ResultSet result=new TajoMetaDataResultSet(Collections.singletonList("TABLE_TYPE")`Collections.singletonList(Type.VARCHAR)`columns);" is 132.,457
apache_tajo,org.apache.tajo.jdbc,TajoDatabaseMetaData,getTableTypes,Magic Number,The method contains a magic number: 2,457
apache_tajo,org.apache.tajo.jdbc,TajoDatabaseMetaData,getUDTs,Long Statement,The length of the statement "return new TajoMetaDataResultSet(Arrays.asList("TYPE_CAT"`"TYPE_SCHEM"`"TYPE_NAME"`"CLASS_NAME"`"DATA_TYPE"`"REMARKS"`"BASE_TYPE")`Arrays.asList(Type.VARCHAR`Type.VARCHAR`Type.VARCHAR`Type.VARCHAR`Type.INT4`Type.VARCHAR`Type.INT4)`columns);" is 240.,472
apache_tajo,org.apache.tajo.jdbc,TajoDatabaseMetaData,getColumns,Complex Method,Cyclomatic complexity of the method is 8,484
