Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
aparapi_aparapi,com.amd.aparapi.examples.effects,Main,9,1,4,4,149,8,0,0,0.75,0,1,/data/research/workspace/testability/data/repos/aparapi_aparapi/examples/effects/src/com/amd/aparapi/examples/effects/Main.java,58
aparapi_aparapi,com.amd.aparapi.examples.effects,Main.MouseTrackKernel,8,0,0,0,64,0,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/aparapi_aparapi/examples/effects/src/com/amd/aparapi/examples/effects/Main.java,70
aparapi_aparapi,com.amd.aparapi.examples.nbody,Seq,21,5,6,6,210,12,0,0,0.3333333333333333,0,0,/data/research/workspace/testability/data/repos/aparapi_aparapi/examples/nbody/src/com/amd/aparapi/examples/nbody/Seq.java,74
aparapi_aparapi,com.amd.aparapi.examples.nbody,Seq.NBodyKernel,6,0,0,0,84,0,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/aparapi_aparapi/examples/nbody/src/com/amd/aparapi/examples/nbody/Seq.java,89
aparapi_aparapi,com.amd.aparapi.examples.nbody,Local,20,4,6,6,220,18,0,0,0.5,0,1,/data/research/workspace/testability/data/repos/aparapi_aparapi/examples/nbody/src/com/amd/aparapi/examples/nbody/Local.java,72
aparapi_aparapi,com.amd.aparapi.examples.nbody,Local.NBodyKernel,7,0,0,0,93,0,0,0,-1.0,0,1,/data/research/workspace/testability/data/repos/aparapi_aparapi/examples/nbody/src/com/amd/aparapi/examples/nbody/Local.java,84
aparapi_aparapi,com.amd.aparapi.examples.nbody,Main,20,4,6,6,219,18,0,0,0.3333333333333333,0,1,/data/research/workspace/testability/data/repos/aparapi_aparapi/examples/nbody/src/com/amd/aparapi/examples/nbody/Main.java,74
aparapi_aparapi,com.amd.aparapi.examples.nbody,Main.NBodyKernel,6,0,0,0,84,0,0,0,-1.0,0,1,/data/research/workspace/testability/data/repos/aparapi_aparapi/examples/nbody/src/com/amd/aparapi/examples/nbody/Main.java,89
aparapi_aparapi,gov.pnnl.aparapi.matrix,CorrMatrixHost,1,0,5,1,258,40,0,0,0.4,1,5,/data/research/workspace/testability/data/repos/aparapi_aparapi/examples/correlation-matrix/src/java/gov/pnnl/aparapi/matrix/CorrMatrixHost.java,19
aparapi_aparapi,gov.pnnl.aparapi.matrix,CorrMatrixKernel,6,0,5,2,163,12,0,0,0.0,1,0,/data/research/workspace/testability/data/repos/aparapi_aparapi/examples/correlation-matrix/src/java/gov/pnnl/aparapi/matrix/CorrMatrixKernel.java,13
