Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
barterli_barterli_android,li.barter.analytics,GoogleAnalyticsManager,sendScreenHit,Long Statement,The length of the statement "screenViewBuilder.set(ParamKeys.LOGGED_IN`TextUtils.isEmpty(UserInfo.INSTANCE.getId()) ? ParamValues.NO : ParamValues.YES);" is 123.,94
barterli_barterli_android,li.barter.activities,BookDetailActivity,loadBookDetailsFragment,Long Statement,The length of the statement "loadFragment(R.id.frame_content`(AbstractBarterLiFragment)Fragment.instantiate(this`BookDetailFragment.class.getName())`AppConstants.FragmentTags.BOOK_DETAIL`false`null);" is 170.,66
barterli_barterli_android,li.barter.activities,BookDetailActivity,onBadRequestError,Long Parameter List,The method has 5 parameters. ,103
barterli_barterli_android,li.barter.activities,BookDetailActivity,onLoadFinished,Long Statement,The length of the statement "final BookDetailFragment fragment=(BookDetailFragment)getSupportFragmentManager().findFragmentByTag(AppConstants.FragmentTags.BOOK_DETAIL);" is 139.,120
barterli_barterli_android,li.barter.activities,AboutUsActivity,loadAboutUsFragment,Long Statement,The length of the statement "loadFragment(R.id.frame_content`(AbstractBarterLiFragment)Fragment.instantiate(this`AboutUsPagerFragment.class.getName())`AppConstants.FragmentTags.ABOUT_US`false`null);" is 169.,42
barterli_barterli_android,li.barter.activities,AboutUsActivity,onBadRequestError,Long Parameter List,The method has 5 parameters. ,76
barterli_barterli_android,li.barter.activities,AddOrEditBookActivity,loadAddOrEditBookFragment,Long Statement,The length of the statement "loadFragment(R.id.frame_content`(AbstractBarterLiFragment)Fragment.instantiate(this`AddOrEditBookFragment.class.getName()`getIntent().getExtras())`AppConstants.FragmentTags.ADD_OR_EDIT_BOOK`false`null);" is 202.,44
barterli_barterli_android,li.barter.activities,AddOrEditBookActivity,onBadRequestError,Long Parameter List,The method has 5 parameters. ,79
barterli_barterli_android,li.barter.activities,AuthActivity,loadLoginFragment,Long Statement,The length of the statement "loadFragment(R.id.frame_content`(AbstractBarterLiFragment)Fragment.instantiate(this`LoginFragment.class.getName()`getIntent().getExtras())`AppConstants.FragmentTags.LOGIN`false`null);" is 183.,67
barterli_barterli_android,li.barter.activities,AuthActivity,onBadRequestError,Long Parameter List,The method has 5 parameters. ,98
barterli_barterli_android,li.barter.activities,AuthActivity,onLogin,Long Statement,The length of the statement "final LoginFragment fragment=((LoginFragment)getSupportFragmentManager().findFragmentByTag(AppConstants.FragmentTags.LOGIN));" is 125.,123
barterli_barterli_android,li.barter.activities,AuthActivity,onLoginError,Long Statement,The length of the statement "final LoginFragment fragment=((LoginFragment)getSupportFragmentManager().findFragmentByTag(AppConstants.FragmentTags.LOGIN));" is 125.,135
barterli_barterli_android,li.barter.activities,AuthActivity,onLogout,Long Statement,The length of the statement "final LoginFragment fragment=((LoginFragment)getSupportFragmentManager().findFragmentByTag(AppConstants.FragmentTags.LOGIN));" is 125.,148
barterli_barterli_android,li.barter.activities,UserProfileActivity,loadUserProfileFragment,Long Statement,The length of the statement "loadFragment(R.id.frame_content`(AbstractBarterLiFragment)Fragment.instantiate(this`ProfileFragment.class.getName()`userArgs)`AppConstants.FragmentTags.USER_PROFILE`false`null);" is 177.,68
barterli_barterli_android,li.barter.activities,UserProfileActivity,onBadRequestError,Long Parameter List,The method has 5 parameters. ,104
