Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
ben-manes_concurrentlinkedhashmap,com.googlecode.concurrentlinkedhashmap,ConcurrentHashMapV8,spread,3,1,1,658,0,,
ben-manes_concurrentlinkedhashmap,com.googlecode.concurrentlinkedhashmap,ConcurrentHashMapV8,tableSizeFor,9,1,1,678,0,,
ben-manes_concurrentlinkedhashmap,com.googlecode.concurrentlinkedhashmap,ConcurrentHashMapV8,comparableClassFor,15,6,1,692,0,,
ben-manes_concurrentlinkedhashmap,com.googlecode.concurrentlinkedhashmap,ConcurrentHashMapV8,compareComparables,3,1,3,715,0,,
ben-manes_concurrentlinkedhashmap,com.googlecode.concurrentlinkedhashmap,ConcurrentHashMapV8,tabAt,3,1,2,743,0,,
ben-manes_concurrentlinkedhashmap,com.googlecode.concurrentlinkedhashmap,ConcurrentHashMapV8,casTabAt,3,1,4,748,0,,
ben-manes_concurrentlinkedhashmap,com.googlecode.concurrentlinkedhashmap,ConcurrentHashMapV8,setTabAt,3,1,3,753,0,,
ben-manes_concurrentlinkedhashmap,com.googlecode.concurrentlinkedhashmap,ConcurrentHashMapV8,ConcurrentHashMapV8,2,1,0,815,0,,
ben-manes_concurrentlinkedhashmap,com.googlecode.concurrentlinkedhashmap,ConcurrentHashMapV8,ConcurrentHashMapV8,5,2,1,821,0,com.googlecode.concurrentlinkedhashmap.ConcurrentHashMapV8,com.googlecode.concurrentlinkedhashmap.ConcurrentHashMapV8
ben-manes_concurrentlinkedhashmap,com.googlecode.concurrentlinkedhashmap,ConcurrentHashMapV8,ConcurrentHashMapV8,4,1,1,840,0,com.googlecode.concurrentlinkedhashmap.ConcurrentHashMapV8,com.googlecode.concurrentlinkedhashmap.ConcurrentHashMapV8
ben-manes_concurrentlinkedhashmap,com.googlecode.concurrentlinkedhashmap,ConcurrentHashMapV8,ConcurrentHashMapV8,3,1,2,850,0,,
ben-manes_concurrentlinkedhashmap,com.googlecode.concurrentlinkedhashmap,ConcurrentHashMapV8,ConcurrentHashMapV8,7,3,3,869,0,com.googlecode.concurrentlinkedhashmap.ConcurrentHashMapV8,com.googlecode.concurrentlinkedhashmap.ConcurrentHashMapV8
ben-manes_concurrentlinkedhashmap,com.googlecode.concurrentlinkedhashmap,ConcurrentHashMapV8,size,4,1,0,901,0,com.googlecode.concurrentlinkedhashmap.ConcurrentHashMapV8,com.googlecode.concurrentlinkedhashmap.ConcurrentHashMapV8
ben-manes_concurrentlinkedhashmap,com.googlecode.concurrentlinkedhashmap,ConcurrentHashMapV8,isEmpty,3,1,0,912,0,com.googlecode.concurrentlinkedhashmap.ConcurrentHashMapV8,com.googlecode.concurrentlinkedhashmap.ConcurrentHashMapV8
ben-manes_concurrentlinkedhashmap,com.googlecode.concurrentlinkedhashmap,ConcurrentHashMapV8,get,17,7,1,920,0,com.googlecode.concurrentlinkedhashmap.ConcurrentHashMapV8,com.googlecode.concurrentlinkedhashmap.ConcurrentHashMapV8
ben-manes_concurrentlinkedhashmap,com.googlecode.concurrentlinkedhashmap,ConcurrentHashMapV8,containsKey,3,1,1,952,0,com.googlecode.concurrentlinkedhashmap.ConcurrentHashMapV8,com.googlecode.concurrentlinkedhashmap.ConcurrentHashMapV8
ben-manes_concurrentlinkedhashmap,com.googlecode.concurrentlinkedhashmap,ConcurrentHashMapV8,containsValue,12,5,1,966,0,,
ben-manes_concurrentlinkedhashmap,com.googlecode.concurrentlinkedhashmap,ConcurrentHashMapV8,put,3,1,2,992,0,com.googlecode.concurrentlinkedhashmap.ConcurrentHashMapV8,com.googlecode.concurrentlinkedhashmap.ConcurrentHashMapV8
ben-manes_concurrentlinkedhashmap,com.googlecode.concurrentlinkedhashmap,ConcurrentHashMapV8,putVal,52,19,3,1010,0,com.googlecode.concurrentlinkedhashmap.ConcurrentHashMapV8,com.googlecode.concurrentlinkedhashmap.ConcurrentHashMapV8
ben-manes_concurrentlinkedhashmap,com.googlecode.concurrentlinkedhashmap,ConcurrentHashMapV8,putAll,4,2,1,1075,0,com.googlecode.concurrentlinkedhashmap.ConcurrentHashMapV8,com.googlecode.concurrentlinkedhashmap.ConcurrentHashMapV8
ben-manes_concurrentlinkedhashmap,com.googlecode.concurrentlinkedhashmap,ConcurrentHashMapV8,remove,3,1,1,1089,0,com.googlecode.concurrentlinkedhashmap.ConcurrentHashMapV8,com.googlecode.concurrentlinkedhashmap.ConcurrentHashMapV8
ben-manes_concurrentlinkedhashmap,com.googlecode.concurrentlinkedhashmap,ConcurrentHashMapV8,replaceNode,56,20,3,1103,0,com.googlecode.concurrentlinkedhashmap.ConcurrentHashMapV8,com.googlecode.concurrentlinkedhashmap.ConcurrentHashMapV8
ben-manes_concurrentlinkedhashmap,com.googlecode.concurrentlinkedhashmap,ConcurrentHashMapV8,clear,27,7,0,1179,0,com.googlecode.concurrentlinkedhashmap.ConcurrentHashMapV8,com.googlecode.concurrentlinkedhashmap.ConcurrentHashMapV8
ben-manes_concurrentlinkedhashmap,com.googlecode.concurrentlinkedhashmap,ConcurrentHashMapV8,keySet,4,1,0,1215,0,,
ben-manes_concurrentlinkedhashmap,com.googlecode.concurrentlinkedhashmap,ConcurrentHashMapV8,values,4,1,0,1239,0,,
ben-manes_concurrentlinkedhashmap,com.googlecode.concurrentlinkedhashmap,ConcurrentHashMapV8,entrySet,4,1,0,1263,0,,
ben-manes_concurrentlinkedhashmap,com.googlecode.concurrentlinkedhashmap,ConcurrentHashMapV8,hashCode,9,3,0,1286,0,,
ben-manes_concurrentlinkedhashmap,com.googlecode.concurrentlinkedhashmap,ConcurrentHashMapV8,toString,20,4,0,1305,0,,
ben-manes_concurrentlinkedhashmap,com.googlecode.concurrentlinkedhashmap,ConcurrentHashMapV8,equals,19,7,1,1339,0,com.googlecode.concurrentlinkedhashmap.ConcurrentHashMapV8,com.googlecode.concurrentlinkedhashmap.ConcurrentHashMapV8
ben-manes_concurrentlinkedhashmap,com.googlecode.concurrentlinkedhashmap,ConcurrentHashMapV8,writeObject,27,5,1,1386,0,,
ben-manes_concurrentlinkedhashmap,com.googlecode.concurrentlinkedhashmap,ConcurrentHashMapV8,readObject,76,15,1,1430,0,com.googlecode.concurrentlinkedhashmap.ConcurrentHashMapV8,com.googlecode.concurrentlinkedhashmap.ConcurrentHashMapV8
ben-manes_concurrentlinkedhashmap,com.googlecode.concurrentlinkedhashmap,ConcurrentHashMapV8,putIfAbsent,3,1,2,1534,0,com.googlecode.concurrentlinkedhashmap.ConcurrentHashMapV8,com.googlecode.concurrentlinkedhashmap.ConcurrentHashMapV8
ben-manes_concurrentlinkedhashmap,com.googlecode.concurrentlinkedhashmap,ConcurrentHashMapV8,remove,4,2,2,1546,0,com.googlecode.concurrentlinkedhashmap.ConcurrentHashMapV8,com.googlecode.concurrentlinkedhashmap.ConcurrentHashMapV8
ben-manes_concurrentlinkedhashmap,com.googlecode.concurrentlinkedhashmap,ConcurrentHashMapV8,replace,4,2,3,1558,0,com.googlecode.concurrentlinkedhashmap.ConcurrentHashMapV8,com.googlecode.concurrentlinkedhashmap.ConcurrentHashMapV8
ben-manes_concurrentlinkedhashmap,com.googlecode.concurrentlinkedhashmap,ConcurrentHashMapV8,replace,4,2,2,1570,0,com.googlecode.concurrentlinkedhashmap.ConcurrentHashMapV8,com.googlecode.concurrentlinkedhashmap.ConcurrentHashMapV8
