Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
benhysell_V.FlyoutTest,com.example.android.supportv13,Support13Demos,onCreate,10,2,1,38,0,com.example.android.supportv13.Support13Demos,com.example.android.supportv13.Support13Demos
benhysell_V.FlyoutTest,com.example.android.supportv13,Support13Demos,getData,39,7,1,55,0,com.example.android.supportv13.Support13Demos,com.example.android.supportv13.Support13Demos
benhysell_V.FlyoutTest,com.example.android.supportv13,Support13Demos,compare,3,1,2,116,0,,
benhysell_V.FlyoutTest,com.example.android.supportv13,Support13Demos,activityIntent,5,1,2,121,0,,
benhysell_V.FlyoutTest,com.example.android.supportv13,Support13Demos,browseIntent,6,1,1,127,0,,
benhysell_V.FlyoutTest,com.example.android.supportv13,Support13Demos,addItem,6,1,3,134,0,,
benhysell_V.FlyoutTest,com.example.android.supportv13,Support13Demos,onListItemClick,5,1,4,141,0,,
benhysell_V.FlyoutTest,com.example.android.supportv13.app,FragmentStatePagerSupport,onCreate,21,1,1,48,0,,
benhysell_V.FlyoutTest,com.example.android.supportv13.app,FragmentStatePagerSupport,onClick,3,1,1,61,0,,
benhysell_V.FlyoutTest,com.example.android.supportv13.app,FragmentStatePagerSupport,onClick,3,1,1,67,0,,
benhysell_V.FlyoutTest,com.example.android.supportv13.app,CountingFragment,newInstance,7,1,1,30,0,,
benhysell_V.FlyoutTest,com.example.android.supportv13.app,CountingFragment,onCreate,4,1,1,45,0,,
benhysell_V.FlyoutTest,com.example.android.supportv13.app,CountingFragment,onCreateView,6,1,3,54,0,,
benhysell_V.FlyoutTest,com.example.android.supportv13.app,FragmentTabsFragment,onCreateView,8,1,3,30,0,,
benhysell_V.FlyoutTest,com.example.android.supportv13.app,FragmentTabsFragment,onDestroyView,4,1,0,46,0,,
benhysell_V.FlyoutTest,com.example.android.supportv13.app,FragmentPagerSupport,onCreate,21,1,1,48,0,,
benhysell_V.FlyoutTest,com.example.android.supportv13.app,FragmentPagerSupport,onClick,3,1,1,61,0,,
benhysell_V.FlyoutTest,com.example.android.supportv13.app,FragmentPagerSupport,onClick,3,1,1,67,0,,
benhysell_V.FlyoutTest,com.example.android.supportv13.app,FragmentNestingPagerSupport,onCreate,17,2,1,37,0,,
benhysell_V.FlyoutTest,com.example.android.supportv13.app,FragmentNestingPagerSupport,onSaveInstanceState,4,1,1,64,0,,
benhysell_V.FlyoutTest,com.example.android.supportv13.app,ActionBarTabsPager,onCreate,16,2,1,41,0,,
benhysell_V.FlyoutTest,com.example.android.supportv13.app,ActionBarTabsPager,onSaveInstanceState,4,1,1,66,0,,
benhysell_V.FlyoutTest,com.example.android.supportv13.app,FragmentNestingStatePagerSupport,onCreate,17,2,1,37,0,,
benhysell_V.FlyoutTest,com.example.android.supportv13.app,FragmentNestingStatePagerSupport,onSaveInstanceState,4,1,1,64,0,,
benhysell_V.FlyoutTest,com.example.android.supportv13.app,CursorFragment,onActivityCreated,9,1,1,48,0,,
benhysell_V.FlyoutTest,com.example.android.supportv13.app,CursorFragment,onCreateOptionsMenu,8,1,2,73,0,,
benhysell_V.FlyoutTest,com.example.android.supportv13.app,CursorFragment,onQueryTextChange,5,1,1,84,0,,
benhysell_V.FlyoutTest,com.example.android.supportv13.app,CursorFragment,onQueryTextSubmit,3,1,1,93,0,,
benhysell_V.FlyoutTest,com.example.android.supportv13.app,CursorFragment,onListItemClick,3,1,4,98,0,,
benhysell_V.FlyoutTest,com.example.android.supportv13.app,CursorFragment,onCreateLoader,11,2,2,113,0,,
benhysell_V.FlyoutTest,com.example.android.supportv13.app,CursorFragment,onLoadFinished,9,2,2,136,0,,
benhysell_V.FlyoutTest,com.example.android.supportv13.app,CursorFragment,onLoaderReset,3,1,1,149,0,,
