Project Name,Package Name,Architecture Smell,Cause of the Smell
benjiman_expressions,uk.co.benjiweber.expressions,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 63
benjiman_expressions,uk.co.benjiweber.expressions,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Coalesce]; [Coalesce.AnotherSupplier]; [Action; Try; Try.TryBuilder; Block]; [InstanceOf; ActionWithOneParam; InstanceOfTest]; [InstanceOf.InstanceOfBuilder]; [InstanceOf.ThenBuilder]; [InstanceOf.ElseBuilder]; [Times; TimesTest]; [Times.Action]; [Times.TimesBuilder]; [ToString; Value; Paint.PaintValue; EqualsHashcode; Paint; PropertyTest]; [NullSafe]; [Curry]; [Curry.TriFunction]; [Curry.QuadFunction]; [EqualsHashcode.ResultCalculator]; [Try.Catch]; [Try.Finally]; [Try.Thrower]; [Using]; [InstanceOfMethodReference]; [InstanceOfMethodReference.NoArg]; [InstanceOfMethodReference.OneArg]; [InstanceOfMethodReference.OneArgApplicator]; [InstanceOfMethodReference.When]; [InstanceOfMethodReference.Is]; [Print]; [ChainableVoid]; [ChainableVoid.VoidMethodOn]; [ChainableVoid.VoidMethodOneArgOn]; [ChainableVoid.VoidMethodTwoArgOn]; [OptionalFromExceptionalTest]; [OptionalFromExceptionalTest.FooNotFoundException]; [CoalesceTest]; [CoalesceTest.Person]; [UsingTest]; [UsingTest.Foo]; [NullSafeTest]; [NullSafeTest.Foo]; [NullSafeTest.Bar]; [NullSafeTest.Baz]; [ChainableVoidTest]; [ChainableVoidTest.Duck]; [CurryTest]; [PropertyTest.Person]; [PropertyTest.TimePeriod]; [PropertyTest.ExplicitPropertyNames]; [PropertyTest.GuessablePropertyNames]; [InstanceOfTest.Duck]; [TryAsExpressionTest]; [TryAsExpressionTest.SuperException]; [TryAsExpressionTest.SubException]. LCC (Lack of Component Cohesion) = 0.83
benjiman_expressions,uk.co.benjiweber.expressions.properties,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Named; Property; Writeonly; GuessesName; ExplicitName; Readonly]; [Property.PropertyBuilder]. LCC (Lack of Component Cohesion) = 0.29
benjiman_expressions,uk.co.benjiweber.expressions.functions,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: uk.co.benjiweber.expressions.functions; uk.co.benjiweber.expressions.exceptions
benjiman_expressions,uk.co.benjiweber.expressions.functions,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): uk.co.benjiweber.expressions.exceptions
benjiman_expressions,uk.co.benjiweber.expressions.functions,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ExceptionalTriFunction]; [QuinFunction]; [QuadConsumer]; [ExceptionalSexFunction]; [SexFunction]; [ExceptionalQuadConsumer]; [TriConsumer]; [QuinConsumer]; [ExceptionalBiConsumer]; [SexConsumer]; [ExceptionalVoid]; [ExceptionalTriConsumer]; [ExceptionalQuinConsumer]; [ExceptionalSexConsumer]; [ExceptionalQuinFunction]; [ExceptionalSupplier]; [TriFunction]; [ExceptionalConsumer]; [QuadFunction]; [ExceptionalFunction]; [ExceptionalBiFunction]; [ExceptionalQuadFunction]; [ExceptionalFunctionTest]; [ExceptionalFunctionTest.Container]. LCC (Lack of Component Cohesion) = 1.0
benjiman_expressions,uk.co.benjiweber.expressions.exceptions,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: uk.co.benjiweber.expressions.exceptions; uk.co.benjiweber.expressions.functions
benjiman_expressions,uk.co.benjiweber.expressions.exceptions,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [OrElse; WrapBuilder]; [Result; Result.Success; Result.Failure; ExceptionsTest; Example; Exceptions]; [Result.ResultMapper]; [Result.ExceptionHandler]; [Exceptions.Wrapper]; [Exceptions.UnableToInstantiateSuppliedException]; [ExceptionsTest.ACheckedExceptionIDontHaveAGoodWayToDealWith]; [ExceptionsTest.Wrapped]; [ExceptionsTest.InputTooLongException]; [ExceptionsTest.InputContainsUppercaseException]; [ExceptionsTest.Book]; [ExceptionsTest.NoNameException]; [Example.Do]. LCC (Lack of Component Cohesion) = 0.68
benjiman_expressions,uk.co.benjiweber.expressions.caseclass,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 69
benjiman_expressions,uk.co.benjiweber.expressions.caseclass,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Case; Case.MatchBuilderR; MatchesAny; MatchExample.Person; NestedDecompositionTest.Customer; NestedDecompositionTest.Address; NestedDecompositionTest.FirstLine; DecompositionTest.Person; DecompositionConstructorReferenceTest.Person; CaseConstructorTest.Person; CaseParseArgumentsTest.Argument]; [Case.TwoMissing]; [Case.OneMissing]; [Case.MatchBuilder]; [Case.ZeroMatchConstructorBuilder]; [Case.ZeroMatchConstructorBuilderR]; [Case.TriMatchConstructorBuilder]; [Case.TriMatchConstructorBuilderR]; [Case.BiMatchConstructorBuilder]; [Case.BiMatchConstructorBuilderR]; [Case.UniMatchConstructorBuilder]; [Case.UniMatchConstructorBuilderR]; [Case.MatchDefinition]; [Case3; ShapeExample.Shape; CaseTest.Shape]; [Case3.MatchBuilderNone]; [Case3.MatchBuilderOne]; [Case3.MatchBuilderTwo]; [Case2; CaseSomeNoneTest.Option; CaseListTest.List; CaseTreeTest.Tree]; [Case2.MatchBuilderNone]; [Case2.MatchBuilderOne]; [ShapeExample]; [ShapeExample.Circle]; [ShapeExample.Square]; [ShapeExample.Rectangle]; [MatchExample]; [MatchExample.PersonValue]; [CaseSomeNoneTest]; [CaseSomeNoneTest.Some]; [CaseSomeNoneTest.None]; [NestedDecompositionTest]; [NestedDecompositionTest.CustomerValue]; [NestedDecompositionTest.AddressValue]; [NestedDecompositionTest.FirstLineValue]; [DecompositionTest]; [DecompositionTest.PersonValue]; [CaseListTest]; [CaseListTest.Tail]; [CaseListTest.TailValue]; [CaseListTest.EmptyList]; [UnreadableDecompositionTest]; [DecompositionConstructorReferenceTest]; [DecompositionConstructorReferenceTest.PersonValue]; [CaseTest]; [CaseTest.Rectangle]; [CaseTest.Circle]; [CaseTest.Cube]; [CaseConstructorTest]; [CaseConstructorTest.PersonValue]; [CaseParseArgumentsTest]; [CaseParseArgumentsTest.ArgumentHandler]; [CaseParseArgumentsTest.ArgValue]; [CaseTreeTest]; [CaseTreeTest.Leaf]; [CaseTreeTest.Node]. LCC (Lack of Component Cohesion) = 0.78
