Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
bitcoinj_bitcoinj,org.bitcoinj.examples,GenerateLowSTests,main,42,1,1,61,0,org.bitcoinj.examples.GenerateLowSTests,org.bitcoinj.examples.GenerateLowSTests
bitcoinj_bitcoinj,org.bitcoinj.examples,GenerateLowSTests,findKeyFromPubKeyHash,3,1,2,68,0,,
bitcoinj_bitcoinj,org.bitcoinj.examples,GenerateLowSTests,findKeyFromPubKey,3,1,1,73,0,,
bitcoinj_bitcoinj,org.bitcoinj.examples,GenerateLowSTests,findRedeemDataFromScriptHash,3,1,1,78,0,,
bitcoinj_bitcoinj,org.bitcoinj.examples,GenerateLowSTests,addOutputs,10,2,2,144,0,,
bitcoinj_bitcoinj,org.bitcoinj.examples,GenerateLowSTests,scriptToString,18,5,1,155,0,,
bitcoinj_bitcoinj,org.bitcoinj.examples,BackupToMnemonicSeed,main,8,1,1,36,0,,
bitcoinj_bitcoinj,org.bitcoinj.examples,Kit,main,21,1,1,44,0,,
bitcoinj_bitcoinj,org.bitcoinj.examples,PrivateKeys,main,32,2,1,47,0,,
bitcoinj_bitcoinj,org.bitcoinj.examples,PrintPeers,printElapsed,4,1,1,45,0,,
bitcoinj_bitcoinj,org.bitcoinj.examples,PrintPeers,printPeers,6,2,1,50,0,,
bitcoinj_bitcoinj,org.bitcoinj.examples,PrintPeers,printDNS,7,1,0,57,0,org.bitcoinj.examples.PrintPeers,org.bitcoinj.examples.PrintPeers
bitcoinj_bitcoinj,org.bitcoinj.examples,PrintPeers,main,48,7,1,65,0,org.bitcoinj.examples.PrintPeers,org.bitcoinj.examples.PrintPeers
bitcoinj_bitcoinj,org.bitcoinj.examples,ForwardingService,main,20,3,1,60,0,org.bitcoinj.examples.ForwardingService,org.bitcoinj.examples.ForwardingService
bitcoinj_bitcoinj,org.bitcoinj.examples,ForwardingService,forward,14,1,3,87,0,org.bitcoinj.examples.ForwardingService,org.bitcoinj.examples.ForwardingService
bitcoinj_bitcoinj,org.bitcoinj.examples,ForwardingService,ForwardingService,6,1,3,106,0,org.bitcoinj.examples.ForwardingService,org.bitcoinj.examples.ForwardingService
bitcoinj_bitcoinj,org.bitcoinj.examples,ForwardingService,start,10,2,0,125,0,,
bitcoinj_bitcoinj,org.bitcoinj.examples,ForwardingService,close,6,2,0,144,0,,
bitcoinj_bitcoinj,org.bitcoinj.examples,ForwardingService,coinsReceivedListener,18,1,4,160,0,org.bitcoinj.examples.ForwardingService,org.bitcoinj.examples.ForwardingService
bitcoinj_bitcoinj,org.bitcoinj.examples,ForwardingService,waitForConfirmation,3,1,1,195,0,,
bitcoinj_bitcoinj,org.bitcoinj.examples,ForwardingService,sendTransaction,10,1,1,208,0,,
bitcoinj_bitcoinj,org.bitcoinj.examples,ForwardingService,receivingAddress,3,1,0,245,0,,
bitcoinj_bitcoinj,org.bitcoinj.examples,ForwardingService,getPrefix,3,1,1,252,0,,
bitcoinj_bitcoinj,org.bitcoinj.examples,ForwardingService,forwardingCoinSelector,3,1,1,256,0,,
