Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
bramp_ffmpeg-cli-wrapper,net.bramp.commons.lang3.math.gson,FractionAdapter,FractionAdapter,3,1,0,29,0,,
bramp_ffmpeg-cli-wrapper,net.bramp.commons.lang3.math.gson,FractionAdapter,FractionAdapter,4,1,2,33,0,,
bramp_ffmpeg-cli-wrapper,net.bramp.commons.lang3.math.gson,FractionAdapter,read,18,5,1,38,0,,
bramp_ffmpeg-cli-wrapper,net.bramp.commons.lang3.math.gson,FractionAdapter,write,7,2,2,66,0,,
bramp_ffmpeg-cli-wrapper,net.bramp.commons.lang3.math.gson,FractionAdapterTest,setupGson,5,1,0,17,0,,
bramp_ffmpeg-cli-wrapper,net.bramp.commons.lang3.math.gson,FractionAdapterTest,testRead,6,2,0,61,1,,
bramp_ffmpeg-cli-wrapper,net.bramp.commons.lang3.math.gson,FractionAdapterTest,testZerosRead,6,2,0,69,1,,
bramp_ffmpeg-cli-wrapper,net.bramp.commons.lang3.math.gson,FractionAdapterTest,testWrites,6,2,0,77,1,,
bramp_ffmpeg-cli-wrapper,net.bramp.commons.lang3.math.gson,FractionAdapterTest,testWriteNull,4,1,0,85,1,,
bramp_ffmpeg-cli-wrapper,net.bramp.ffmpeg,FFmpeg,FFmpeg,3,1,0,75,0,,
bramp_ffmpeg-cli-wrapper,net.bramp.ffmpeg,FFmpeg,FFmpeg,3,1,1,79,0,,
bramp_ffmpeg-cli-wrapper,net.bramp.ffmpeg,FFmpeg,FFmpeg,3,1,1,83,0,,
bramp_ffmpeg-cli-wrapper,net.bramp.ffmpeg,FFmpeg,FFmpeg,4,1,2,87,0,net.bramp.ffmpeg.FFcommon,net.bramp.ffmpeg.FFcommon
bramp_ffmpeg-cli-wrapper,net.bramp.ffmpeg,FFmpeg,isFFmpeg,3,1,0,92,0,net.bramp.ffmpeg.FFcommon,net.bramp.ffmpeg.FFcommon
bramp_ffmpeg-cli-wrapper,net.bramp.ffmpeg,FFmpeg,checkIfFFmpeg,5,2,0,103,0,net.bramp.ffmpeg.FFmpeg,net.bramp.ffmpeg.FFmpeg
bramp_ffmpeg-cli-wrapper,net.bramp.ffmpeg,FFmpeg,codecs,22,4,0,116,0,net.bramp.ffmpeg.FFmpeg,net.bramp.ffmpeg.FFmpeg; net.bramp.ffmpeg.ProcessFunction; net.bramp.ffmpeg.FFcommon
bramp_ffmpeg-cli-wrapper,net.bramp.ffmpeg,FFmpeg,formats,22,4,0,143,0,net.bramp.ffmpeg.FFmpeg,net.bramp.ffmpeg.FFmpeg; net.bramp.ffmpeg.ProcessFunction; net.bramp.ffmpeg.FFcommon
bramp_ffmpeg-cli-wrapper,net.bramp.ffmpeg,FFmpeg,createProgressParser,8,1,1,169,0,,
bramp_ffmpeg-cli-wrapper,net.bramp.ffmpeg,FFmpeg,run,4,1,1,180,0,net.bramp.ffmpeg.FFmpeg,net.bramp.ffmpeg.FFmpeg
