Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
branky_cascading.hive,cascading.hive,ORCFileTest,testWrite,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
branky_cascading.hive,cascading.hive,ORCFileTest,testCompress,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
branky_cascading.hive,cascading.hive,ORCFileTest,testSchemaInference,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 17
branky_cascading.hive,cascading.hive,ORCFileTest,testSchemaInference,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
branky_cascading.hive,cascading.hive,ORCFileTest,testSchemaInferenceIt,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
branky_cascading.hive,cascading.hive,RCFileTest,testCountBy,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
branky_cascading.hive,cascading.hive,HiveSchemaUtilTest,testParsePrimitive,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
branky_cascading.hive,cascading.hive,HiveSchemaUtilTest,testParsePrimitiveLower,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
branky_cascading.hive,cascading.hive,HiveSchemaUtilTest,testParseArray,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
branky_cascading.hive,cascading.hive,HiveSchemaUtilTest,testParseComplex,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
branky_cascading.hive,cascading.hcatalog,HCatTapTest,testOrcInOut,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
branky_cascading.hive,cascading.hcatalog,HCatTapTest,testPartitionsIn,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
