Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
btrplace_scheduler,org.btrplace.btrpsl,ScriptTest,testIncludeResolution,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
btrplace_scheduler,org.btrplace.btrpsl,ScriptBuilderTest,testTemplateWithOptions,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
btrplace_scheduler,org.btrplace.btrpsl,ScriptBuilderTest,testResolution,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
btrplace_scheduler,org.btrplace.btrpsl,ExamplesTest,testExample,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
btrplace_scheduler,org.btrplace.examples,ExamplesIntegration,testGettingStarted,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
btrplace_scheduler,org.btrplace.examples,ExamplesIntegration,testSolvingTuning,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
btrplace_scheduler,org.btrplace.examples,ExamplesIntegration,testModelCustomization,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
btrplace_scheduler,org.btrplace.examples,ExamplesIntegration,testDecommissioning,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
btrplace_scheduler,org.btrplace.examples,ExamplesIntegration,testNetworkAndMigrations,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
btrplace_scheduler,org.btrplace.examples,ExamplesIntegration,testAdvancedMigScheduling,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
btrplace_scheduler,org.btrplace.scheduler.runner.disjoint,StaticPartitioningTest,testInstantiation,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
btrplace_scheduler,org.btrplace.scheduler.runner.disjoint,StaticPartitioningTest,testInstantiation,Exceptional handling,The tool detected the smell in this test method because the test throws exception(s) from test (rather than using assertThrows method or expected annotation)
btrplace_scheduler,org.btrplace.scheduler.runner.disjoint,StaticPartitioningTest,testParallelSolve,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
btrplace_scheduler,org.btrplace.scheduler.runner.disjoint,FixedSizePartitioningTest,basicTesting,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
btrplace_scheduler,org.btrplace.scheduler.runner.disjoint,FixedSizePartitioningTest,testRandomSplit,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
btrplace_scheduler,org.btrplace.scheduler.runner.disjoint,FixedNodeSetsPartitioningTest,testInstantiation,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
btrplace_scheduler,org.btrplace.scheduler.runner.disjoint,FixedNodeSetsPartitioningTest,testSplit,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
btrplace_scheduler,org.btrplace.scheduler.runner.disjoint.splitter,KilledSplitterTest,simpleTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
