Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
bulenkov_iconloader,com.bulenkov.iconloader,JBHiDPIScaledImage,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
bulenkov_iconloader,com.bulenkov.iconloader,HiDPIScaledGraphics,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
bulenkov_iconloader,com.bulenkov.iconloader,HiDPIScaledGraphics,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 85 public methods
bulenkov_iconloader,com.bulenkov.iconloader,RetinaImage,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: JBUI; JBDimension; UIUtil; RetinaImage; IconLoader
bulenkov_iconloader,com.bulenkov.iconloader,IconLoader,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: STRICT; USE_DARK_ICONS; ourIconsCache; ourIcon2DisabledIcon; SCALE; IMAGE_FILTER; EMPTY_ICON; ourIsActivated; ourIsSaveRealIconPath; ourComponent; myRealIcon; myOriginalPath; myClassLoader; myUrl; dark; scale; numberOfPatchers; filter; myScaledIconsCache; origImagesCache; SCALED_ICONS_CACHE_LIMIT; scaledIconsCache; myWasComputed; myIcon; isDarkVariant; scale; filter; ourFakeComponent
bulenkov_iconloader,com.bulenkov.iconloader,IconLoader,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 26 public methods
bulenkov_iconloader,com.bulenkov.iconloader,IconLoader.CachedImageIcon,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
bulenkov_iconloader,com.bulenkov.iconloader,IconLoader.CachedImageIcon,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: myRealIcon; myOriginalPath; myClassLoader; myUrl; dark; scale; numberOfPatchers; filter; myScaledIconsCache; origImagesCache; SCALED_ICONS_CACHE_LIMIT; scaledIconsCache
bulenkov_iconloader,com.bulenkov.iconloader,IconLoader.CachedImageIcon,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: myRealIcon; myOriginalPath; myClassLoader; myUrl; dark; scale; numberOfPatchers; filter; myScaledIconsCache; origImagesCache; SCALED_ICONS_CACHE_LIMIT; scaledIconsCache
bulenkov_iconloader,com.bulenkov.iconloader,IconLoader.MyScaledIconsCache,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: origImagesCache; SCALED_ICONS_CACHE_LIMIT; scaledIconsCache
bulenkov_iconloader,com.bulenkov.iconloader,IconLoader.MyScaledIconsCache,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
bulenkov_iconloader,com.bulenkov.iconloader,IconLoader.LazyIcon,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: myWasComputed; myIcon; isDarkVariant; scale; filter
bulenkov_iconloader,com.bulenkov.iconloader,IconLoader.LazyIcon,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
bulenkov_iconloader,com.bulenkov.iconloader,IconLoader.LazyIcon,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: myWasComputed; myIcon; isDarkVariant; scale; filter
bulenkov_iconloader,com.bulenkov.iconloader,IconLoader.LabelHolder,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: ourFakeComponent
bulenkov_iconloader,com.bulenkov.iconloader,IconLoader.LabelHolder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
bulenkov_iconloader,com.bulenkov.iconloader,IconLoaderDemoFrame,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
bulenkov_iconloader,com.bulenkov.iconloader,IconLoaderTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
bulenkov_iconloader,com.bulenkov.iconloader,IconLoaderTest,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): IconLoaderTestCase
bulenkov_iconloader,com.bulenkov.iconloader.util,ArrayUtilRt,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
bulenkov_iconloader,com.bulenkov.iconloader.util,ArrayUtilRt,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: ARRAY_COPY_THRESHOLD; EMPTY_STRING_ARRAY
bulenkov_iconloader,com.bulenkov.iconloader.util,DoubleColor,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
bulenkov_iconloader,com.bulenkov.iconloader.util,DoubleColor,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: DARK; darkColor; red; RED; blue; BLUE; white; WHITE; black; BLACK; gray; GRAY; lightGray; LIGHT_GRAY; darkGray; DARK_GRAY; pink; PINK; orange; ORANGE; yellow; YELLOW; green; GREEN; magenta; MAGENTA; cyan; CYAN
bulenkov_iconloader,com.bulenkov.iconloader.util,DoubleColor,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 24 public methods
bulenkov_iconloader,com.bulenkov.iconloader.util,CenteredIcon,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
bulenkov_iconloader,com.bulenkov.iconloader.util,ConcurrentRefValueHashMap,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 24 public methods
bulenkov_iconloader,com.bulenkov.iconloader.util,ConcurrentRefValueHashMap.ValueReference,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
bulenkov_iconloader,com.bulenkov.iconloader.util,JBEmptyBorder.JBEmptyBorderUIResource,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
bulenkov_iconloader,com.bulenkov.iconloader.util,JBEmptyBorder.JBEmptyBorderUIResource,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
bulenkov_iconloader,com.bulenkov.iconloader.util,JBDimension,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: originalScale
bulenkov_iconloader,com.bulenkov.iconloader.util,JBDimension,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: JBUI; JBDimension; UIUtil; RetinaImage; IconLoader
bulenkov_iconloader,com.bulenkov.iconloader.util,JBDimension.JBDimensionUIResource,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
bulenkov_iconloader,com.bulenkov.iconloader.util,JBDimension.JBDimensionUIResource,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
bulenkov_iconloader,com.bulenkov.iconloader.util,ScalableIcon,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
