Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
buremba_rakam,org.rakam.presto.analysis,MysqlExplicitMetastore,3,0,16,13,0,50,0,0,0.125,0,6,/data/research/workspace/testability/data/repos/buremba_rakam/rakam-presto/src/main/java/org/rakam/presto/analysis/MysqlExplicitMetastore.java,48
buremba_rakam,org.rakam.presto.analysis,MysqlExplicitMetastore.SignatureReferenceType,0,0,0,0,17,0,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/buremba_rakam/rakam-presto/src/main/java/org/rakam/presto/analysis/MysqlExplicitMetastore.java,281
buremba_rakam,org.rakam.presto.analysis,MysqlExplicitMetastore.SignatureReferenceTypeManager,0,0,0,0,26,0,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/buremba_rakam/rakam-presto/src/main/java/org/rakam/presto/analysis/MysqlExplicitMetastore.java,309
buremba_rakam,org.rakam.presto.analysis,MysqlConfigManager,1,0,6,6,50,8,0,0,0.0,0,2,/data/research/workspace/testability/data/repos/buremba_rakam/rakam-presto/src/main/java/org/rakam/presto/analysis/MysqlConfigManager.java,15
buremba_rakam,org.rakam.presto.analysis,MetadataDao,5,0,5,0,43,5,0,0,-1.0,1,0,/data/research/workspace/testability/data/repos/buremba_rakam/rakam-presto/src/main/java/org/rakam/presto/analysis/MetadataDao.java,25
buremba_rakam,org.rakam.presto.analysis,MetadataDao.TableColumn,4,0,0,0,35,0,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/buremba_rakam/rakam-presto/src/main/java/org/rakam/presto/analysis/MetadataDao.java,26
buremba_rakam,org.rakam.presto.analysis,MetadataDao.Mapper,1,0,0,0,13,0,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/buremba_rakam/rakam-presto/src/main/java/org/rakam/presto/analysis/MetadataDao.java,58
buremba_rakam,org.rakam.presto.analysis,SchemaDao,0,0,2,0,4,2,0,0,-1.0,1,0,/data/research/workspace/testability/data/repos/buremba_rakam/rakam-presto/src/main/java/org/rakam/presto/analysis/SchemaDao.java,5
buremba_rakam,org.rakam.presto,MetadataModule,0,0,4,2,24,5,0,0,-1.0,0,5,/data/research/workspace/testability/data/repos/buremba_rakam/rakam-presto/src/main/java/org/rakam/presto/MetadataModule.java,21
buremba_rakam,org.rakam.presto,PrestoType,1,0,1,1,0,13,0,0,0.0,0,1,/data/research/workspace/testability/data/repos/buremba_rakam/rakam-presto/src/main/java/org/rakam/presto/PrestoType.java,10
buremba_rakam,org.apache.avro.generic,SourceFilteredRecordWriter,2,0,2,2,17,4,0,0,0.0,0,0,/data/research/workspace/testability/data/repos/buremba_rakam/rakam-presto-kafka/src/main/java/org/apache/avro/generic/SourceFilteredRecordWriter.java,9
