Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
caelum_mamute,br.com.caelum.vraptor.server,VRaptorServer,VRaptorServer,5,1,2,22,0,br.com.caelum.vraptor.server.VRaptorServer,br.com.caelum.vraptor.server.VRaptorServer
caelum_mamute,br.com.caelum.vraptor.server,VRaptorServer,reloadContexts,9,2,2,28,0,br.com.caelum.vraptor.server.VRaptorServer,br.com.caelum.vraptor.server.VRaptorServer
caelum_mamute,br.com.caelum.vraptor.server,VRaptorServer,start,5,2,0,38,0,,
caelum_mamute,br.com.caelum.vraptor.server,VRaptorServer,loadContext,8,1,2,44,0,br.com.caelum.vraptor.server.VRaptorServer,br.com.caelum.vraptor.server.VRaptorServer
caelum_mamute,br.com.caelum.vraptor.server,VRaptorServer,getContext,3,1,0,53,0,,
caelum_mamute,br.com.caelum.vraptor.server,VRaptorServer,systemRestart,18,1,0,57,0,br.com.caelum.vraptor.server.VRaptorServer,br.com.caelum.vraptor.server.VRaptorServer
caelum_mamute,br.com.caelum.vraptor.server,VRaptorServer,handle,7,1,4,59,0,br.com.caelum.vraptor.server.VRaptorServer,br.com.caelum.vraptor.server.VRaptorServer
caelum_mamute,br.com.caelum.vraptor.server,VRaptorServer,getEnv,5,1,0,78,0,,
caelum_mamute,br.com.caelum.vraptor.server,VRaptorServer,restartContexts,9,1,0,84,0,,
caelum_mamute,br.com.caelum.vraptor.server,VRaptorServer,createServer,14,3,0,93,0,br.com.caelum.vraptor.server.VRaptorServer,br.com.caelum.vraptor.server.VRaptorServer
caelum_mamute,br.com.caelum.vraptor.server,VRaptorServer,getPort,4,1,0,108,0,,
caelum_mamute,br.com.caelum.vraptor.server,VRaptorServer,getHost,4,1,0,113,0,,
caelum_mamute,br.com.caelum.vraptor.server,VRaptorServer,stop,8,1,0,118,0,,
caelum_mamute,br.com.caelum.vraptor.server,GruntRunner,GruntRunner,3,1,1,9,0,,
caelum_mamute,br.com.caelum.vraptor.server,GruntRunner,run,14,2,0,13,0,br.com.caelum.vraptor.server.VRaptorServer,br.com.caelum.vraptor.server.VRaptorServer
caelum_mamute,br.com.caelum.vraptor.server,Main,main,10,2,1,7,0,br.com.caelum.vraptor.server.Main,br.com.caelum.vraptor.server.Main; br.com.caelum.vraptor.server.VRaptorServer
caelum_mamute,br.com.caelum.vraptor.server,Main,getWebXmlLocation,5,1,1,20,0,,
caelum_mamute,br.com.caelum.vraptor.server,Main,getWebAppDir,3,1,0,26,0,,
caelum_mamute,br.com.caelum.vraptor,CustomMultipartConfig,getSizeLimit,3,1,0,12,0,,
caelum_mamute,br.com.caelum.vraptor,CustomMultipartConfig,getFileSizeLimit,3,1,0,16,0,,
caelum_mamute,br.com.caelum.vraptor.serialization,HibernateProxySerializer,serialize,4,1,3,12,0,,
caelum_mamute,org.mamute.brutauth.auth.handlers,InputHandler,handle,5,1,0,22,0,org.mamute.input.InputManager,org.mamute.input.InputManager; org.mamute.model.LoggedUser
caelum_mamute,org.mamute.brutauth.auth.handlers,LoggedHandler,handle,10,2,0,23,0,,
caelum_mamute,org.mamute.brutauth.auth.rules,ModeratorOnlyRule,isAllowed,3,1,0,16,0,org.mamute.auth.rules.Rules,org.mamute.auth.rules.Rules; org.mamute.model.LoggedUser
caelum_mamute,org.mamute.brutauth.auth.rules,EditNewsRule,isAllowed,3,1,1,17,0,org.mamute.auth.rules.Rules,org.mamute.auth.rules.Rules; org.mamute.model.LoggedUser
caelum_mamute,org.mamute.brutauth.auth.rules,InactiveQuestionRequiresMoreKarmaRule,isAllowed,11,3,3,22,0,org.mamute.infra.ModelUrlMapping,org.mamute.infra.ModelUrlMapping; org.mamute.dao.QuestionDAO; org.mamute.model.Question; org.mamute.brutauth.auth.rules.EnvironmentKarma; org.mamute.auth.rules.Rules; org.mamute.model.LoggedUser
caelum_mamute,org.mamute.brutauth.auth.rules,LoggedRule,isAllowed,3,1,0,16,0,org.mamute.model.LoggedUser,org.mamute.model.LoggedUser
caelum_mamute,org.mamute.brutauth.auth.rules,EditAnswerRule,EditAnswerRule,2,1,0,21,0,,
caelum_mamute,org.mamute.brutauth.auth.rules,EditAnswerRule,EditAnswerRule,4,1,2,25,0,org.mamute.model.LoggedUser,org.mamute.model.LoggedUser
