Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
camelinaction_camelinaction,camelinaction,GuidGenerator,generate,Magic Number,The method contains a magic number: 10000000,28
camelinaction_camelinaction,camelinaction,ErpProducer,ErpProducer,Magic Number,The method contains a magic number: 10,36
camelinaction_camelinaction,camelinaction,ScalabilityTest,createRouteBuilder,Long Statement,The length of the statement "from("jetty:http://localhost:8090/webshop?matchOnUriPrefix=true").convertBodyTo(String.class).to("log:input").choice().when(header(Exchange.HTTP_PATH).isEqualTo("/action/pricing")).to("erp:pricing").otherwise().to("direct:other").end().to("log:output");" is 253.,67
camelinaction_camelinaction,camelinaction,ScalabilityTest,configure,Long Statement,The length of the statement "from("jetty:http://localhost:8090/webshop?matchOnUriPrefix=true").convertBodyTo(String.class).to("log:input").choice().when(header(Exchange.HTTP_PATH).isEqualTo("/action/pricing")).to("erp:pricing").otherwise().to("direct:other").end().to("log:output");" is 253.,70
camelinaction_camelinaction,camelinaction,CreateBigFileMain,main,Magic Number,The method contains a magic number: 100,29
camelinaction_camelinaction,camelinaction,InventoryService,csvToObject,Magic Number,The method contains a magic number: 4,29
camelinaction_camelinaction,camelinaction,InventoryService,csvToObject,Magic Number,The method contains a magic number: 2,29
camelinaction_camelinaction,camelinaction,InventoryService,csvToObject,Magic Number,The method contains a magic number: 3,29
camelinaction_camelinaction,camelinaction,InventoryService,updateInventory,Magic Number,The method contains a magic number: 100,46
camelinaction_camelinaction,camelinaction,BigFileCachedThreadPoolTest,testBigFile,Magic Number,The method contains a magic number: 2,56
camelinaction_camelinaction,camelinaction,BigFileCachedThreadPoolTest,testBigFile,Magic Number,The method contains a magic number: 60,56
camelinaction_camelinaction,camelinaction,BigFileCachedThreadPoolTest,testBigFile,Magic Number,The method contains a magic number: 1000,56
camelinaction_camelinaction,camelinaction,BigFileCachedThreadPoolTest,createRouteBuilder,Long Statement,The length of the statement "from("file:target/inventory?noop=true").log("Starting to process big file: ${header.CamelFileName}").split(body().tokenize("\n")).streaming().executorService(threadPool).bean(InventoryService.class`"csvToObject").to("direct:update").end().log("Done processing big file: ${header.CamelFileName}");" is 296.,70
camelinaction_camelinaction,camelinaction,BigFileCachedThreadPoolTest,configure,Long Statement,The length of the statement "from("file:target/inventory?noop=true").log("Starting to process big file: ${header.CamelFileName}").split(body().tokenize("\n")).streaming().executorService(threadPool).bean(InventoryService.class`"csvToObject").to("direct:update").end().log("Done processing big file: ${header.CamelFileName}");" is 296.,73
camelinaction_camelinaction,camelinaction,BigFileParallelTest,testBigFile,Magic Number,The method contains a magic number: 2,34
camelinaction_camelinaction,camelinaction,BigFileParallelTest,testBigFile,Magic Number,The method contains a magic number: 60,34
camelinaction_camelinaction,camelinaction,BigFileParallelTest,testBigFile,Magic Number,The method contains a magic number: 1000,34
camelinaction_camelinaction,camelinaction,BigFileParallelTest,createRouteBuilder,Long Statement,The length of the statement "from("file:target/inventory?noop=true").log("Starting to process big file: ${header.CamelFileName}").split(body().tokenize("\n")).streaming().parallelProcessing().bean(InventoryService.class`"csvToObject").to("direct:update").end().log("Done processing big file: ${header.CamelFileName}");" is 289.,48
camelinaction_camelinaction,camelinaction,BigFileParallelTest,configure,Long Statement,The length of the statement "from("file:target/inventory?noop=true").log("Starting to process big file: ${header.CamelFileName}").split(body().tokenize("\n")).streaming().parallelProcessing().bean(InventoryService.class`"csvToObject").to("direct:update").end().log("Done processing big file: ${header.CamelFileName}");" is 289.,51
camelinaction_camelinaction,camelinaction,BigFileSedaTest,testBigFile,Magic Number,The method contains a magic number: 300,30
camelinaction_camelinaction,camelinaction,BigFileSedaTest,testBigFile,Magic Number,The method contains a magic number: 1000,30
camelinaction_camelinaction,camelinaction,BigFileSedaTest,testBigFile,Magic Number,The method contains a magic number: 1000,30
camelinaction_camelinaction,camelinaction,BigFileSedaTest,createRouteBuilder,Long Statement,The length of the statement "from("file:target/inventory?noop=true").log("Starting to process big file: ${header.CamelFileName}").split(body().tokenize("\n")).streaming().bean(InventoryService.class`"csvToObject").to("seda:update").end().log("Done processing big file: ${header.CamelFileName}");" is 266.,49
