Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
caoxinyu_RedisClient,com.cxy.redisclient.service,ListService,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
caoxinyu_RedisClient,com.cxy.redisclient.service,NodeService,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 25
caoxinyu_RedisClient,com.cxy.redisclient.integration,JedisCommand,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: timeout
caoxinyu_RedisClient,com.cxy.redisclient.integration,ConfigFile,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PORT; HOST; NAME; PASSWORD; SERVER_MAXID; FAVORITE; FAVORITE_NAME; FAVORITE_SERVER; FAVORITE_MAXID; LANGUAGE; FLATVIEW; TIMEOUT1; TIMEOUT2; SEPARATOR; SEP; PAGESIZE
caoxinyu_RedisClient,com.cxy.redisclient.integration,I18nFile,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: SERVER; ADD; UPDATE; REMOVE; PROPERTIES; EXIT; DATA; NEW; STRING; LIST; SET; ZSET; HASH; RENAME; DELETE; CUT; COPY; PASTE; IMPORT; EXPORT; FIND; FINDFORWARD; FINDBACKWARD; VIEW; HIERARCHY; FLAT; REFRESH; FAVORITES; ORGANIZE; HELP; DONATION; ABOUT; REDISSERVERS; ADDFAVORITES; ADDSERVER; NAME; TYPE; SIZE; ERROR; INFORMATION; OBJECTDELETE; NEWKEYFOUND; LOCATION; KEY; FINDAGAIN; FINDRESULTS; NOFOUND; EXPORTREDIS; FILEEXIST; FILEREPLACE; IMPORTREDIS; REMOVESERVER; CONFIRMREMOVESERVER; RENAMEFAIL; RENAMERESULT; FINDSERVER; FINDDB; DELETEKEY; CONFIRMDELETEKEY; RENAMEKEYFAIL; RENAMEKEYRESULT; DBPROPERTIES; CONTAINERPROPERTIES; DATABASE; CONTAINER; ABOUTREDISCLIENT; VERSION; DEVELOPER; ISSUE; CLICK; CAOXINYU; OK; DONATIONMESSAGE; ADDFAVORITE; FAVORITE; CANCEL; INPUTFAVORITE; ORGANIZEFAVORITE; UPDATEFAVORITE; NEWHASH; VALUES; FIELD; VALUE; INPUTVALUES; HASHINPUTFORMAT; INPUTHASH; KEYENDERROR; INPUTWHOLE; HASHPROPERTY; DELETECONTAINERS; DELETECONTAINER; DELETEKEYS; DELETESUBCONTAINER; FINDDATA; FINDDIRECTION; FORWARD; BACKWARD; KEYTYPE; SELECTTYPE; NEWKEY; OVERWRITTEN; RENAMESUB; INPUTNEWKEY; NEWLIST; LISTINPUTFORMAT; UP; DOWN; LISTORDER; HEADTAIL; TAILHEAD; LISTNOTEXIST; CREATELIST; DONOTHING; INPUTLIST; LISTPROPERTY; HOST; PORT; PASSWORD; INPUTSERVER; SERVERPROPERTY; GENERAL; UPDATESERVER; NEWSET; INPUTSET; SETPROPERTY; NEWSTRING; INPUTSTRING; STRINGPROPERTY; NEWZSET; SCORE; MEMBER; INPUTZSETFORMAT; ZSETPROPERTY; INPUTZSET; HASHEXIST; LISTEXIST; SETEXIST; ZSETEXIST; KEYNOTEXIST; STAR; TTL; EXPIRE; TTLS; TTLEXCEPTION; APPLY; APPLYTTL; APPLYTTLEXCEPTION; SCOREERROR; REDISDATAEXPLORER; ORDER; ORDERBY; ASCEND; DESCEND; LANGUAGE; INPUTKEY; UPDATEFIELD; DELETEHASH; INSERTHEAD; APPENDTAIL; DELETEHEAD; DELETETAIL; EDITING; EDITINGERROR; ADDSETVALUES; CLOSEAPP; CLOSEAPPERROR; TOOL; CONSOLE; COMMAND; TIME; DURATION; RESULT; CONSOLECLOSED; QUITCONSOLE; RUNCURRENT; RUNSELECT; RUNFOLLOW; RUNCURRENTTIP; RUNSELECTTIP; RUNFOLLOWTIP; SELECTALL; CLEAR; VERSIONNOTSUPPORT; PUBLISH; SUBSCRIBE; CHANNEL; MESSAGE; OPTIONS; CONNECTION; NAMESPACE; PAGING; COMMANDTIMEOUT; CONSOLETIMEOUT; SEPARATOR; PAGESIZE; TIMEEXCEPTION; SIZEEXCEPTION; CMDEXCEPTION; WATCH; DATAWATCHER; DATATYPE; TEXT; PLAINTEXT; IMAGE; BASE64IMAGE; JSON; XML; IMAGEEXCEPTION; JSONEXCEPTION; XMLEXCEPTION; OBJECT; REFCOUNT; ENCODING; IDLETIME
caoxinyu_RedisClient,com.cxy.redisclient.presentation,RedisClient,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: language; i18nFile
caoxinyu_RedisClient,com.cxy.redisclient.presentation,RedisClient,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 52
caoxinyu_RedisClient,com.cxy.redisclient.presentation.list,ListDataContent,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
caoxinyu_RedisClient,com.cxy.redisclient.presentation.component,PagingListener,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PAGE_SIZE
caoxinyu_RedisClient,org.eclipse.wb.swt,SWTResourceManager,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: TOP_LEFT; TOP_RIGHT; BOTTOM_LEFT; BOTTOM_RIGHT
