Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
castlabs_dashencrypt,com.castlabs.dash.helpers,RepresentationBuilderToFile,Law of Demeter violation,The tool detected the smell in this method (writeOnDemand) because the method voilates the law of Demeter. The long chain of method invocations is : mpeg.dash.schema.mpd._2011.RepresentationType.getBaseURL; mpeg.dash.schema.mpd._2011.BaseURLType.getValue
castlabs_dashencrypt,com.castlabs.dash.helpers,RepresentationBuilderToFile,Law of Demeter violation,The tool detected the smell in this method (writeOnDemand) because the method voilates the law of Demeter. The long chain of method invocations is : mpeg.dash.schema.mpd._2011.RepresentationType.getBaseURL; mpeg.dash.schema.mpd._2011.BaseURLType.getValue
castlabs_dashencrypt,com.castlabs.dash.helpers,RepresentationBuilderToFile,Law of Demeter violation,The tool detected the smell in this method (writeOnDemand) because the method voilates the law of Demeter. The long chain of method invocations is : mpeg.dash.schema.mpd._2011.RepresentationType.getBaseURL; mpeg.dash.schema.mpd._2011.BaseURLType.getValue
castlabs_dashencrypt,com.castlabs.dash.helpers,RepresentationBuilderToFile,Law of Demeter violation,The tool detected the smell in this method (writeOnDemand) because the method voilates the law of Demeter. The long chain of method invocations is : mpeg.dash.schema.mpd._2011.RepresentationType.getBaseURL; mpeg.dash.schema.mpd._2011.BaseURLType.getValue
castlabs_dashencrypt,com.castlabs.dash.helpers,DashHelper2.ChannelConfiguration,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
castlabs_dashencrypt,com.castlabs.dash.dashfragmenter,Main,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: TOOL
castlabs_dashencrypt,com.castlabs.dash.dashfragmenter.encrypt2,ManifestCreation,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: mpeg.dash.schema.mpd._2011.DescriptorType; mpeg.dash.schema.mpd._2011.BaseURLType; mpeg.dash.schema.mpd._2011.SegmentBaseType; mpeg.dash.schema.mpd._2011.RepresentationType; mpeg.dash.schema.mpd._2011.SegmentTemplateType; mpeg.dash.schema.mpd._2011.PeriodType; mpeg.dash.schema.mpd._2011.AdaptationSetType; mpeg.dash.schema.mpd._2011.URLType
castlabs_dashencrypt,com.castlabs.dash.dashfragmenter.encrypt2,ManifestCreation,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 13
castlabs_dashencrypt,com.castlabs.dash.dashfragmenter.cmdlines.trackoptions,InputOutputSelector,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: TEXTTRACK; THUMBTRACK
castlabs_dashencrypt,com.castlabs.dash.dashfragmenter.cmdlines.trackoptions,InputOutputSelector.WindowsExplorerComparator,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
