Project Name,Package Name,Type Name,Method Name,LOC,CC,PC,Line no,IsTest,Main prod class tested,Production classes tested
chenlb_mmseg4j-core,com.chenlb.mmseg4j,Word,Word,7,1,2,29,0,,
chenlb_mmseg4j-core,com.chenlb.mmseg4j,Word,Word,4,1,3,40,0,,
chenlb_mmseg4j-core,com.chenlb.mmseg4j,Word,Word,7,1,4,48,0,,
chenlb_mmseg4j-core,com.chenlb.mmseg4j,Word,getString,3,1,0,62,0,com.chenlb.mmseg4j.Word,com.chenlb.mmseg4j.Word
chenlb_mmseg4j-core,com.chenlb.mmseg4j,Word,toString,3,1,0,66,0,com.chenlb.mmseg4j.Word,com.chenlb.mmseg4j.Word
chenlb_mmseg4j-core,com.chenlb.mmseg4j,Word,getWordOffset,3,1,0,69,0,,
chenlb_mmseg4j-core,com.chenlb.mmseg4j,Word,getLength,3,1,0,77,0,,
chenlb_mmseg4j-core,com.chenlb.mmseg4j,Word,getSen,3,1,0,81,0,,
chenlb_mmseg4j-core,com.chenlb.mmseg4j,Word,getStartOffset,3,1,0,85,0,,
chenlb_mmseg4j-core,com.chenlb.mmseg4j,Word,getEndOffset,3,1,0,89,0,com.chenlb.mmseg4j.Word,com.chenlb.mmseg4j.Word
chenlb_mmseg4j-core,com.chenlb.mmseg4j,Word,getDegree,3,1,0,92,0,,
chenlb_mmseg4j-core,com.chenlb.mmseg4j,Word,setDegree,3,1,1,95,0,,
chenlb_mmseg4j-core,com.chenlb.mmseg4j,Word,getType,3,1,0,98,0,,
chenlb_mmseg4j-core,com.chenlb.mmseg4j,Word,setType,3,1,1,101,0,,
chenlb_mmseg4j-core,com.chenlb.mmseg4j,SimpleSeg,SimpleSeg,3,1,1,11,0,,
chenlb_mmseg4j-core,com.chenlb.mmseg4j,SimpleSeg,seg,13,2,1,15,0,com.chenlb.mmseg4j.Sentence,com.chenlb.mmseg4j.Sentence; com.chenlb.mmseg4j.Dictionary
chenlb_mmseg4j-core,com.chenlb.mmseg4j,Sentence,Sentence,3,1,0,15,0,,
chenlb_mmseg4j-core,com.chenlb.mmseg4j,Sentence,Sentence,3,1,2,19,0,com.chenlb.mmseg4j.Sentence,com.chenlb.mmseg4j.Sentence
chenlb_mmseg4j-core,com.chenlb.mmseg4j,Sentence,reinit,5,1,2,23,0,,
chenlb_mmseg4j-core,com.chenlb.mmseg4j,Sentence,getText,3,1,0,29,0,,
chenlb_mmseg4j-core,com.chenlb.mmseg4j,Sentence,getOffset,3,1,0,33,0,,
chenlb_mmseg4j-core,com.chenlb.mmseg4j,Sentence,setOffset,3,1,1,38,0,,
chenlb_mmseg4j-core,com.chenlb.mmseg4j,Sentence,addOffset,3,1,1,43,0,,
chenlb_mmseg4j-core,com.chenlb.mmseg4j,Sentence,isFinish,3,1,0,47,0,,
chenlb_mmseg4j-core,com.chenlb.mmseg4j,Sentence,getStartOffset,3,1,0,52,0,,
chenlb_mmseg4j-core,com.chenlb.mmseg4j,Sentence,setStartOffset,3,1,1,57,0,,
chenlb_mmseg4j-core,com.chenlb.mmseg4j,Chunk,getLen,13,4,0,24,0,com.chenlb.mmseg4j.Word,com.chenlb.mmseg4j.Word
chenlb_mmseg4j-core,com.chenlb.mmseg4j,Chunk,getCount,11,4,0,39,0,,
chenlb_mmseg4j-core,com.chenlb.mmseg4j,Chunk,getAvgLen,6,2,0,52,0,com.chenlb.mmseg4j.Chunk,com.chenlb.mmseg4j.Chunk
chenlb_mmseg4j-core,com.chenlb.mmseg4j,Chunk,getVariance,12,4,0,60,0,com.chenlb.mmseg4j.Word,com.chenlb.mmseg4j.Word; com.chenlb.mmseg4j.Chunk
chenlb_mmseg4j-core,com.chenlb.mmseg4j,Chunk,getSumDegree,12,4,0,74,0,com.chenlb.mmseg4j.Word,com.chenlb.mmseg4j.Word
chenlb_mmseg4j-core,com.chenlb.mmseg4j,Chunk,toString,9,3,0,88,0,com.chenlb.mmseg4j.Word,com.chenlb.mmseg4j.Word
chenlb_mmseg4j-core,com.chenlb.mmseg4j,Chunk,toFactorString,9,1,0,99,0,com.chenlb.mmseg4j.Chunk,com.chenlb.mmseg4j.Chunk
chenlb_mmseg4j-core,com.chenlb.mmseg4j,Chunk,getWords,3,1,0,109,0,,
chenlb_mmseg4j-core,com.chenlb.mmseg4j,Chunk,setWords,4,1,1,113,0,,
chenlb_mmseg4j-core,com.chenlb.mmseg4j,Seg,Seg,4,1,1,15,0,,
chenlb_mmseg4j-core,com.chenlb.mmseg4j,Seg,printChunk,5,2,1,20,0,com.chenlb.mmseg4j.Chunk,com.chenlb.mmseg4j.Chunk
chenlb_mmseg4j-core,com.chenlb.mmseg4j,Seg,isUnit,3,1,1,29,0,com.chenlb.mmseg4j.Dictionary,com.chenlb.mmseg4j.Dictionary
chenlb_mmseg4j-core,com.chenlb.mmseg4j,Seg,search,7,2,3,36,0,com.chenlb.mmseg4j.Dictionary,com.chenlb.mmseg4j.Dictionary; com.chenlb.mmseg4j.Seg
chenlb_mmseg4j-core,com.chenlb.mmseg4j,Seg,search,6,2,4,49,0,com.chenlb.mmseg4j.Dictionary,com.chenlb.mmseg4j.Dictionary
