Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
christoffer_pycharm-pyxl,com.christofferklang.pyxl,PyxlColorSettingsPage,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
christoffer_pycharm-pyxl,com.christofferklang.pyxl,PyxlHighlighterFactory,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
christoffer_pycharm-pyxl,com.christofferklang.pyxl,PyxlHighlighterColors,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: PYXL_TAG_NAME; PYXL_TAG; PYXL_ATTRIBUTE_NAME; PYXL_ATTRIBUTE_VALUE; PYXL_EMBEDDED
christoffer_pycharm-pyxl,com.christofferklang.pyxl,PyxlFormattingModelBuilder,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
christoffer_pycharm-pyxl,com.christofferklang.pyxl,PyxlDialectTokenContributor,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
christoffer_pycharm-pyxl,com.christofferklang.pyxl,PyxlHighlighter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
christoffer_pycharm-pyxl,com.christofferklang.pyxl,PyxlTokenTypes,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: BADCHAR; ATTRNAME; ATTRVALUE; ATTRVALUE_START; ATTRVALUE_END; TAGBEGIN; TAGNAME_MODULE; TAGNAME; TAGEND; TAGCLOSE; TAGENDANDCLOSE; BUILT_IN_TAG; EMBED_START; EMBED_END; STRING
christoffer_pycharm-pyxl,com.christofferklang.pyxl,PyxlModuleReference,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
christoffer_pycharm-pyxl,com.christofferklang.pyxl,PyxlElementTypes,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: TAG_REFERENCE; TAG; ATTRNAME; ARGUMENT_LIST; MODULE_REFERENCE
christoffer_pycharm-pyxl,com.christofferklang.pyxl,PyxlElementTypes,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: TAG_REFERENCE; TAG; ATTRNAME; ARGUMENT_LIST; MODULE_REFERENCE
christoffer_pycharm-pyxl,com.christofferklang.pyxl,PyxlElementTypes,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: TAG_REFERENCE; TAG; ATTRNAME; ARGUMENT_LIST; MODULE_REFERENCE
christoffer_pycharm-pyxl,com.christofferklang.pyxl.psi,PyxlArgumentList,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
christoffer_pycharm-pyxl,com.christofferklang.pyxl.psi,PyxlAttrName,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
christoffer_pycharm-pyxl,com.christofferklang.pyxl.psi,PyxlTag,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
christoffer_pycharm-pyxl,com.christofferklang.pyxl.psi,PythonClassReference,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
christoffer_pycharm-pyxl,com.christofferklang.pyxl.parsing,PyxlHighlightingLexer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
christoffer_pycharm-pyxl,com.christofferklang.pyxl.parsing,PyxlHighlightingLexer,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): PyxlLexer
christoffer_pycharm-pyxl,com.christofferklang.pyxl.parsing,PyxlHighlightingLexer.state,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
christoffer_pycharm-pyxl,com.christofferklang.pyxl.parsing,PyxlHighlightingLexer.state,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
christoffer_pycharm-pyxl,com.christofferklang.pyxl.parsing,PyxlParser,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
christoffer_pycharm-pyxl,com.christofferklang.pyxl.parsing,PyxlParserDefinition,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
christoffer_pycharm-pyxl,com.christofferklang.pyxl.parsing,PyxlParsingContext,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
christoffer_pycharm-pyxl,com.christofferklang.pyxl.parsing,PyxlExpressionParsing.PyxlParsingException,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
christoffer_pycharm-pyxl,com.christofferklang.pyxl.parsing,PyxlExpressionParsing.PyxlParsingException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
christoffer_pycharm-pyxl,com.christofferklang.pyxl.parsing,PyxlIndentingLexer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
christoffer_pycharm-pyxl,(default package),PyxlParsingTest,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
