Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
clinejj_foursquare-api-java,fi.foyt.foursquare.example,AuthenticationExample,0,0,2,2,23,2,0,0,-1.0,0,1,/data/research/workspace/testability/data/repos/clinejj_foursquare-api-java/src/main/java/fi/foyt/foursquare/example/AuthenticationExample.java,10
clinejj_foursquare-api-java,fi.foyt.foursquare.example,BasicExample,0,0,2,2,30,4,0,0,-1.0,0,3,/data/research/workspace/testability/data/repos/clinejj_foursquare-api-java/src/main/java/fi/foyt/foursquare/example/BasicExample.java,9
clinejj_foursquare-api-java,fi.foyt.foursquare.api,ResultMeta,5,0,8,8,76,8,0,0,0.0,3,0,/data/research/workspace/testability/data/repos/clinejj_foursquare-api-java/src/main/java/fi/foyt/foursquare/api/ResultMeta.java,3
clinejj_foursquare-api-java,fi.foyt.foursquare.api,FoursquareApi,13,0,69,62,1471,140,0,0,0.07246376811594203,12,35,/data/research/workspace/testability/data/repos/clinejj_foursquare-api-java/src/main/java/fi/foyt/foursquare/api/FoursquareApi.java,68
clinejj_foursquare-api-java,fi.foyt.foursquare.api,FoursquareApi.ApiRequestResponse,3,0,0,0,42,0,0,0,-1.0,0,1,/data/research/workspace/testability/data/repos/clinejj_foursquare-api-java/src/main/java/fi/foyt/foursquare/api/FoursquareApi.java,1777
clinejj_foursquare-api-java,fi.foyt.foursquare.api,FoursquareApiException,1,0,2,2,21,2,0,0,1.0,13,0,/data/research/workspace/testability/data/repos/clinejj_foursquare-api-java/src/main/java/fi/foyt/foursquare/api/FoursquareApiException.java,14
clinejj_foursquare-api-java,fi.foyt.foursquare.api,NotificationsParser,0,0,2,1,0,12,0,0,-1.0,1,10,/data/research/workspace/testability/data/repos/clinejj_foursquare-api-java/src/main/java/fi/foyt/foursquare/api/NotificationsParser.java,20
clinejj_foursquare-api-java,fi.foyt.foursquare.api,Result,3,0,6,6,53,6,0,0,0.0,9,1,/data/research/workspace/testability/data/repos/clinejj_foursquare-api-java/src/main/java/fi/foyt/foursquare/api/Result.java,7
clinejj_foursquare-api-java,fi.foyt.foursquare.api,FoursquareEntity,0,0,0,0,6,0,54,0,-1.0,1,0,/data/research/workspace/testability/data/repos/clinejj_foursquare-api-java/src/main/java/fi/foyt/foursquare/api/FoursquareEntity.java,16
clinejj_foursquare-api-java,fi.foyt.foursquare.api,JSONFieldParser,0,0,13,3,327,46,0,0,-1.0,2,2,/data/research/workspace/testability/data/repos/clinejj_foursquare-api-java/src/main/java/fi/foyt/foursquare/api/JSONFieldParser.java,27
clinejj_foursquare-api-java,fi.foyt.foursquare.api.entities,GeoCodeGeometry,3,0,6,6,37,6,0,1,0.3333333333333333,1,2,/data/research/workspace/testability/data/repos/clinejj_foursquare-api-java/src/main/java/fi/foyt/foursquare/api/entities/GeoCodeGeometry.java,5
clinejj_foursquare-api-java,fi.foyt.foursquare.api.entities,Badge,8,0,7,7,64,7,0,1,1.0,1,1,/data/research/workspace/testability/data/repos/clinejj_foursquare-api-java/src/main/java/fi/foyt/foursquare/api/entities/Badge.java,16
clinejj_foursquare-api-java,fi.foyt.foursquare.api.entities,GeoCodeFeature,7,0,14,14,81,14,0,1,0.14285714285714285,1,1,/data/research/workspace/testability/data/repos/clinejj_foursquare-api-java/src/main/java/fi/foyt/foursquare/api/entities/GeoCodeFeature.java,7
clinejj_foursquare-api-java,fi.foyt.foursquare.api.entities,Photos,2,0,2,2,18,2,0,2,0.0,1,0,/data/research/workspace/testability/data/repos/clinejj_foursquare-api-java/src/main/java/fi/foyt/foursquare/api/entities/Photos.java,16
clinejj_foursquare-api-java,fi.foyt.foursquare.api.entities,Warning,2,0,1,1,15,1,0,1,0.0,2,0,/data/research/workspace/testability/data/repos/clinejj_foursquare-api-java/src/main/java/fi/foyt/foursquare/api/entities/Warning.java,16
clinejj_foursquare-api-java,fi.foyt.foursquare.api.entities,HereNow,3,0,2,2,19,2,0,2,0.0,1,0,/data/research/workspace/testability/data/repos/clinejj_foursquare-api-java/src/main/java/fi/foyt/foursquare/api/entities/HereNow.java,18
clinejj_foursquare-api-java,fi.foyt.foursquare.api.entities,Icon,3,0,2,2,19,2,0,1,1.0,1,0,/data/research/workspace/testability/data/repos/clinejj_foursquare-api-java/src/main/java/fi/foyt/foursquare/api/entities/Icon.java,5
clinejj_foursquare-api-java,fi.foyt.foursquare.api.entities,Todo,4,0,3,3,32,3,0,1,1.0,1,1,/data/research/workspace/testability/data/repos/clinejj_foursquare-api-java/src/main/java/fi/foyt/foursquare/api/entities/Todo.java,16
clinejj_foursquare-api-java,fi.foyt.foursquare.api.entities,LeaderboardScore,4,0,3,3,31,3,0,1,1.0,0,0,/data/research/workspace/testability/data/repos/clinejj_foursquare-api-java/src/main/java/fi/foyt/foursquare/api/entities/LeaderboardScore.java,16
clinejj_foursquare-api-java,fi.foyt.foursquare.api.entities,Badges,4,0,4,4,42,4,0,1,0.0,1,1,/data/research/workspace/testability/data/repos/clinejj_foursquare-api-java/src/main/java/fi/foyt/foursquare/api/entities/Badges.java,16
clinejj_foursquare-api-java,fi.foyt.foursquare.api.entities,LinkGroup,2,0,1,1,11,1,0,3,0.0,1,0,/data/research/workspace/testability/data/repos/clinejj_foursquare-api-java/src/main/java/fi/foyt/foursquare/api/entities/LinkGroup.java,3
clinejj_foursquare-api-java,fi.foyt.foursquare.api.entities,PhotoGroup,2,0,2,2,14,2,0,3,0.0,2,0,/data/research/workspace/testability/data/repos/clinejj_foursquare-api-java/src/main/java/fi/foyt/foursquare/api/entities/PhotoGroup.java,16
clinejj_foursquare-api-java,fi.foyt.foursquare.api.entities,Source,3,0,3,3,26,3,0,1,0.0,2,0,/data/research/workspace/testability/data/repos/clinejj_foursquare-api-java/src/main/java/fi/foyt/foursquare/api/entities/Source.java,16
clinejj_foursquare-api-java,fi.foyt.foursquare.api.entities,Keyword,3,0,2,2,23,2,0,1,1.0,0,0,/data/research/workspace/testability/data/repos/clinejj_foursquare-api-java/src/main/java/fi/foyt/foursquare/api/entities/Keyword.java,16
clinejj_foursquare-api-java,fi.foyt.foursquare.api.entities,Recommendation,4,0,3,3,31,3,0,1,1.0,0,2,/data/research/workspace/testability/data/repos/clinejj_foursquare-api-java/src/main/java/fi/foyt/foursquare/api/entities/Recommendation.java,5
clinejj_foursquare-api-java,fi.foyt.foursquare.api.entities,Category,9,0,8,8,67,8,0,1,0.0,0,1,/data/research/workspace/testability/data/repos/clinejj_foursquare-api-java/src/main/java/fi/foyt/foursquare/api/entities/Category.java,20
clinejj_foursquare-api-java,fi.foyt.foursquare.api.entities,ListGroup,2,0,2,2,14,2,0,3,0.0,0,0,/data/research/workspace/testability/data/repos/clinejj_foursquare-api-java/src/main/java/fi/foyt/foursquare/api/entities/ListGroup.java,16
clinejj_foursquare-api-java,fi.foyt.foursquare.api.entities,CompleteSpecial,13,0,13,13,107,13,0,1,0.0,2,1,/data/research/workspace/testability/data/repos/clinejj_foursquare-api-java/src/main/java/fi/foyt/foursquare/api/entities/CompleteSpecial.java,16
clinejj_foursquare-api-java,fi.foyt.foursquare.api.entities,LeaderboardItem,4,0,3,3,31,3,0,1,1.0,1,2,/data/research/workspace/testability/data/repos/clinejj_foursquare-api-java/src/main/java/fi/foyt/foursquare/api/entities/LeaderboardItem.java,16
clinejj_foursquare-api-java,fi.foyt.foursquare.api.entities,Mayor,2,0,2,2,18,2,0,2,0.0,1,1,/data/research/workspace/testability/data/repos/clinejj_foursquare-api-java/src/main/java/fi/foyt/foursquare/api/entities/Mayor.java,14
clinejj_foursquare-api-java,fi.foyt.foursquare.api.entities,GeoCodeGeoPt,3,2,6,6,29,6,0,1,0.3333333333333333,2,0,/data/research/workspace/testability/data/repos/clinejj_foursquare-api-java/src/main/java/fi/foyt/foursquare/api/entities/GeoCodeGeoPt.java,5
clinejj_foursquare-api-java,fi.foyt.foursquare.api.entities,MiniVenue,5,0,8,8,53,8,0,1,0.5,0,1,/data/research/workspace/testability/data/repos/clinejj_foursquare-api-java/src/main/java/fi/foyt/foursquare/api/entities/MiniVenue.java,5
clinejj_foursquare-api-java,fi.foyt.foursquare.api.entities,List,22,0,2,2,35,2,0,1,0.0,0,0,/data/research/workspace/testability/data/repos/clinejj_foursquare-api-java/src/main/java/fi/foyt/foursquare/api/entities/List.java,16
clinejj_foursquare-api-java,fi.foyt.foursquare.api.entities,UserGroups,3,0,2,2,19,2,0,2,0.0,4,0,/data/research/workspace/testability/data/repos/clinejj_foursquare-api-java/src/main/java/fi/foyt/foursquare/api/entities/UserGroups.java,17
clinejj_foursquare-api-java,fi.foyt.foursquare.api.entities,LeaderboardItemGroup,2,0,1,1,11,1,0,3,0.0,1,0,/data/research/workspace/testability/data/repos/clinejj_foursquare-api-java/src/main/java/fi/foyt/foursquare/api/entities/LeaderboardItemGroup.java,14
clinejj_foursquare-api-java,fi.foyt.foursquare.api.entities,CommentGroup,2,0,2,2,14,2,0,3,0.0,2,0,/data/research/workspace/testability/data/repos/clinejj_foursquare-api-java/src/main/java/fi/foyt/foursquare/api/entities/CommentGroup.java,16
clinejj_foursquare-api-java,fi.foyt.foursquare.api.entities,Group,3,0,3,3,29,3,16,2,1.0,0,0,/data/research/workspace/testability/data/repos/clinejj_foursquare-api-java/src/main/java/fi/foyt/foursquare/api/entities/Group.java,16
clinejj_foursquare-api-java,fi.foyt.foursquare.api.entities,ReasonGroup,2,0,1,1,11,1,0,3,0.0,1,0,/data/research/workspace/testability/data/repos/clinejj_foursquare-api-java/src/main/java/fi/foyt/foursquare/api/entities/ReasonGroup.java,3
clinejj_foursquare-api-java,fi.foyt.foursquare.api.entities,Location,12,0,12,12,98,12,0,1,0.0,3,0,/data/research/workspace/testability/data/repos/clinejj_foursquare-api-java/src/main/java/fi/foyt/foursquare/api/entities/Location.java,18
