Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
copper-engine_copper-engine,org.copperengine.ext.wfrepo.classpath,ClasspathWorkflowRepositoryTest,testFindWorkflowClasses,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
copper-engine_copper-engine,org.copperengine.ext.wfrepo.classpath,ClasspathWorkflowRepositoryTest,testExec,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
copper-engine_copper-engine,org.copperengine.ext.wfrepo.git,GitWorkflowRepositoryTest,defaultBranchTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
copper-engine_copper-engine,org.copperengine.ext.wfrepo.git,GitWorkflowRepositoryTest,change2BranchesTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
copper-engine_copper-engine,org.copperengine.ext.wfrepo.git,GitWorkflowRepositoryTest,shutdownTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
copper-engine_copper-engine,org.copperengine.ext.wfrepo.git,GitWorkflowRepositoryTest,sameGitRepositoryDirTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
copper-engine_copper-engine,org.copperengine.ext.wfrepo.git,GitWorkflowRepositoryTest,changeGitRepositoryRobustDirTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
copper-engine_copper-engine,org.copperengine.ext.wfrepo.git,GitWorkflowRepositoryTest,sameGitRepositoryFakeCredentialTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
copper-engine_copper-engine,org.copperengine.ext.wfrepo.git,GitWorkflowRepositoryTest,changeGitRepositoryDirTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
copper-engine_copper-engine,org.copperengine.ext.wfrepo.git,GitWorkflowRepositoryTest,sameURITest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
copper-engine_copper-engine,org.copperengine.core,StackEntryTest,testSerializationAllEmpty,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
copper-engine_copper-engine,org.copperengine.core,StackEntryTest,testSerializationWithData,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
copper-engine_copper-engine,org.copperengine.core,WorkflowVersionTest,testIsLargerThan,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
copper-engine_copper-engine,org.copperengine.core.persistent,IdCacheTest,testIdCacheMaxSize,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 13
copper-engine_copper-engine,org.copperengine.core.persistent,IdCacheTest,testIdCacheTTL,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 12
copper-engine_copper-engine,org.copperengine.core.persistent,IdCacheTest,testConcurrency,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
copper-engine_copper-engine,org.copperengine.core.persistent,MementoUtilTest,testMementoUtil,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 15
copper-engine_copper-engine,org.copperengine.core.persistent,OracleScottyDBStorageTest,testcomputeLockId,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
copper-engine_copper-engine,org.copperengine.core.persistent,TimeoutProcessorTest,test,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
copper-engine_copper-engine,org.copperengine.core.persistent,DefaultPersistenceTest,testPersistence,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
copper-engine_copper-engine,org.copperengine.core.util,EventCounterTest,simpleTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
copper-engine_copper-engine,org.copperengine.core.util,EventCounterTest,complexTest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 9
copper-engine_copper-engine,org.copperengine.core.audit,CompressedBase64PostProcessorTest,testSimple,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
copper-engine_copper-engine,org.copperengine.core.audit,CompressedBase64PostProcessorTest,testNull,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
copper-engine_copper-engine,org.copperengine.core.monitoring,LoggingStatisticCollectorTest,testPrint,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
copper-engine_copper-engine,org.copperengine.core.instrument,BuildStackInfoAdapterTest,testDup,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
copper-engine_copper-engine,org.copperengine.core.instrument,BuildStackInfoAdapterTest,testDupX1,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
copper-engine_copper-engine,org.copperengine.core.instrument,BuildStackInfoAdapterTest,testDupX2,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 11
copper-engine_copper-engine,org.copperengine.core.instrument,BuildStackInfoAdapterTest,testDup2,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 9
copper-engine_copper-engine,org.copperengine.core.instrument,BuildStackInfoAdapterTest,testDup2X1,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 12
copper-engine_copper-engine,org.copperengine.core.instrument,BuildStackInfoAdapterTest,testDup2X2,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 19
copper-engine_copper-engine,org.copperengine.core.batcher.impl,BatcherImplTest,testSubmitBatchCommand,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
copper-engine_copper-engine,org.copperengine.core.persistent.cassandra,TestWorkflowCassandraTest,testParallel,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
copper-engine_copper-engine,org.copperengine.core.persistent.cassandra,TestWorkflowCassandraTest,testSerial,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
copper-engine_copper-engine,org.copperengine.core.persistent.cassandra,CassandraEngineFactoryUsage,test,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
copper-engine_copper-engine,org.copperengine.regtest.persistent.lock,PersistentLockManagerImplTest,testAcquireLock,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
copper-engine_copper-engine,org.copperengine.regtest.persistent.lock,PersistentLockManagerDialectOracleTest,testAcquireLock_MultiConcurrent,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 9
copper-engine_copper-engine,org.copperengine.regtest.persistent.lock,AbstractPersistentLockManagerDialectTest,testAcquireLock_Simple,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
copper-engine_copper-engine,org.copperengine.regtest.persistent.lock,AbstractPersistentLockManagerDialectTest,testAcquireLock_Doubled,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
copper-engine_copper-engine,org.copperengine.regtest.persistent.lock,AbstractPersistentLockManagerDialectTest,testAcquireLock_Multi,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
copper-engine_copper-engine,org.copperengine.regtest.persistent,StandardJavaSerializerTest,testX,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
copper-engine_copper-engine,org.copperengine.regtest.wfrepo,URLClassloaderClasspathProviderTest,testGetOptions,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
copper-engine_copper-engine,org.copperengine.regtest.audit,AuditTrailTestBase,testCustomTable,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
copper-engine_copper-engine,org.copperengine.regtest.test,SwitchCaseTest,testWorkflow,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
copper-engine_copper-engine,org.copperengine.regtest.test,ExceptionHandlingTest,testExceptionHandlingTestWF,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
copper-engine_copper-engine,org.copperengine.regtest.test,ExceptionHandlingTest,testIssueClassCastExceptionWorkflow3,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
copper-engine_copper-engine,org.copperengine.regtest.test.versioning,VersioningTest,testFindLatest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
copper-engine_copper-engine,org.copperengine.regtest.test.versioning,VersioningTest,testLatest,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
copper-engine_copper-engine,org.copperengine.regtest.test.versioning,VersioningTest,testVersion,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
copper-engine_copper-engine,org.copperengine.regtest.test.versioning.compatibility,CompatibilityCheckTest,testCheckCompatibility,Exceptional handling,The tool detected the smell in this test method because the test throws exception(s) from test (rather than using assertThrows method or expected annotation)
copper-engine_copper-engine,org.copperengine.regtest.test.persistent,DerbyDbSpringTxnPersistentWorkflowTest,testAsynchResponse,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
copper-engine_copper-engine,org.copperengine.regtest.test.persistent,DerbyDbSpringTxnPersistentWorkflowTest,testAsynchResponseLargeData,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
copper-engine_copper-engine,org.copperengine.regtest.test.persistent,DerbyDbSpringTxnPersistentWorkflowTest,testWithConnection,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
copper-engine_copper-engine,org.copperengine.regtest.test.persistent,DerbyDbSpringTxnPersistentWorkflowTest,testWithConnectionBulkInsert,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
copper-engine_copper-engine,org.copperengine.regtest.test.persistent,DerbyDbSpringTxnPersistentWorkflowTest,testTimeouts,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
copper-engine_copper-engine,org.copperengine.regtest.test.persistent,DerbyDbSpringTxnPersistentWorkflowTest,testErrorHandlingInCoreEngine,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
copper-engine_copper-engine,org.copperengine.regtest.test.persistent,DerbyDbSpringTxnPersistentWorkflowTest,testParentChildWorkflow,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
copper-engine_copper-engine,org.copperengine.regtest.test.persistent,DerbyDbSpringTxnPersistentWorkflowTest,testErrorKeepWorkflowInstanceInDB,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
copper-engine_copper-engine,org.copperengine.regtest.test.persistent,DerbyDbSpringTxnPersistentWorkflowTest,testErrorHandlingInCoreEngine_restartAll,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
copper-engine_copper-engine,org.copperengine.regtest.test.persistent,DerbyDbSpringTxnPersistentWorkflowTest,testAutoCommit,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
copper-engine_copper-engine,org.copperengine.regtest.test.persistent,DerbyDbSpringTxnPersistentWorkflowTest,testAuditTrailUncompressed,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
copper-engine_copper-engine,org.copperengine.regtest.test.persistent,DerbyDbSpringTxnPersistentWorkflowTest,testErrorHandlingWithWaitHook,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
copper-engine_copper-engine,org.copperengine.regtest.test.persistent,DerbyDbSpringTxnPersistentWorkflowTest,testSpringTxnUnitTestWorkflow,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
copper-engine_copper-engine,org.copperengine.regtest.test.persistent,DerbyDbSpringTxnPersistentWorkflowTest,testFailOnDuplicateInsert,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
copper-engine_copper-engine,org.copperengine.regtest.test.persistent,H2PersistentWorkflowTest,testAsynchResponse,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
copper-engine_copper-engine,org.copperengine.regtest.test.persistent,H2PersistentWorkflowTest,testAsynchResponseLargeData,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
copper-engine_copper-engine,org.copperengine.regtest.test.persistent,H2PersistentWorkflowTest,testWithConnection,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
copper-engine_copper-engine,org.copperengine.regtest.test.persistent,H2PersistentWorkflowTest,testWithConnectionBulkInsert,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
copper-engine_copper-engine,org.copperengine.regtest.test.persistent,H2PersistentWorkflowTest,testTimeouts,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
copper-engine_copper-engine,org.copperengine.regtest.test.persistent,H2PersistentWorkflowTest,testErrorHandlingInCoreEngine,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
copper-engine_copper-engine,org.copperengine.regtest.test.persistent,H2PersistentWorkflowTest,testParentChildWorkflow,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
copper-engine_copper-engine,org.copperengine.regtest.test.persistent,H2PersistentWorkflowTest,testErrorKeepWorkflowInstanceInDB,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
copper-engine_copper-engine,org.copperengine.regtest.test.persistent,H2PersistentWorkflowTest,testAutoCommit,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
