Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
ddavison_conductor,io.ddavison.conductor,PhantomJSTests,testClick,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
ddavison_conductor,io.ddavison.conductor,PhantomJSTests,testSetText,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
ddavison_conductor,io.ddavison.conductor,InheritedFromSuperClass,testInheritsConfigProperly,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
ddavison_conductor,io.ddavison.conductor,FrameworkTest,testClick,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
ddavison_conductor,io.ddavison.conductor,FrameworkTest,testSetText,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
ddavison_conductor,io.ddavison.conductor,FrameworkTest,testCheckUncheck,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
ddavison_conductor,io.ddavison.conductor,FrameworkTest,testSelectOption,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
ddavison_conductor,io.ddavison.conductor,FrameworkTest,testFrames,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
ddavison_conductor,io.ddavison.conductor,FrameworkTest,testWindowSwitching,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
ddavison_conductor,io.ddavison.conductor,FrameworkTest,testValidatingAttributes,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
ddavison_conductor,io.ddavison.conductor,FrameworkTest,testVariables,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
ddavison_conductor,io.ddavison.conductor,FrameworkTest,testWaitingFor,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
ddavison_conductor,io.ddavison.conductor,FrameworkTest,testGetTextFromTextArea,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
ddavison_conductor,io.ddavison.conductor,FrameworkTest,testSelectOptionByIndex,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
