Project Name,Package Name,Architecture Smell,Cause of the Smell
dkharrat_NexusData,org.example.todo,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [_Task; Task; User; _User; MainActivity; NewTaskActivity; TodoApp]; [_Task.Property]; [_Task.Priority]; [_User.Property]; [MainActivity.DisplayMode]; [MainActivity.TaskListAdapter]. LCC (Lack of Component Cohesion) = 0.5
dkharrat_NexusData,com.github.dkharrat.nexusdata.modelgen.metamodel,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Attribute; Property; EnumProperty; Entity; Relationship]; [Model]; [ModelWrapper]. LCC (Lack of Component Cohesion) = 0.43
dkharrat_NexusData,com.github.dkharrat.nexusdata.test,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 34
dkharrat_NexusData,com.github.dkharrat.nexusdata.test,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ObjectContextTest; Company; Employee; ObjectContextWithSqlStoreTest; Passport; _Director; Address; ObjectModelTest; Person; _Person; Director; ObjectContextWithInMemoryStoreTest; _Address; EntityTest; _Employee; _Company; Contractor; _Passport; _Contractor; ManagedObjectTest; PersistentStoreCoordinatorTest]; [_Director.Property]; [PredicateParserTest]; [_Person.Property]; [_Address.Property]; [EntityTest.AttrInfo]; [EntityTest.RelationInfo]; [EntityTest.Pair]; [_Employee.Property]; [_Company.Property]; [_Passport.Property]; [_Contractor.Property]; [PredicatesTest]; [PredicatesTest.Book]. LCC (Lack of Component Cohesion) = 0.41
dkharrat_NexusData,com.github.dkharrat.nexusdata.metamodel,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Attribute; Property; Entity; Relationship; ObjectModelJsonParser; ObjectModelJsonParser.JsonElem; ObjectModelJsonParser.Attribute; ObjectModelJsonParser.Relationship; ObjectModel]; [Relationship.Type]; [ObjectModelJsonParser.ParsedModel]; [ObjectModelJsonParser.Model]; [ObjectModelJsonParser.Entity]; [ObjectModelJsonParser.EnumProperty]; [ObjectModelJsonParser.Property]. LCC (Lack of Component Cohesion) = 0.47
dkharrat_NexusData,com.github.dkharrat.nexusdata.utils,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [DateUtil; StringUtil; SqlTableBuilder]; [ObjectUtil]; [StreamUtil]; [SqlTableBuilder.ColumnType]; [SqlTableBuilder.ConflictAction]; [SqlTableBuilder.Order]; [SqlTableBuilder.Column]; [SqlTableBuilder.ConflictClause]; [SqlTableBuilder.Constraint]; [SqlTableBuilder.ColumnConstraint]; [SqlTableBuilder.TableConstraint]; [SqlTableBuilder.ColumnBasedTableConstraint]; [SqlTableBuilder.PrimaryKey]; [SqlTableBuilder.TablePrimaryKeyConstraint]; [SqlTableBuilder.Nullable]; [SqlTableBuilder.DefaultValue]; [SqlTableBuilder.Unique]; [SqlTableBuilder.TableUniqueConstraint]. LCC (Lack of Component Cohesion) = 0.9
dkharrat_NexusData,com.github.dkharrat.nexusdata.predicate,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.github.dkharrat.nexusdata.predicate; com.github.dkharrat.nexusdata.predicate.parser
dkharrat_NexusData,com.github.dkharrat.nexusdata.predicate,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.github.dkharrat.nexusdata.predicate.parser
dkharrat_NexusData,com.github.dkharrat.nexusdata.predicate,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ExpressionBuilder; Expression; Predicate; PredicateBuilder; NotPredicate; ComparisonPredicate; ExpressionVisitor; FieldPathExpression; ThisExpression; CompoundPredicate; ConstantExpression]; [ComparisonPredicate.Operator]; [CompoundPredicate.Operator]. LCC (Lack of Component Cohesion) = 0.23
dkharrat_NexusData,com.github.dkharrat.nexusdata.predicate.parser,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.github.dkharrat.nexusdata.predicate.parser; com.github.dkharrat.nexusdata.predicate
dkharrat_NexusData,com.github.dkharrat.nexusdata.predicate.parser,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [PredicateParser; LexerGrammar; Parser; NameParselet; Token; GroupParselet; PrefixParselet; LogicalParselet; Lexer; InfixParselet; ComparisonParselet; ConstantParselet]; [PredicateParser.TokenType]; [PredicateParser.Precedence]; [LexerGrammar.TokenRule]; [ExpressionNode]; [ParseException]. LCC (Lack of Component Cohesion) = 0.35
dkharrat_NexusData,com.github.dkharrat.nexusdata.store,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [Utils; DatabaseQueryService; AndroidSqlPersistentStore; DatabaseHelper; DatabaseQueryService.QueryBuilder]; [InMemoryPersistentStore]; [DatabaseQueryService.QueryParts]; [DatabaseHelper.SQLiteCursorLoggerFactory]. LCC (Lack of Component Cohesion) = 0.5
