Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
dropwizard_dropwizard-java8,io.dropwizard.java8.jdbi.args,LocalDateMapperTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: io.dropwizard.java8.jdbi.args.LocalDateMapper
dropwizard_dropwizard-java8,io.dropwizard.java8.jdbi.args,JDBIOptionalInstantTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: io.dropwizard.java8.jdbi.DBIFactory
dropwizard_dropwizard-java8,io.dropwizard.java8.jdbi.args,LocalDateTimeMapperTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: io.dropwizard.java8.jdbi.args.LocalDateTimeMapper
dropwizard_dropwizard-java8,io.dropwizard.java8.jdbi.args,InstantMapperTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: io.dropwizard.java8.jdbi.args.InstantMapper
dropwizard_dropwizard-java8,io.dropwizard.java8.jdbi.args,JDBIOptionalLocalDateTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: io.dropwizard.java8.jdbi.DBIFactory
dropwizard_dropwizard-java8,io.dropwizard.java8.jdbi.args,JDBIOptionalLocalDateTimeTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: io.dropwizard.java8.jdbi.DBIFactory
dropwizard_dropwizard-java8,com.example.helloworld.resources,ProtectedResourceTest,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: RULE
dropwizard_dropwizard-java8,com.example.helloworld.resources,PersonResourceTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.example.helloworld.core.Person
dropwizard_dropwizard-java8,com.example.helloworld.resources,PersonResourceTest,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: RULE
dropwizard_dropwizard-java8,com.example.helloworld.resources,PeopleResourceTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.example.helloworld.core.Person
