Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
dschulten_hydra-java,de.escalon.hypermedia.hydra.serialize,LdContextFactory,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: HTTP_SCHEMA_ORG
dschulten_hydra-java,de.escalon.hypermedia.hydra.serialize,JacksonHydraSerializer,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: de.escalon.hypermedia.hydra.serialize.MixinSource; de.escalon.hypermedia.hydra.serialize.LdContextFactory; de.escalon.hypermedia.hydra.serialize.LdContext
dschulten_hydra-java,de.escalon.hypermedia.hydra.serialize,JacksonHydraSerializer,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: KEY_LD_CONTEXT
dschulten_hydra-java,de.escalon.hypermedia.hydra.serialize,JsonLdKeywords,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: AT_VOCAB; AT_TYPE; AT_ID; AT_REVERSE
dschulten_hydra-java,de.escalon.hypermedia.hydra.serialize,JacksonHydraSerializerTest.Car,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
dschulten_hydra-java,de.escalon.hypermedia.hydra.serialize,JacksonHydraSerializerTest.Driver,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
dschulten_hydra-java,de.escalon.hypermedia.hydra.serialize,JacksonHydraSerializerTest.Bean,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
dschulten_hydra-java,de.escalon.hypermedia.hydra.serialize,JacksonHydraSerializerTest.Dean,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
dschulten_hydra-java,de.escalon.hypermedia.hydra.serialize,JacksonHydraSerializerTest.Lean,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
dschulten_hydra-java,de.escalon.hypermedia.hydra.serialize,JacksonHydraSerializerTest.BeanLD,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
dschulten_hydra-java,de.escalon.hypermedia.hydra.serialize,JacksonHydraSerializerTest.DeanLD,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
dschulten_hydra-java,de.escalon.hypermedia.hydra.serialize,JacksonHydraSerializerTest.LeanLD,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
