Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
eHarmony_vw-webservice,com.eharmony.matching.vw.webservice.common.example,StructuredExample,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: EMPTY_EXAMPLE; PIPE_EXAMPLE
eHarmony_vw-webservice,com.eharmony.matching.vw.webservice.common.example,StructuredExample.Namespace,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
eHarmony_vw-webservice,com.eharmony.matching.vw.webservice.common.example,StructuredExample.Feature,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
eHarmony_vw-webservice,com.eharmony.matching.vw.webservice.common.example,StructuredExample.NamespaceBuilder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
eHarmony_vw-webservice,com.eharmony.matching.vw.webservice.common.example,StructuredExample.ExampleBuilder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
eHarmony_vw-webservice,com.eharmony.matching.vw.webservice.common.example,ExampleMediaTypes,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PLAINTEXT_0_1_0; SIMPLE_PROTOBUF_0_1_0; SIMPLE_JSON_0_1_0; STRUCTURED_JSON_0_1_0
eHarmony_vw-webservice,com.eharmony.matching.vw.webservice.common.prediction,PredictionMediaTypes,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: PLAINTEXT_0_1_0
eHarmony_vw-webservice,com.eharmony.matching.vw.webservice.messagebodyreader.jsonexamplesmessagebodyreader,StructuredJsonPropertyNames,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: EXAMPLE_LABEL_PROPERTY; EXAMPLE_TAG_PROPERTY; EXAMPLE_NAMESPACES_PROPERTY; NAMESPACE_NAME_PROPERTY; NAMESPACE_SCALING_FACTOR_PROPERTY; NAMESPACE_FEATURES_PROPERTY; FEATURE_NAME_PROPERTY; FEATURE_VALUE_PROPERTY
eHarmony_vw-webservice,com.eharmony.matching.vw.webservice,RequestHandler,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 9
eHarmony_vw-webservice,com.eharmony.matching.vw.webservice.core.exampleprocessor.tcpip,AsyncFailFastTCPIPExampleProcessorTest,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
