Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
eclipse-jetty_eclipse-jetty-plugin,net.sourceforge.eclipsejetty.starter.common,AbstractJettyLauncherMain,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: CONFIGURATION_KEY; HIDE_LAUNCH_INFO_KEY; DISABLE_CONSOLE_KEY
eclipse-jetty_eclipse-jetty-plugin,net.sourceforge.eclipsejetty.starter.util,Utils,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: EMPTY; ENTITY_PREFIX; ENTITY_POSTFIX
eclipse-jetty_eclipse-jetty-plugin,net.sourceforge.eclipsejetty.starter.util,Utils.PlaceholderResolver,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
eclipse-jetty_eclipse-jetty-plugin,net.sourceforge.eclipsejetty.starter.util.service,GlobalServiceResolver,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: INSTANCE
eclipse-jetty_eclipse-jetty-plugin,net.sourceforge.eclipsejetty.starter.console,Process,Law of Demeter violation,The tool detected the smell in this method (execute) because the method voilates the law of Demeter. The long chain of method invocations is : net.sourceforge.eclipsejetty.starter.console.util.Arguments.consume; net.sourceforge.eclipsejetty.starter.console.util.Arguments.add
eclipse-jetty_eclipse-jetty-plugin,net.sourceforge.eclipsejetty.starter.console,Console,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: net.sourceforge.eclipsejetty.starter.console.util.Tokenizer
eclipse-jetty_eclipse-jetty-plugin,net.sourceforge.eclipsejetty.starter.console,Console,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: INSTANCE
eclipse-jetty_eclipse-jetty-plugin,net.sourceforge.eclipsejetty.starter.console.command,PipeCommand,Law of Demeter violation,The tool detected the smell in this method (execute) because the method voilates the law of Demeter. The long chain of method invocations is : net.sourceforge.eclipsejetty.starter.console.Process.redirect; net.sourceforge.eclipsejetty.starter.console.Process.execute
eclipse-jetty_eclipse-jetty-plugin,net.sourceforge.eclipsejetty.starter.console.util,WildcardUtils,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: SINGLE_TOKEN; MULTIPLE_TOKEN
eclipse-jetty_eclipse-jetty-plugin,net.sourceforge.eclipsejetty.jetty7,Jetty7ServerConfiguration,Law of Demeter violation,The tool detected the smell in this method (buildJMX) because the method voilates the law of Demeter. The long chain of method invocations is : net.sourceforge.eclipsejetty.jetty.JettyConfigBuilder.beginNew; net.sourceforge.eclipsejetty.jetty.JettyConfigBuilder.end
eclipse-jetty_eclipse-jetty-plugin,net.sourceforge.eclipsejetty.launch.configuration,JettyLaunchDependencyEntryList,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: net.sourceforge.eclipsejetty.launch.configuration.JettyLaunchDependencyEntry
eclipse-jetty_eclipse-jetty-plugin,net.sourceforge.eclipsejetty.launch.configuration,JettyLaunchAdvancedConfigurationTab,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: net.sourceforge.eclipsejetty.launch.configuration.JettyLaunchConfigEntryList
eclipse-jetty_eclipse-jetty-plugin,net.sourceforge.eclipsejetty.launch.configuration,JettyLaunchAdvancedConfigurationTab,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
eclipse-jetty_eclipse-jetty-plugin,net.sourceforge.eclipsejetty.launch.configuration,JettyLaunchDependencyConfigurationTab,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: net.sourceforge.eclipsejetty.launch.configuration.JettyLaunchDependencyEntryList
eclipse-jetty_eclipse-jetty-plugin,net.sourceforge.eclipsejetty.launch.configuration,JettyLaunchDependencyConfigurationTab,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
eclipse-jetty_eclipse-jetty-plugin,net.sourceforge.eclipsejetty.launch.configuration,JettyLaunchConfigEntryList,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: net.sourceforge.eclipsejetty.launch.configuration.JettyLaunchConfigEntry
eclipse-jetty_eclipse-jetty-plugin,net.sourceforge.eclipsejetty.launch.util,JettyLaunchConfigurationClassPathProvider,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: JETTY_EXTRA_ATTRIBUTES; NO_ACCESS_RULES
eclipse-jetty_eclipse-jetty-plugin,net.sourceforge.eclipsejetty.launch.util,JettyLaunchConfigurationDelegate,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: CONFIGURATION_KEY; HIDE_LAUNCH_INFO_KEY; DISABLE_CONSOLE_KEY
eclipse-jetty_eclipse-jetty-plugin,net.sourceforge.eclipsejetty.launch.util,JettyLaunchConfigurationDelegate,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
eclipse-jetty_eclipse-jetty-plugin,net.sourceforge.eclipsejetty.launch.util,JettyLaunchConfigurationDelegate,Law of Demeter violation,The tool detected the smell in this method (getLocalWebappClasspathEntries) because the method voilates the law of Demeter. The long chain of method invocations is : net.sourceforge.eclipsejetty.util.DependencyMatcher.notExcludedGenericIds; net.sourceforge.eclipsejetty.util.DependencyMatcher.match
eclipse-jetty_eclipse-jetty-plugin,net.sourceforge.eclipsejetty.launch.util,JettyLaunchConfigurationDelegate,Law of Demeter violation,The tool detected the smell in this method (deprecatedGetLocalWebappClasspathEntries) because the method voilates the law of Demeter. The long chain of method invocations is : net.sourceforge.eclipsejetty.util.DependencyMatcher.notExcludedRegEx; net.sourceforge.eclipsejetty.util.DependencyMatcher.match
