Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
eclipse-jetty_eclipse-jetty-plugin,test.quickstart,Lala,0,0,1,1,11,1,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/eclipse-jetty_eclipse-jetty-plugin/samples/quickstart/src/main/java/test/quickstart/Lala.java,3
eclipse-jetty_eclipse-jetty-plugin,test.quickstart.services,AppModule,0,0,6,6,38,6,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/eclipse-jetty_eclipse-jetty-plugin/samples/quickstart/src/main/java/test/quickstart/services/AppModule.java,16
eclipse-jetty_eclipse-jetty-plugin,test.quickstart.services,QaModule,0,0,2,2,11,2,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/eclipse-jetty_eclipse-jetty-plugin/samples/quickstart/src/main/java/test/quickstart/services/QaModule.java,7
eclipse-jetty_eclipse-jetty-plugin,test.quickstart.services,DevelopmentModule,0,0,1,1,9,1,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/eclipse-jetty_eclipse-jetty-plugin/samples/quickstart/src/main/java/test/quickstart/services/DevelopmentModule.java,6
eclipse-jetty_eclipse-jetty-plugin,test.quickstart.components,Layout,6,0,2,2,20,2,0,0,1.0,0,0,/data/research/workspace/testability/data/repos/eclipse-jetty_eclipse-jetty-plugin/samples/quickstart/src/main/java/test/quickstart/components/Layout.java,9
eclipse-jetty_eclipse-jetty-plugin,test.quickstart.pages,About,0,0,0,0,2,0,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/eclipse-jetty_eclipse-jetty-plugin/samples/quickstart/src/main/java/test/quickstart/pages/About.java,3
eclipse-jetty_eclipse-jetty-plugin,test.quickstart.pages,Index,4,0,4,2,56,7,0,0,0.75,0,0,/data/research/workspace/testability/data/repos/eclipse-jetty_eclipse-jetty-plugin/samples/quickstart/src/main/java/test/quickstart/pages/Index.java,25
eclipse-jetty_eclipse-jetty-plugin,test.quickstart.pages,Contact,0,0,0,0,2,0,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/eclipse-jetty_eclipse-jetty-plugin/samples/quickstart/src/main/java/test/quickstart/pages/Contact.java,3
eclipse-jetty_eclipse-jetty-plugin,org.demo,DemoApplication,0,0,3,2,11,3,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/eclipse-jetty_eclipse-jetty-plugin/samples/spring-boot-demo/src/main/java/org/demo/DemoApplication.java,12
eclipse-jetty_eclipse-jetty-plugin,demo,HelloMessage,1,0,1,1,6,1,0,0,0.0,1,0,/data/research/workspace/testability/data/repos/eclipse-jetty_eclipse-jetty-plugin/samples/websockets/src/main/java/demo/HelloMessage.java,3
eclipse-jetty_eclipse-jetty-plugin,demo,Greeting,1,0,2,2,9,2,0,0,0.0,1,0,/data/research/workspace/testability/data/repos/eclipse-jetty_eclipse-jetty-plugin/samples/websockets/src/main/java/demo/Greeting.java,3
eclipse-jetty_eclipse-jetty-plugin,demo,GreetingController,0,0,1,1,6,1,0,0,-1.0,0,2,/data/research/workspace/testability/data/repos/eclipse-jetty_eclipse-jetty-plugin/samples/websockets/src/main/java/demo/GreetingController.java,7
eclipse-jetty_eclipse-jetty-plugin,demo,TestWebsocketsApplication,0,0,1,1,5,1,0,0,-1.0,1,0,/data/research/workspace/testability/data/repos/eclipse-jetty_eclipse-jetty-plugin/samples/websockets/src/main/java/demo/TestWebsocketsApplication.java,6
eclipse-jetty_eclipse-jetty-plugin,demo,ServletInitializer,0,0,1,0,5,1,0,0,-1.0,0,1,/data/research/workspace/testability/data/repos/eclipse-jetty_eclipse-jetty-plugin/samples/websockets/src/main/java/demo/ServletInitializer.java,6
eclipse-jetty_eclipse-jetty-plugin,demo,WebSocketConfig,0,0,2,2,9,2,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/eclipse-jetty_eclipse-jetty-plugin/samples/websockets/src/main/java/demo/WebSocketConfig.java,8
eclipse-jetty_eclipse-jetty-plugin,demo,TestWebsocketsApplicationTests,0,0,1,1,4,1,0,0,-1.0,0,0,/data/research/workspace/testability/data/repos/eclipse-jetty_eclipse-jetty-plugin/samples/websockets/src/test/java/demo/TestWebsocketsApplicationTests.java,9
eclipse-jetty_eclipse-jetty-plugin,net.sourceforge.eclipsejetty.starter.jetty7,Jetty7Adapter,1,0,13,9,137,30,0,2,0.3076923076923077,0,0,/data/research/workspace/testability/data/repos/eclipse-jetty_eclipse-jetty-plugin/starters/jetty7/src/main/java/net/sourceforge/eclipsejetty/starter/jetty7/Jetty7Adapter.java,31
