Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
elastic_elasticsearch-hadoop,org.elasticsearch.hadoop.qa.kerberos,AbstractClusterVerificationTests,testOutputContents,Long Statement,The length of the statement "Assert.assertTrue("Success marker expected for integration [" + integrationName + "] but could not find it."`successMarker.exists());" is 133.,63
elastic_elasticsearch-hadoop,org.elasticsearch.hadoop.qa.kerberos,AbstractKerberosClientTest,testSpnegoAuthToES,Long Statement,The length of the statement "RestUtils.postData("_security/role_mapping/kerberos_client_mapping"`"{\"roles\":[\"superuser\"]`\"enabled\":true`\"rules\":{\"field\":{\"username\":\"client@BUILD.ELASTIC.CO\"}}}".getBytes());" is 192.,83
elastic_elasticsearch-hadoop,org.elasticsearch.hadoop.qa.kerberos,AbstractKerberosClientTest,testSpnegoAuthToES,Long Statement,The length of the statement "testSettings.setProperty(ConfigurationOptions.ES_NET_SPNEGO_AUTH_ELASTICSEARCH_PRINCIPAL`"HTTP/build.elastic.co@BUILD.ELASTIC.CO");" is 131.,83
elastic_elasticsearch-hadoop,org.elasticsearch.hadoop.qa.kerberos,AbstractKerberosClientTest,run,Long Statement,The length of the statement "testSettings.setProperty(ConfigurationOptions.ES_NET_SPNEGO_AUTH_ELASTICSEARCH_PRINCIPAL`"HTTP/build.elastic.co@BUILD.ELASTIC.CO");" is 131.,91
elastic_elasticsearch-hadoop,org.elasticsearch.hadoop.qa.kerberos,AbstractKerberosClientTest,testSpnegoAuthWithKeytabToES,Long Statement,The length of the statement "RestUtils.postData("_security/role_mapping/kerberos_client_mapping"`("{\"roles\":[\"superuser\"]`\"enabled\":true`\"rules\":{\"field\":{\"username\":\"" + hivePrincipal + "\"}}}").getBytes());" is 192.,116
elastic_elasticsearch-hadoop,org.elasticsearch.hadoop.qa.kerberos,AbstractKerberosClientTest,testSpnegoAuthWithKeytabToES,Long Statement,The length of the statement "testSettings.setProperty(ConfigurationOptions.ES_NET_SPNEGO_AUTH_ELASTICSEARCH_PRINCIPAL`"HTTP/build.elastic.co@BUILD.ELASTIC.CO");" is 131.,116
elastic_elasticsearch-hadoop,org.elasticsearch.hadoop.qa.kerberos,AbstractKerberosClientTest,run,Long Statement,The length of the statement "testSettings.setProperty(ConfigurationOptions.ES_NET_SPNEGO_AUTH_ELASTICSEARCH_PRINCIPAL`"HTTP/build.elastic.co@BUILD.ELASTIC.CO");" is 131.,129
elastic_elasticsearch-hadoop,org.elasticsearch.hadoop.qa.kerberos,AbstractKerberosClientTest,testMutualSpnegoAuthToES,Long Statement,The length of the statement "RestUtils.postData("_security/role_mapping/kerberos_client_mapping"`"{\"roles\":[\"superuser\"]`\"enabled\":true`\"rules\":{\"field\":{\"username\":\"client@BUILD.ELASTIC.CO\"}}}".getBytes());" is 192.,154
elastic_elasticsearch-hadoop,org.elasticsearch.hadoop.qa.kerberos,AbstractKerberosClientTest,testMutualSpnegoAuthToES,Long Statement,The length of the statement "testSettings.setProperty(ConfigurationOptions.ES_NET_SPNEGO_AUTH_ELASTICSEARCH_PRINCIPAL`"HTTP/build.elastic.co@BUILD.ELASTIC.CO");" is 131.,154
elastic_elasticsearch-hadoop,org.elasticsearch.hadoop.qa.kerberos,AbstractKerberosClientTest,run,Long Statement,The length of the statement "testSettings.setProperty(ConfigurationOptions.ES_NET_SPNEGO_AUTH_ELASTICSEARCH_PRINCIPAL`"HTTP/build.elastic.co@BUILD.ELASTIC.CO");" is 131.,162
elastic_elasticsearch-hadoop,org.elasticsearch.hadoop.qa.kerberos,AbstractKerberosClientTest,testProxyKerberosAuth,Long Statement,The length of the statement "RestUtils.postData("_security/user/" + proxyUserName`("{\n" + " \"enabled\" : true`\n" + " \"password\" : \"password\"`\n"+ " \"roles\" : [ \"superuser\" ]`\n"+ " \"full_name\" : \"Client McClientFace\"\n"+ "}").getBytes());" is 224.,188
elastic_elasticsearch-hadoop,org.elasticsearch.hadoop.qa.kerberos,AbstractKerberosClientTest,testProxyKerberosAuth,Long Statement,The length of the statement "RestUtils.postData("_security/role/proxier"`("{\n" + " \"cluster\": [\n" + " \"all\"\n"+ " ]`\n"+ " \"indices\": [\n"+ " {\n"+ " \"names\": [\n"+ " \"*\"\n"+ " ]`\n"+ " \"privileges\": [\n"+ " \"all\"\n"+ " ]`\n"+ " \"allow_restricted_indices\": true\n"+ " }\n"+ " ]`\n"+ " \"applications\": [\n"+ " {\n"+ " \"application\": \"*\"`\n"+ " \"privileges\": [\n"+ " \"*\"\n"+ " ]`\n"+ " \"resources\": [\n"+ " \"*\"\n"+ " ]\n"+ " }\n"+ " ]`\n"+ " \"run_as\": [\n"+ " \"*\"\n"+ " ]`\n"+ " \"transient_metadata\": {}\n"+ "}").getBytes());" is 532.,188
