Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
elastic_elasticsearch,org.elasticsearch.gradle.internal,InternalDistributionDownloadPluginTests,testLocalCurrentVersionPackages,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
elastic_elasticsearch,org.elasticsearch.gradle.internal,InternalDistributionDownloadPluginTests,testLocalBwcPackages,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
elastic_elasticsearch,org.elasticsearch.gradle.internal,JdkDownloadPluginTests,testMissingVendor,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
elastic_elasticsearch,org.elasticsearch.gradle.internal,JdkDownloadPluginTests,testUnknownVendor,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
elastic_elasticsearch,org.elasticsearch.gradle.internal,JdkDownloadPluginTests,testMissingVersion,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
elastic_elasticsearch,org.elasticsearch.gradle.internal,JdkDownloadPluginTests,testBadVersionFormat,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
elastic_elasticsearch,org.elasticsearch.gradle.internal,JdkDownloadPluginTests,testMissingPlatform,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
elastic_elasticsearch,org.elasticsearch.gradle.internal,JdkDownloadPluginTests,testUnknownPlatform,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
elastic_elasticsearch,org.elasticsearch.gradle.internal,JdkDownloadPluginTests,testMissingArchitecture,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
elastic_elasticsearch,org.elasticsearch.gradle.internal,JdkDownloadPluginTests,testUnknownArchitecture,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
elastic_elasticsearch,org.elasticsearch.gradle.internal,EmptyDirTaskTests,testCreateEmptyDir,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
elastic_elasticsearch,org.elasticsearch.gradle.internal,EmptyDirTaskTests,testCreateEmptyDirNoPermissions,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
elastic_elasticsearch,org.elasticsearch.gradle.internal.docker,TransformLog4jConfigFilterTests,testTransformEmptyConfig,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
elastic_elasticsearch,org.elasticsearch.gradle.internal.docker,TransformLog4jConfigFilterTests,testTransformEchoesNonAppenderLines,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
elastic_elasticsearch,org.elasticsearch.gradle.internal.docker,TransformLog4jConfigFilterTests,testTransformFiltersRootLogger,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
elastic_elasticsearch,org.elasticsearch.gradle.internal.docker,TransformLog4jConfigFilterTests,testTransformRemoveExplicitConsoleAndRollingOldAppenders,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
elastic_elasticsearch,org.elasticsearch.gradle.internal.docker,TransformLog4jConfigFilterTests,testTransformConvertsRollingToConsole,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
